symbol,config,state,cycleLen,crossStart,confStart,xuoiEarly,winBase,pnlBase,pnlConf,pnlStrict,pnlEntryConf,holdConf
IMXUSDT,5,10,1,64,NONE,false,true,0,-7.644,1.007,-1.903,-9.173,47
IMXUSDT,5,10,-1,148,XUOI,false,true,0,-2.074,-0.618,0.191,-2.074,22
IMXUSDT,5,10,1,67,XUOI,false,true,0,-5.227,-2.01,-5.555,-5.227,31
IMXUSDT,5,10,-1,97,XUOI,false,true,0,-2.294,-0.268,-0.626,-2.294,47
IMXUSDT,5,10,1,149,XUOI,false,true,0,-1.614,1.284,-1.183,-1.614,61
IMXUSDT,5,10,-1,434,XUOI,false,true,1,19.115,6.145,10.194,19.115,161
IMXUSDT,5,10,1,38,XUOI,false,true,0,-7.592,0.163,-3.646,-7.592,22
IMXUSDT,5,10,-1,176,XUOI,false,true,1,3.273,6.589,4.794,3.273,81
IMXUSDT,5,10,1,39,XUOI,false,true,0,-6.012,-1.303,-3.477,-6.012,21
IMXUSDT,5,10,-1,106,XUOI,false,true,1,5.627,14.768,7.815,5.627,70
IMXUSDT,5,10,1,206,XUOI,false,true,0,-3.364,-1.944,-3.364,-3.364,88
IMXUSDT,5,10,-1,43,XUOI,false,true,0,-6.277,-4.055,-4.055,-6.277,40
IMXUSDT,5,10,1,36,XUOI,false,true,0,-10.763,-8.423,-10.763,-10.763,33
IMXUSDT,5,10,-1,84,XUOI,false,true,0,-6.139,-1.488,-1.488,-6.139,73
IMXUSDT,5,10,1,185,XUOI,false,true,1,1.617,1.617,1.617,1.617,185
IMXUSDT,5,10,-1,472,NGUOC,false,false,1,19.561,1.25,1.841,,26
IMXUSDT,5,10,1,107,XUOI,false,true,1,16.988,16.988,16.988,16.988,107
IMXUSDT,5,10,-1,79,NGUOC,false,false,0,-16.678,-3.02,-2.176,,6
IMXUSDT,5,10,1,91,XUOI,false,true,0,-13.353,-12.65,-12.65,-13.353,70
IMXUSDT,5,10,-1,70,XUOI,false,true,0,-5.904,-4.942,-4.942,-5.904,58
IMXUSDT,5,10,1,246,NONE,false,true,1,13.242,17.555,12.993,11.768,183
IMXUSDT,5,10,-1,304,XUOI,false,true,1,11.511,6.925,6.925,11.511,121
IMXUSDT,5,10,1,113,NGUOC,false,true,0,-3.11,0.147,-1.678,-5.444,40
IMXUSDT,5,10,-1,64,XUOI,false,true,0,-5.014,-4.384,-4.384,-5.014,60
IMXUSDT,5,10,1,167,XUOI,false,true,1,22.94,22.94,22.94,22.94,167
IMXUSDT,5,10,-1,71,NGUOC,false,false,0,-8.785,-3.959,-10.335,,4
IMXUSDT,5,10,1,185,XUOI,false,true,0,-0.912,-3.574,1.378,-0.912,45
IMXUSDT,5,10,-1,270,XUOI,false,true,0,-3.231,-7.399,-7.399,-3.231,33
IMXUSDT,5,10,1,180,XUOI,false,true,0,-1.466,-3.948,-3.948,-1.466,7
