symbol,config,n,baseN,baseWin,r3N,r3Hit,r3Win,r3Avg,r4N,r4Hit,r4Win,r4Avg
BTCUSDT,5,10,2399,2399,39.1,109,89,36.7,-0.09,400,61,43.3,0.02
ETHUSDT,5,10,2399,2399,43.4,119,82.4,37,-0.1,385,55.1,42.3,-0.09
SOLUSDT,5,10,1749,1749,45.3,169,85.8,41.4,-0.24,217,56.2,40.1,-0.21
XRPUSDT,5,10,2021,2021,44.3,157,81.5,38.9,-0.09,253,50.6,41.1,0.1
BNBUSDT,5,10,1921,1921,40.9,106,89.6,44.3,-0.06,229,54.1,41.5,-0.09
DOGEUSDT,5,10,2175,2175,44,197,78.7,43.7,-0.22,264,49.6,42.8,-0.11
ADAUSDT,5,10,1882,1882,46.4,166,77.1,42.8,-0.1,217,46.1,43.8,-0.14
LINKUSDT,5,10,1683,1683,43.7,182,81.3,45.6,-0.17,190,52.1,45.8,0.01
SUIUSDT,5,10,1103,1103,47.6,122,72.1,40.2,-0.19,136,54.4,46.3,-0.23
1000PEPEUSDT,5,10,1089,1089,47.4,123,78,41.5,-0.31,156,51.9,45.5,0.21
AVAXUSDT,5,10,1704,1704,45.8,157,80.3,45.2,-0.21,200,53,47.5,-0.21
TONUSDT,5,10,822,822,43.4,83,79.5,37.3,-0.23,91,52.7,46.2,-0.26
TRXUSDT,5,10,1882,1882,40,81,71.6,32.1,-0.56,230,57,39.6,-0.02
NEARUSDT,5,10,1870,1870,45.6,258,79.8,42.6,-0.26,197,54.8,46.7,-0.03
APTUSDT,5,10,1305,1305,43.8,160,73.8,41.9,-0.29,140,50.7,43.6,0.11
ARBUSDT,5,10,1169,1169,44.4,125,81.6,45.6,-0.27,125,48.8,44,-0.17
OPUSDT,5,10,1349,1349,46.8,192,83.9,50.5,-0.03,137,48.9,42.3,-0.14
DOTUSDT,5,10,1887,1887,46.4,192,80.2,45.8,-0.12,198,56.1,38.9,-0.21
FILUSDT,5,10,2080,2080,44.4,225,74.7,41.3,-0.07,232,48.3,39.7,-0.22
LTCUSDT,5,10,1956,1956,44.2,152,79.6,47.4,0.06,262,51.9,42,-0.16
BTCUSDT,10,10,1165,1165,41.6,24,91.7,29.2,-0.18,312,57.7,38.5,-0.11
ETHUSDT,10,10,1152,1152,43.4,32,81.3,34.4,-0.21,309,52.8,42.1,-0.1
SOLUSDT,10,10,783,783,45.5,42,83.3,47.6,0.19,154,53.2,46.1,-0.39
XRPUSDT,10,10,1003,1003,45.8,41,87.8,46.3,0.15,207,39.6,37.2,-0.13
BNBUSDT,10,10,939,939,40.6,28,89.3,32.1,-0.2,188,46.8,38.8,-0.15
DOGEUSDT,10,10,1023,1023,45,68,85.3,36.8,-0.24,213,51.2,42.3,-0.14
ADAUSDT,10,10,906,906,47.5,42,73.8,28.6,-0.33,175,38.3,39.4,-0.24
LINKUSDT,10,10,800,800,46,56,80.4,42.9,-0.29,169,46.7,47.9,0.09
SUIUSDT,10,10,526,526,48.3,29,72.4,48.3,0.15,94,52.1,39.4,-0.07
1000PEPEUSDT,10,10,525,525,48,33,69.7,33.3,-0.77,118,49.2,38.1,-0.13
AVAXUSDT,10,10,828,828,45.5,58,81,39.7,-0.04,165,52.7,45.5,-0.3
TONUSDT,10,10,409,409,42.8,28,75,46.4,0.04,67,41.8,55.2,0.05
TRXUSDT,10,10,937,937,41.3,24,70.8,33.3,-0.25,185,54.1,36.8,-0.08
NEARUSDT,10,10,888,888,46.1,76,72.4,31.6,-0.48,143,49.7,43.4,-0.15
APTUSDT,10,10,625,625,43.4,46,76.1,41.3,-0.2,90,44.4,43.3,0.07
ARBUSDT,10,10,541,541,43.8,33,72.7,39.4,-0.42,102,43.1,41.2,-0.23
OPUSDT,10,10,617,617,45.7,61,80.3,49.2,0.01,113,50.4,49.6,0.04
DOTUSDT,10,10,892,892,45.7,52,82.7,53.8,0.03,147,53.7,38.1,-0.13
FILUSDT,10,10,1016,1016,44.6,72,79.2,44.4,0.11,199,47.2,42.7,-0.05
LTCUSDT,10,10,965,965,43.7,42,90.5,45.2,0.14,190,45.8,41.6,-0.17
BTCUSDT,15,10,849,849,43.6,9,66.7,22.2,-0.29,274,55.1,36.1,-0.16
ETHUSDT,15,10,832,832,43.1,15,93.3,33.3,-0.25,254,51.6,42.5,-0.15
SOLUSDT,15,10,552,552,43.1,21,90.5,57.1,0.32,145,47.6,44.8,-0.24
XRPUSDT,15,10,754,754,44.7,28,89.3,39.3,0.19,189,39.7,38.1,0.02
BNBUSDT,15,10,733,733,42.2,14,92.9,42.9,0.03,175,49.7,40,-0.12
DOGEUSDT,15,10,766,766,46.1,30,83.3,33.3,0.08,190,48.9,42.6,-0.22
ADAUSDT,15,10,677,677,46.4,23,87,26.1,-0.53,144,37.5,45.8,-0.12
LINKUSDT,15,10,608,608,43.9,35,82.9,37.1,-0.19,149,49,46.3,0.09
SUIUSDT,15,10,383,383,47,19,73.7,42.1,0.16,74,50,41.9,-0.06
1000PEPEUSDT,15,10,383,383,49.3,20,65,35,-0.84,112,42,38.4,-0.17
AVAXUSDT,15,10,610,610,45.1,34,70.6,23.5,-0.49,131,47.3,45.8,-0.28
TONUSDT,15,10,316,316,44,22,77.3,45.5,0.1,55,40,50.9,-0.37
TRXUSDT,15,10,722,722,43.1,13,69.2,38.5,0.06,171,48.5,39.2,-0.04
NEARUSDT,15,10,688,688,47.4,51,78.4,47.1,-0.29,116,47.4,42.2,-0.2
APTUSDT,15,10,451,451,40.8,27,77.8,37,-0.29,69,42,43.5,0.1
ARBUSDT,15,10,439,439,42.6,25,76,44,-0.4,100,45,43,-0.05
OPUSDT,15,10,480,480,47.5,40,87.5,52.5,0.02,105,51.4,45.7,-0.16
DOTUSDT,15,10,667,667,46.2,37,78.4,51.4,0.2,144,50.7,36.8,-0.21
FILUSDT,15,10,757,757,46.4,35,80,51.4,0.08,179,40.2,41.3,-0.11
LTCUSDT,15,10,713,713,45.2,24,75,37.5,-0.42,183,47.5,43.2,-0.12
