mode,exit,n,win,exp,pf,oosN,oosWin,oosExp
V7,A0 TP2/SL2,1227,44.2,-0.061,0.87,1066,44.2,-0.063
V7,E10 TP1=1.0(66%)+BE,TP2=2,1227,62.7,0.013,1.04,1066,62.6,0.006
V7,E4 TP1=0.75(67%)+BE,TP2=2,1227,69.5,0,1,1066,69.2,-0.007
V7,E2 TP1=0.75+BE,TP2=1,1227,69.5,-0.056,0.79,1066,69.2,-0.063
V7,E5 TP1=0.5+BE,TP2=1.5,1227,78.9,-0.063,0.66,1066,78.9,-0.064
V7,B6 TP1=1.0(50%)+BE,TP2=2,1227,62.7,-0.071,0.78,1066,62.6,-0.077
V2,A0 TP2/SL2,1563,47.5,-0.026,0.94,1361,47.5,-0.026
V2,E10 TP1=1.0(66%)+BE,TP2=2,1563,65.2,0.025,1.08,1361,65.5,0.024
V2,E4 TP1=0.75(67%)+BE,TP2=2,1563,71.7,0.002,1.01,1361,71.6,-0.003
V2,E2 TP1=0.75+BE,TP2=1,1563,71.7,-0.049,0.82,1361,71.6,-0.054
V2,E5 TP1=0.5+BE,TP2=1.5,1563,77.9,-0.089,0.58,1361,77.5,-0.095
V2,B6 TP1=1.0(50%)+BE,TP2=2,1563,65.2,-0.058,0.82,1361,65.5,-0.06
