symbol,S,tEntry,tExit,pnlPct,pnlR,exitType,hold,cycleAge,pullLag,atrPct,volConfirm
NEARUSDT,1,2020-11-24 21:00,2020-11-24 21:45,-2.14,-1.07,SL1,4,1,0,1.2612948920819826,0.18
NEARUSDT,-1,2020-11-27 09:30,2020-11-27 12:00,1.18,0.59,SL2,11,1,0,1.4946800789110561,2.49
SOLUSDT,-1,2020-11-27 10:15,2020-11-27 12:00,1.18,0.59,SL2,8,1,0,1.5491631322604402,0.74
DOTUSDT,-1,2020-11-27 15:15,2020-11-27 15:45,0.52,0.26,SL2,3,1,0,1.1123982701042356,1.76
DOGEUSDT,-1,2020-11-27 17:30,2020-11-27 19:15,-2.14,-1.07,SL1,8,1,0,1.1407232132732337,1.39
NEARUSDT,1,2020-11-30 01:00,2020-11-30 04:15,-2.14,-1.07,SL1,14,1,0,0.9140535715118939,4.53
AVAXUSDT,1,2020-12-01 07:45,2020-12-01 10:30,1.18,0.59,SL2,12,1,0,0.606964329088374,1.36
NEARUSDT,1,2020-12-02 06:15,2020-12-03 07:00,1.18,0.59,SL2,100,1,0,1.144080523641321,1.25
SOLUSDT,1,2020-12-02 14:30,2020-12-02 15:30,1.18,0.59,SL2,5,1,0,0.924470091642845,0.69
AVAXUSDT,1,2020-12-02 16:15,2020-12-02 23:45,1.18,0.59,SL2,31,1,0,0.8476760337196227,0.88
LINKUSDT,1,2020-12-02 20:45,2020-12-03 01:30,-2.14,-1.07,SL1,20,1,0,0.8353690213465705,2.03
BTCUSDT,1,2020-12-03 09:45,2020-12-03 16:00,0.52,0.26,SL2,26,1,0,0.6090905037757843,0.85
ETHUSDT,1,2020-12-03 10:30,2020-12-03 16:15,0.52,0.26,SL2,24,1,0,0.6938118141686064,1.37
BNBUSDT,1,2020-12-03 14:15,2020-12-04 02:30,0.52,0.26,SL2,50,3,0,0.40952552727560365,0.6
TRXUSDT,-1,2020-12-04 04:15,2020-12-04 08:30,-2.14,-1.07,SL1,18,1,0,0.5303641719582086,0.44
NEARUSDT,1,2020-12-04 08:15,2020-12-04 09:15,-2.14,-1.07,SL1,5,2,0,0.9625479329650704,2.71
DOGEUSDT,-1,2020-12-04 10:45,2020-12-04 12:00,0.52,0.26,SL2,6,1,0,0.7189636916742769,1.13
ADAUSDT,-1,2020-12-04 11:00,2020-12-04 11:45,0.52,0.26,SL2,4,1,0,0.9548125618220246,0.81
SOLUSDT,-1,2020-12-06 06:45,2020-12-07 15:30,1.135,0.568,TIMEOUT,132,1,0,0.45267402724750655,0.68
NEARUSDT,-1,2020-12-06 09:15,2020-12-06 10:30,0.52,0.26,SL2,6,1,0,0.7484477150541343,1.25
LINKUSDT,-1,2020-12-06 11:15,2020-12-06 14:00,0.52,0.26,SL2,12,1,0,0.5242368982698574,1.36
BNBUSDT,-1,2020-12-06 14:00,2020-12-09 21:45,1.135,0.568,TIMEOUT,320,1,0,0.3738577865409737,2.18
LTCUSDT,-1,2020-12-06 15:45,2020-12-06 23:00,-2.14,-1.07,SL1,30,3,0,0.6569040895332697,0.67
ADAUSDT,-1,2020-12-07 11:30,2020-12-07 23:15,1.18,0.59,SL2,48,1,0,0.4433074236249381,0.62
LINKUSDT,-1,2020-12-07 12:00,2020-12-07 23:15,1.18,0.59,SL2,46,1,0,0.44711626296431395,1.69
DOGEUSDT,-1,2020-12-07 18:15,2020-12-08 08:30,1.2,0.6,TP2,58,1,0,0.38966481480521975,5.42
TRXUSDT,-1,2020-12-07 18:15,2020-12-09 21:30,1.135,0.568,TIMEOUT,206,1,0,0.39417140011742047,13.01
ETHUSDT,-1,2020-12-07 19:15,2020-12-09 14:00,1.135,0.568,TIMEOUT,172,1,0,0.4345240370616269,0.55
DOTUSDT,-1,2020-12-07 19:30,2020-12-09 14:30,1.135,0.568,TIMEOUT,173,1,0,0.5383016294171413,0.5
SOLUSDT,-1,2020-12-07 20:00,2020-12-08 05:45,1.18,0.59,SL2,40,1,0,0.6918071968401164,1.32
