symbol,S,tEntry,tExit,entry,exitPx,exitType,hold,pnlPct,pnlR,cycleAge,slowAge,cfLag,pullLag
NEARUSDT,1,2020-11-24 21:15,2020-11-25 01:00,1.2426,1.267452,TP,16,1.86,0.93,2,92,0,1
DOGEUSDT,-1,2020-11-27 18:15,2020-11-27 20:00,0.003138,0.003201,SL,8,-2.14,-1.07,4,148,0,3
NEARUSDT,1,2020-11-30 01:00,2020-11-30 04:15,1.0892,1.067416,SL,14,-2.14,-1.07,1,83,0,0
NEARUSDT,1,2020-12-02 06:15,2020-12-02 09:15,1.1487,1.171674,TP,13,1.86,0.93,1,296,0,0
SOLUSDT,1,2020-12-02 15:00,2020-12-02 17:45,2.1219,2.164338,TP,12,1.86,0.93,3,237,0,2
AVAXUSDT,1,2020-12-02 16:45,2020-12-02 17:45,3.7075,3.78165,TP,5,1.86,0.93,3,296,0,2
SOLUSDT,-1,2020-12-06 07:15,2020-12-06 09:15,1.9261,1.887578,TP,9,1.86,0.93,3,172,0,2
LINKUSDT,-1,2020-12-06 11:45,2020-12-06 13:45,13.066,12.80468,TP,9,1.86,0.93,3,170,0,2
LINKUSDT,-1,2020-12-07 12:30,2020-12-07 18:45,13.188,12.92424,TP,26,1.86,0.93,3,269,0,2
NEARUSDT,-1,2020-12-10 16:30,2020-12-10 19:00,0.984,0.96432,TP,11,1.86,0.93,2,535,0,1
TRXUSDT,-1,2020-12-10 18:45,2020-12-11 03:00,0.02811,0.027548,TP,34,1.86,0.93,3,825,1,1
DOTUSDT,-1,2020-12-11 00:45,2020-12-11 07:00,4.728,4.63344,TP,26,1.86,0.93,3,585,2,0
NEARUSDT,1,2020-12-14 06:15,2020-12-14 15:00,0.9746,0.994092,TP,36,1.86,0.93,1,107,0,0
BNBUSDT,1,2020-12-14 15:15,2020-12-14 20:15,29.527,30.11754,TP,21,1.86,0.93,1,159,0,0
FILUSDT,-1,2020-12-14 15:15,2020-12-14 20:00,29.856,29.25888,TP,20,1.86,0.93,1,167,0,0
DOTUSDT,1,2020-12-15 09:00,2020-12-15 09:45,5.035,5.1357,TP,4,1.86,0.93,1,191,0,0
FILUSDT,-1,2020-12-15 20:00,2020-12-16 21:30,29.124,28.54152,TP,103,1.86,0.93,1,282,0,0
LTCUSDT,1,2020-12-16 12:45,2020-12-16 13:30,82.25,83.895,TP,4,1.86,0.93,4,353,0,3
ADAUSDT,1,2020-12-16 14:00,2020-12-16 14:15,0.16509,0.161788,SL,2,-2.14,-1.07,1,319,0,0
LINKUSDT,1,2020-12-16 14:00,2020-12-16 14:15,13.312,13.04576,SL,2,-2.14,-1.07,1,308,0,0
TRXUSDT,1,2020-12-16 14:00,2020-12-16 23:15,0.03043,0.031039,TP,38,1.86,0.93,1,315,0,0
BNBUSDT,1,2020-12-16 14:45,2020-12-17 00:00,30.179,30.78258,TP,38,1.86,0.93,1,349,0,0
AVAXUSDT,1,2020-12-16 15:45,2020-12-16 18:15,3.3021,3.368142,TP,11,1.86,0.93,1,67,0,0
AVAXUSDT,1,2020-12-18 05:30,2020-12-18 07:45,3.3484,3.415368,TP,10,1.86,0.93,1,218,0,0
DOTUSDT,1,2020-12-19 06:15,2020-12-19 12:00,5.42,5.5284,TP,24,1.86,0.93,4,564,0,3
FILUSDT,-1,2020-12-19 18:00,2020-12-21 10:00,28.285,27.7193,TP,161,1.86,0.93,1,658,0,0
DOTUSDT,-1,2020-12-23 12:15,2020-12-23 15:45,4.966,4.86668,TP,15,1.86,0.93,4,258,0,3
NEARUSDT,1,2020-12-27 02:00,2020-12-27 02:45,1.0625,1.08375,TP,4,1.86,0.93,1,210,0,0
TRXUSDT,1,2020-12-27 16:00,2020-12-27 16:15,0.02902,0.0296,TP,2,1.86,0.93,1,221,0,0
ADAUSDT,1,2020-12-27 16:45,2020-12-27 17:30,0.16218,0.158936,SL,4,-2.14,-1.07,3,214,0,2
DOTUSDT,1,2020-12-28 06:15,2020-12-28 06:30,5.388,5.49576,TP,2,1.86,0.93,1,294,0,0
LTCUSDT,1,2020-12-28 15:00,2020-12-28 15:30,133.57,130.8986,SL,3,-2.14,-1.07,2,301,0,1
XRPUSDT,-1,2020-12-28 22:30,2020-12-28 22:45,0.2488,0.253776,SL,2,-2.14,-1.07,1,151,0,0
BTCUSDT,1,2020-12-30 00:30,2020-12-30 03:00,27691.97,28245.8094,TP,11,1.86,0.93,1,435,0,0
NEARUSDT,1,2020-12-30 01:00,2020-12-30 03:15,1.2122,1.236444,TP,10,1.86,0.93,1,494,0,0
LINKUSDT,-1,2021-01-01 00:30,2021-01-01 01:00,11.206,11.43012,SL,3,-2.14,-1.07,3,129,0,2
SOLUSDT,1,2021-01-01 01:30,2021-01-01 07:15,1.5921,1.623942,TP,24,1.86,0.93,1,309,0,0
ETHUSDT,1,2021-01-02 13:15,2021-01-02 16:30,765.22,780.5244,TP,14,1.86,0.93,1,774,0,0
LTCUSDT,1,2021-01-02 13:45,2021-01-02 14:15,131.09,128.4682,SL,3,-2.14,-1.07,1,776,0,0
DOTUSDT,1,2021-01-02 14:15,2021-01-02 14:30,8.929,9.10758,TP,2,1.86,0.93,3,806,0,2
BNBUSDT,1,2021-01-06 00:15,2021-01-06 11:15,41.025,41.8455,TP,45,1.86,0.93,4,1050,0,3
LTCUSDT,1,2021-01-06 02:30,2021-01-06 04:15,158.2,161.364,TP,8,1.86,0.93,2,1115,0,1
DOGEUSDT,1,2021-01-06 04:30,2021-01-06 04:45,0.010175,0.010379,TP,2,1.86,0.93,2,1188,0,1
AVAXUSDT,1,2021-01-08 10:00,2021-01-08 10:15,4.8124,4.908648,TP,2,1.86,0.93,1,711,0,0
LTCUSDT,1,2021-01-08 12:45,2021-01-08 13:00,172.48,169.0304,SL,2,-2.14,-1.07,2,1348,0,1
ETHUSDT,1,2021-01-08 13:00,2021-01-08 14:45,1236.21,1260.9342,TP,8,1.86,0.93,2,1349,0,1
TRXUSDT,1,2021-01-09 09:15,2021-01-09 10:00,0.03142,0.032048,TP,4,1.86,0.93,1,557,0,0
AVAXUSDT,1,2021-01-12 02:00,2021-01-12 02:15,6.9917,7.131534,TP,2,1.86,0.93,1,1063,0,0
DOGEUSDT,-1,2021-01-12 21:00,2021-01-12 21:30,0.008148,0.007985,TP,3,1.86,0.93,3,152,0,2
NEARUSDT,-1,2021-01-12 21:45,2021-01-12 22:45,1.4825,1.45285,TP,5,1.86,0.93,1,156,0,0
ADAUSDT,1,2021-01-16 10:00,2021-01-16 10:30,0.3392,0.332416,SL,3,-2.14,-1.07,1,214,0,0
TRXUSDT,1,2021-01-16 10:30,2021-01-16 12:00,0.03058,0.031192,TP,7,1.86,0.93,2,98,0,1
LTCUSDT,1,2021-01-16 13:30,2021-01-16 16:00,148.21,151.1742,TP,11,1.86,0.93,3,187,0,2
BNBUSDT,1,2021-01-17 16:30,2021-01-17 17:30,44.958,44.05884,SL,5,-2.14,-1.07,1,353,0,0
LINKUSDT,1,2021-01-17 17:45,2021-01-17 19:15,22.006,22.44612,TP,7,1.86,0.93,1,373,0,0
TRXUSDT,1,2021-01-18 10:15,2021-01-18 11:45,0.03072,0.031334,TP,7,1.86,0.93,4,289,0,3
ETHUSDT,1,2021-01-19 00:15,2021-01-19 01:15,1259.28,1284.4656,TP,5,1.86,0.93,1,434,0,0
ADAUSDT,1,2021-01-21 01:15,2021-01-21 04:45,0.36831,0.360944,SL,15,-2.14,-1.07,4,659,0,3
BTCUSDT,-1,2021-01-24 16:15,2021-01-24 19:15,31704.29,31070.2042,TP,13,1.86,0.93,1,848,0,0
LTCUSDT,-1,2021-01-24 17:15,2021-01-24 19:15,138.14,135.3772,TP,9,1.86,0.93,3,388,0,2
BNBUSDT,1,2021-01-25 00:30,2021-01-25 09:45,42.716,41.86168,SL,38,-2.14,-1.07,1,60,0,0
ADAUSDT,1,2021-01-25 04:00,2021-01-25 07:15,0.36183,0.354593,SL,14,-2.14,-1.07,3,74,0,2
DOGEUSDT,-1,2021-01-25 18:30,2021-01-25 22:00,0.008518,0.008348,TP,15,1.86,0.93,1,421,0,0
AVAXUSDT,-1,2021-01-29 20:30,2021-01-30 02:15,11.6292,11.396616,TP,24,1.86,0.93,3,340,0,2
BNBUSDT,1,2021-01-30 12:00,2021-01-31 00:30,44.38,45.2676,TP,51,1.86,0.93,1,110,0,0
BNBUSDT,1,2021-02-01 05:30,2021-02-01 09:00,45.282,46.18764,TP,15,1.86,0.93,1,276,0,0
SOLUSDT,1,2021-02-01 13:30,2021-02-01 17:45,4.2754,4.360908,TP,18,1.86,0.93,4,938,0,3
ADAUSDT,1,2021-02-01 18:45,2021-02-01 19:45,0.36176,0.368995,TP,5,1.86,0.93,1,328,0,0
ADAUSDT,1,2021-02-05 01:15,2021-02-05 02:00,0.46415,0.473433,TP,4,1.86,0.93,1,642,0,0
LINKUSDT,1,2021-02-05 03:00,2021-02-05 04:30,25.78,26.2956,TP,7,1.86,0.93,1,207,0,0
BTCUSDT,1,2021-02-08 12:30,2021-02-08 12:45,40560.8,41372.016,TP,2,1.86,0.93,1,577,0,0
LTCUSDT,1,2021-02-08 13:00,2021-02-08 13:15,158.78,161.9556,TP,2,1.86,0.93,1,590,0,0
LTCUSDT,1,2021-02-11 11:45,2021-02-11 13:00,186.1,189.822,TP,6,1.86,0.93,2,873,0,1
BTCUSDT,1,2021-02-11 12:30,2021-02-11 13:00,46494.67,47424.5634,TP,3,1.86,0.93,1,865,0,0
TRXUSDT,1,2021-02-11 16:00,2021-02-11 16:45,0.04857,0.049541,TP,4,1.86,0.93,4,1293,0,3
BNBUSDT,1,2021-02-14 13:30,2021-02-14 14:45,135.653,132.93994,SL,6,-2.14,-1.07,3,1556,0,2
TRXUSDT,-1,2021-02-16 22:00,2021-02-16 23:00,0.05062,0.051632,SL,5,-2.14,-1.07,3,172,0,2
BNBUSDT,1,2021-02-17 10:15,2021-02-17 10:45,134.35,137.037,TP,3,1.86,0.93,1,1831,0,0
SOLUSDT,1,2021-02-19 07:15,2021-02-19 09:45,9.4372,9.625944,TP,11,1.86,0.93,1,65,0,0
DOTUSDT,1,2021-02-19 08:45,2021-02-19 11:15,32.882,33.53964,TP,11,1.86,0.93,1,286,0,0
SOLUSDT,1,2021-02-22 17:45,2021-02-22 18:00,11.7115,11.47727,SL,2,-2.14,-1.07,1,395,0,0
ETHUSDT,-1,2021-02-25 20:00,2021-02-25 21:45,1564.27,1532.9846,TP,8,1.86,0.93,1,330,0,0
