combo,n,winrate,avg,total,hold
W24_emapull_V2,5239,40.69,1.034,5418.7,156.7
W12_emapull_V1,10725,40.57,1.031,11060.3,153.9
W8_emapull_V1,10467,40.57,1.044,10925.4,153.6
W4_emapull_V1,10103,40.55,1.041,10520.3,153.3
W12_emapull_V2,4856,40.55,1.035,5025.9,156.4
W4_emapull_V2,4497,40.54,1.085,4880.7,155.8
W8_emapull_V2,4697,40.54,1.059,4975.9,156
W24_emapull_V1,11348,40.53,1.014,11505.9,153.9
W12_emapull_V1.5,6949,40.39,1.01,7016.7,155.1
W24_emapull_V1.5,7437,40.38,0.997,7412.3,155.3
W4_emapull_V1.5,6494,40.38,1.02,6626.2,154.5
W8_emapull_V1.5,6753,40.34,1.024,6911.9,154.7
W24_flip_V2,5239,40.03,0.741,3884,164.1
W8_emapull_Vx,17645,39.96,0.874,15415.6,151.6
W12_emapull_Vx,17981,39.96,0.865,15559.6,151.6
W24_emapull_Vx,18730,39.91,0.856,16024.5,151.7
W4_emapull_Vx,17148,39.86,0.863,14792.9,151.1
W24_flip_V1.5,7437,39.34,0.684,5085.8,162.6
W24_flip_V1,11348,39.25,0.688,7807.4,161
W12_flip_V2,4856,38.82,0.616,2991.4,162.6
W24_zonepull_V2,5239,38.69,0.736,3855.7,160.3
W12_zonepull_V1,10725,38.64,0.767,8221.2,157.5
W24_zonepull_V1,11348,38.62,0.752,8535.3,157.5
W8_zonepull_V1,10467,38.61,0.776,8127.3,157.2
W4_zonepull_V1,10103,38.57,0.774,7816.2,156.9
W12_flip_V1,10725,38.54,0.621,6655.5,160.1
W12_zonepull_V2,4856,38.49,0.726,3526.1,160.1
W12_zonepull_Vx,17981,38.45,0.652,11717.1,155
W24_zonepull_V1.5,7437,38.44,0.702,5220.3,159
W8_zonepull_Vx,17645,38.43,0.658,11614.3,154.9
W24_zonepull_Vx,18730,38.42,0.642,12027.2,155
W8_zonepull_V2,4697,38.41,0.743,3488.5,159.7
W12_flip_V1.5,6949,38.39,0.588,4082.8,161.4
W24_flip_Vx,18730,38.39,0.539,10099.7,158.3
W12_zonepull_V1.5,6949,38.38,0.707,4913.2,158.9
W4_zonepull_V2,4497,38.36,0.763,3431.7,159.5
W4_zonepull_Vx,17148,38.33,0.648,11105.6,154.5
W4_zonepull_V1.5,6494,38.3,0.711,4615.7,158.3
W8_zonepull_V1.5,6753,38.28,0.717,4839.8,158.5
W8_flip_V2,4697,38.26,0.584,2742.6,161.9
W8_flip_V1,10467,38.22,0.598,6257.1,159.6
W12_flip_Vx,17981,37.92,0.492,8850.5,157.6
W8_flip_V1.5,6753,37.89,0.557,3760.3,160.7
W4_flip_V1,10103,37.84,0.547,5523.6,159.1
W8_flip_Vx,17645,37.72,0.476,8404.5,157.3
W4_flip_V2,4497,37.63,0.536,2408.9,161.5
W4_nextopen_V1,10103,37.56,0.495,5004.1,158
W12_nextopen_V1,10725,37.56,0.486,5208,158.6
W8_nextopen_V1,10467,37.55,0.498,5214.6,158.3
W4_conf_V1,10103,37.54,0.496,5013.2,159
W12_conf_V1,10725,37.54,0.486,5217.1,159.6
W8_conf_V1,10467,37.53,0.499,5223.4,159.3
W24_nextopen_V1,11348,37.45,0.469,5317.8,158.6
W4_flip_V1.5,6494,37.43,0.493,3200.6,160.3
W24_conf_V1,11348,37.43,0.469,5325.9,159.6
W4_flip_Vx,17148,37.37,0.433,7417.5,156.8
W24_nextopen_V2,5239,37.3,0.419,2196.6,161.3
W24_conf_V2,5239,37.28,0.42,2199.2,162.3
W12_nextopen_V2,4856,37.23,0.417,2023,161
W12_conf_Vx,17981,37.22,0.397,7145.5,157.2
W12_conf_V2,4856,37.21,0.417,2026.2,162
W8_conf_Vx,17645,37.21,0.407,7175.2,157.1
W12_nextopen_Vx,17981,37.21,0.397,7132.8,156.2
W8_nextopen_Vx,17645,37.21,0.406,7162.6,156.1
W4_nextopen_V2,4497,37.2,0.459,2065.1,160.4
W4_conf_V2,4497,37.18,0.46,2068.3,161.4
W8_nextopen_V2,4697,37.17,0.438,2057.4,160.6
W8_conf_V2,4697,37.15,0.439,2060.6,161.6
W24_conf_Vx,18730,37.14,0.386,7231.2,157.2
W24_nextopen_Vx,18730,37.14,0.385,7219.7,156.2
W4_conf_Vx,17148,37.13,0.396,6788,156.7
W4_nextopen_Vx,17148,37.12,0.395,6774.9,155.7
W4_conf_V1.5,6494,37.05,0.427,2774,160.2
W4_nextopen_V1.5,6494,37.05,0.426,2767.3,159.2
W12_conf_V1.5,6949,37.04,0.418,2904.1,160.8
W12_nextopen_V1.5,6949,37.04,0.417,2897.5,159.8
W24_conf_V1.5,7437,36.98,0.407,3026.8,161
W24_nextopen_V1.5,7437,36.98,0.406,3020.9,160
W8_conf_V1.5,6753,36.98,0.432,2915.4,160.4
W8_nextopen_V1.5,6753,36.98,0.431,2908.9,159.4
