variant,exit,n,win,exp,pf,oosN,oosWin,oosExp
V1,E10,2673,82.6,0.269,2.57,861,81.2,0.26
V1,A0,2673,70,0.362,2.27,861,68.5,0.339
V2,E10,2672,75.3,0.147,1.58,860,74.1,0.145
V2,A0,2672,64.5,0.251,1.73,860,63.3,0.233
V3,E10,2654,75.1,0.145,1.57,853,73.9,0.141
V3,A0,2654,64.4,0.249,1.72,853,63.2,0.232
V4,E10,1749,76.3,0.148,1.59,527,75.1,0.142
V4,A0,1749,67,0.284,1.84,527,66.4,0.271
V5,E10,1598,92.4,0.422,6.84,499,93.2,0.458
V5,A0,1598,81.7,0.594,4.66,499,80.8,0.589
V6,E10,2654,75.1,0.145,1.57,853,73.9,0.141
V6,A0,2654,64.4,0.249,1.72,853,63.2,0.232
