symbol,state,tEntry
IMXUSDT,1,2022-02-21T12:45
IMXUSDT,0,2022-02-27T00:30
IMXUSDT,2,2022-03-09T12:00
IMXUSDT,0,2022-04-10T23:15
IMXUSDT,2,2022-04-26T13:45
IMXUSDT,2,2022-06-10T13:45
IMXUSDT,1,2022-06-16T10:30
IMXUSDT,2,2022-07-16T16:30
IMXUSDT,2,2022-07-22T16:00
IMXUSDT,0,2022-09-18T21:45
IMXUSDT,2,2022-10-28T16:00
IMXUSDT,0,2022-11-22T06:45
IMXUSDT,1,2023-01-04T01:45
IMXUSDT,1,2023-01-06T17:15
IMXUSDT,2,2023-01-12T00:45
IMXUSDT,0,2023-02-01T20:15
IMXUSDT,0,2023-03-05T02:15
IMXUSDT,2,2023-04-19T08:00
IMXUSDT,2,2023-04-23T16:00
IMXUSDT,0,2023-06-04T09:00
IMXUSDT,0,2023-07-30T00:45
IMXUSDT,0,2023-08-15T18:15
IMXUSDT,0,2023-12-07T04:30
IMXUSDT,2,2023-12-14T07:15
IMXUSDT,0,2024-01-17T07:45
IMXUSDT,1,2024-02-05T10:45
IMXUSDT,1,2024-02-07T15:45
IMXUSDT,0,2024-02-09T01:00
IMXUSDT,1,2024-02-14T10:00
IMXUSDT,1,2024-02-17T23:15
IMXUSDT,0,2024-04-11T12:15
IMXUSDT,0,2024-04-28T23:30
IMXUSDT,0,2024-05-14T06:15
IMXUSDT,0,2024-05-28T00:15
IMXUSDT,2,2024-06-18T01:30
IMXUSDT,0,2024-07-11T12:45
IMXUSDT,0,2024-08-31T14:15
IMXUSDT,1,2024-09-13T16:00
IMXUSDT,0,2024-09-21T13:30
IMXUSDT,0,2024-10-07T10:45
IMXUSDT,0,2024-10-20T06:15
IMXUSDT,2,2024-12-21T13:15
IMXUSDT,2,2024-12-30T14:30
IMXUSDT,0,2025-01-03T11:45
IMXUSDT,2,2025-01-19T22:30
IMXUSDT,0,2025-02-11T05:30
IMXUSDT,2,2025-03-02T16:30
IMXUSDT,2,2025-04-22T12:15
