iter,ret,mdd
0,138.18,8.27
1,157.28,5.24
2,165.6,5.44
3,166.81,4.94
4,170.19,6.27
5,171.55,5.52
6,171.82,5.32
7,172.68,5.18
8,183.84,5.23
9,185.7,4.72
10,186.56,5.87
11,187.93,7
12,188.24,8.17
13,188.75,6.24
14,191.62,4.33
15,192.8,6.54
16,192.92,6.06
17,193.27,5.62
18,193.38,4.76
19,193.77,7.26
20,194.09,4.38
21,194.67,5.36
22,194.9,3.96
23,195.05,5.49
24,195.98,4.7
25,197.04,6.22
26,197.65,6.36
27,198.16,4.52
28,198.32,8.42
29,200,5.24
30,200.02,4.31
31,200.36,4.45
32,200.59,5.71
33,201.83,8.25
34,202.45,4.6
35,203.3,5.21
36,203.77,6.16
37,203.82,3.87
38,203.84,6.97
39,204.04,3.65
40,205.15,9.56
41,205.5,5.04
42,206.02,4.6
43,206.78,6.16
44,206.91,4.42
45,206.93,4.21
46,207.21,4.62
47,207.22,3.64
48,208.02,5.16
49,208.42,4.13
50,208.44,4.21
51,208.44,4.74
52,208.67,5.61
53,209.19,5.92
54,209.19,6.07
55,209.66,5.45
56,209.71,4.36
57,209.91,5.2
58,209.93,5.53
59,210.18,5.82
60,210.4,4.45
61,210.47,6.79
62,210.49,6.31
63,210.88,3.65
64,211.01,6.18
65,211.09,4.74
66,211.19,3.89
67,211.29,4.18
68,211.85,8.63
69,211.89,5.91
70,211.97,5.02
71,212.64,4.18
72,212.7,6.58
73,212.88,6.18
74,212.95,6.16
75,213.08,8.51
76,213.31,7.06
77,213.48,5.11
78,213.65,7.9
79,213.67,4.69
80,213.89,3.84
81,213.94,6.71
82,214.82,7.13
83,215.54,4.65
84,215.78,4.46
85,215.97,6.04
86,216.04,5.09
87,216.05,4.86
88,216.06,4.5
89,216.79,4.57
90,216.96,5.24
91,217.03,6.99
92,217.09,4.02
93,217.22,5.35
94,217.52,4.7
95,217.76,6.25
96,217.82,4.99
97,218.54,4.25
98,218.55,3.64
99,218.79,5.25
100,218.8,8.1
101,218.82,6.55
102,218.83,7.02
103,218.95,4.94
104,218.97,6.05
105,218.97,5.25
106,219,6.65
107,219.43,6.39
108,219.45,4.21
109,219.6,5.21
110,219.62,6.04
111,219.63,7.4
112,219.64,4.11
113,219.69,4.82
114,219.84,5.44
115,219.85,8.08
116,220.03,4.62
117,221.11,8.42
118,221.29,6.01
119,221.31,5.91
120,221.67,6.71
121,221.83,8.94
122,222.03,3.55
123,222.14,7.4
124,222.26,4.27
125,222.33,6.53
126,222.38,4.76
127,222.68,5.14
128,222.8,4.72
129,222.83,7.35
130,222.89,5
131,222.95,4.06
132,223.06,5.74
133,223.06,4.7
134,223.32,4.95
135,223.39,7.25
136,223.65,4.66
137,223.77,4.59
138,224.09,6.8
139,224.18,4.58
140,224.27,5.62
141,224.32,3.77
142,224.47,5.97
143,224.74,4.09
144,224.99,4.12
145,225.02,4.21
146,225.03,4.67
147,225.1,8.75
148,225.16,4.67
149,225.51,5.16
150,225.52,5.44
151,225.54,4.33
152,225.67,6.04
153,225.7,6.1
154,225.78,5.18
155,225.87,3.77
156,225.93,4.96
157,226.44,6.7
158,226.55,4.04
159,226.59,5.22
160,226.99,4.45
161,227.16,6.49
162,227.44,5.77
163,227.48,7.17
164,227.73,5.05
165,227.73,6.55
166,227.76,4.99
167,227.77,4.51
168,227.77,4.12
169,227.84,5.56
170,227.96,5.45
171,228.07,6.42
172,228.13,5.44
173,228.13,5
174,228.14,6.51
175,228.14,3.65
176,228.17,3.58
177,228.24,4.51
178,228.33,4.59
179,228.44,5.35
180,228.46,4.27
181,228.55,5.5
182,228.55,4.79
183,228.57,6.01
184,228.86,3.96
185,228.88,6.32
186,228.94,4.47
187,228.96,4.99
188,229.03,4.43
189,229.08,5.49
190,229.16,7.82
191,229.22,3.96
192,229.25,4.22
193,229.35,4.83
194,229.53,7.31
195,229.58,6.43
196,229.64,4.93
197,229.69,4.43
198,229.78,5.01
199,229.97,5.02
200,230.01,3.84
201,230.06,5.14
202,230.3,5.85
203,230.55,5.24
204,230.58,4.12
205,230.58,4.93
206,230.62,6.23
207,230.83,10.03
208,230.99,3.7
209,231.04,5.86
210,231.22,4.21
211,231.24,5.55
212,231.34,5.57
213,231.35,4.86
214,231.36,6.14
215,231.61,5.71
216,231.63,5.08
217,231.97,5.38
218,231.98,7.5
219,232.17,4.86
220,232.36,6.05
221,232.4,4.85
222,232.68,4.91
223,232.92,3.4
224,233.01,3.91
225,233.03,4.07
226,233.55,4.26
227,233.57,5.29
228,233.72,5.66
229,233.73,4.24
230,233.78,4.08
231,234.12,4.04
232,234.17,3.87
233,234.19,3.92
234,234.34,4.46
235,234.41,4.74
236,234.42,5.45
237,234.44,4.27
238,234.8,5.63
239,234.82,4.14
240,235.05,6.25
241,235.26,4.82
242,235.3,5.71
243,235.31,4.54
244,235.45,5.08
245,235.48,4.11
246,235.5,5.04
247,235.52,6.65
248,235.62,3.18
249,235.65,4.45
250,235.66,4.61
251,235.69,6.3
252,235.8,6.38
253,235.82,5.64
254,235.82,4.19
255,235.83,4.35
256,235.85,5.69
257,235.97,4.8
258,235.97,7.69
259,236.11,3.67
260,236.11,3.32
261,236.15,5.15
262,236.16,6.42
263,236.22,4.9
264,236.24,4.06
265,236.31,6.07
266,236.56,3.99
267,236.62,6.48
268,236.64,5.93
269,236.74,4.18
270,236.77,5.56
271,236.82,8.15
272,236.82,4.13
273,236.89,4.03
274,236.9,4.88
275,237.14,5.62
276,237.23,4.42
277,237.27,3.73
278,237.47,4.14
279,237.47,4.05
280,237.61,6.68
281,237.62,7.37
282,237.71,6.07
283,237.78,4.49
284,237.78,5.11
285,237.79,5.36
286,237.86,4.67
287,237.9,6.65
288,237.92,4.68
289,237.95,5.2
290,237.98,3.64
291,238.07,4.88
292,238.13,6.52
293,238.15,5.35
294,238.45,7.15
295,238.53,4.08
296,238.57,5.62
297,238.6,6.6
298,238.63,4.84
299,238.66,5.85
300,238.75,6.56
301,238.75,5.21
302,238.77,8.64
303,238.8,4.83
304,238.86,5.07
305,238.89,3.68
306,238.99,4.12
307,239.03,6.89
308,239.08,3.32
309,239.21,4.84
310,239.21,4.04
311,239.24,3.32
312,239.26,4.97
313,239.31,6.13
314,239.46,5.12
315,239.53,5.9
316,239.56,6.48
317,239.58,7.83
318,239.75,4.93
319,239.81,3.67
320,239.89,5.93
321,240.09,6.41
322,240.26,4.21
323,240.53,6.12
324,240.54,5
325,240.69,4.42
326,240.7,4.21
327,240.71,6.12
328,240.73,5.08
329,240.75,6.12
330,240.77,4.92
331,240.77,5.27
332,240.8,6.7
333,240.87,6.41
334,240.89,5.22
335,240.96,4.2
336,241.01,4.21
337,241.07,5.24
338,241.27,6.8
339,241.27,4.11
340,241.42,6.45
341,241.54,5.47
342,241.77,4.89
343,241.81,4.64
344,241.84,4.21
345,241.97,5.71
346,242.03,8.19
347,242.09,5.89
348,242.29,5.85
349,242.35,6.34
350,242.38,4.68
351,242.52,4.7
352,242.67,6.33
353,242.74,3.93
354,242.74,4.69
355,242.82,4.71
356,242.85,5.24
357,242.94,5.38
358,243,3.85
359,243.01,5.24
360,243.18,3.96
361,243.27,4.19
362,243.3,3.96
363,243.35,5.73
364,243.36,5.7
365,243.42,4.62
366,243.43,5.75
367,243.5,3.66
368,243.5,4.21
369,243.54,5.25
370,243.59,5.67
371,243.66,4.98
372,243.7,5.21
373,243.71,5.53
374,243.73,4.21
375,243.73,3.65
376,243.75,7.9
377,243.8,6.12
378,243.8,4.59
379,243.84,5.72
380,243.85,5.04
381,244.04,3.89
382,244.1,3.87
383,244.22,5.86
384,244.24,3.87
385,244.39,3.88
386,244.41,5.17
387,244.41,5.38
388,244.42,4.34
389,244.51,6.42
390,244.55,4.22
391,244.63,5.46
392,244.65,7.65
393,244.9,5.01
394,244.94,3.73
395,245.01,4.56
396,245.24,4.67
397,245.29,4.08
398,245.31,6.52
399,245.45,4.35
400,245.47,4.8
401,245.54,3.71
402,245.56,4.94
403,245.57,4.79
404,245.62,3.78
405,245.64,5.99
406,245.71,7.36
407,245.74,4.13
408,245.77,6.26
409,245.84,4
410,245.87,3.89
411,245.92,7.15
412,245.95,4.12
413,246.03,5.05
414,246.16,4.26
415,246.17,5.53
416,246.18,4.21
417,246.26,8.82
418,246.26,4.47
419,246.31,3.94
420,246.32,4.21
421,246.33,4.03
422,246.39,3.57
423,246.43,5.78
424,246.43,4.79
425,246.44,4.28
426,246.53,5.24
427,246.53,6.05
428,246.6,6.01
429,246.73,3.35
430,246.75,3.69
431,246.86,3.95
432,246.87,4.77
433,246.9,5.31
434,246.93,5.24
435,247.02,4.17
436,247.17,4.03
437,247.21,4.21
438,247.21,3.96
439,247.24,6.87
440,247.25,5.04
441,247.25,4.49
442,247.29,6.53
443,247.3,6.56
444,247.35,5.19
445,247.36,5.47
446,247.42,5.72
447,247.45,4.3
448,247.51,8.34
449,247.59,4.29
450,247.77,5.31
451,247.8,7.08
452,247.81,4.97
453,247.84,5.78
454,247.87,4.67
455,247.9,3.87
456,247.9,3.18
457,247.95,4.69
458,248.05,4.36
459,248.14,4.67
460,248.21,5.13
461,248.31,4.11
462,248.36,4.19
463,248.58,3.89
464,248.67,3.79
465,248.68,3.64
466,248.69,5.4
467,248.7,5.24
468,248.77,6.19
469,248.81,6.48
470,248.82,4.35
471,248.92,5.49
472,248.95,5.5
473,249.1,5.57
474,249.19,5.82
475,249.41,3.86
476,249.42,3.87
477,249.46,3.57
478,249.69,5.45
479,249.78,4.68
480,249.81,3.6
481,249.83,3.86
482,249.94,5.36
483,249.95,4.12
484,249.96,4.52
485,250,4.67
486,250.09,4.35
487,250.12,4.68
488,250.21,4.32
489,250.21,5.32
490,250.44,7.04
491,250.47,6.25
492,250.58,3.78
493,250.6,4.62
494,250.64,3.77
495,250.82,5.15
496,250.93,4.13
497,250.95,4.86
498,250.97,6.71
499,250.97,4.42
500,251.02,4.15
501,251.1,5.83
502,251.13,3.71
503,251.14,5.47
504,251.16,4.1
505,251.19,4.08
506,251.22,4.27
507,251.23,3.6
508,251.26,5
509,251.3,4.35
510,251.34,3.18
511,251.37,6.41
512,251.4,5.34
513,251.67,5.81
514,251.69,4.22
515,251.81,5.16
