tp,mm,eq,cagr,maxDD,ddcagr,maxRisk,sw,sl,blew
A0 BASE TP2/SL2,Fixed 0.5%,12251,132.5,7.9,0.06,0.5,28,9,0
A0 BASE TP2/SL2,Fixed 1.0%,1414330,435,15.2,0.03,1,28,9,0
A0 BASE TP2/SL2,Fixed 2.0%,15778791611,2645.5,28.2,0.01,2,28,9,0
A0 BASE TP2/SL2,Kelly FULL,4313,93.6,6.2,0.07,0.4,28,9,0
A0 BASE TP2/SL2,Kelly HALF,660,39.2,3.1,0.08,0.2,28,9,0
A0 BASE TP2/SL2,Kelly QUARTER,257,18,1.6,0.09,0.1,28,9,0
A0 BASE TP2/SL2,Martingale x2 (base 0.5, cap 8),24557,162.7,57.7,0.35,8,28,9,0
A0 BASE TP2/SL2,Martingale x2 (base 1.0, cap 16),3020714,511.2,83.8,0.16,16,28,9,0
A0 BASE TP2/SL2,Anti-mart x2 (base 0.5, cap 8),32808556459949335000,118407.6,18.4,0,8,28,9,0
A0 BASE TP2/SL2,Anti-mart x2 (base 1.0, cap 16),7.078634022802229e+34,58154675.1,37.6,0,16,28,9,0
E4 TP1=0.75(67%)+BE,TP2=2,Fixed 0.5%,1123,52.9,4,0.07,0.5,41,7,0
E4 TP1=0.75(67%)+BE,TP2=2,Fixed 1.0%,12372,132.9,7.8,0.06,1,41,7,0
E4 TP1=0.75(67%)+BE,TP2=2,Fixed 2.0%,1420609,435.4,15.1,0.03,2,41,7,0
E4 TP1=0.75(67%)+BE,TP2=2,Kelly FULL,1032,50.6,3.8,0.08,0.5,41,7,0
E4 TP1=0.75(67%)+BE,TP2=2,Kelly HALF,322,22.8,1.9,0.08,0.2,41,7,0
E4 TP1=0.75(67%)+BE,TP2=2,Kelly QUARTER,180,10.8,1,0.09,0.1,41,7,0
E4 TP1=0.75(67%)+BE,TP2=2,Martingale x2 (base 0.5, cap 8),1119,52.8,30.1,0.57,8,41,7,0
E4 TP1=0.75(67%)+BE,TP2=2,Martingale x2 (base 1.0, cap 16),11603,130.3,52.5,0.4,16,41,7,0
E4 TP1=0.75(67%)+BE,TP2=2,Anti-mart x2 (base 0.5, cap 8),34787946403202,10500.3,24.4,0,8,41,7,0
E4 TP1=0.75(67%)+BE,TP2=2,Anti-mart x2 (base 1.0, cap 16),6.568045750184894e+23,673767.2,45.3,0,16,41,7,0
E10 TP1=1.0(67%)+BE,TP2=2,Fixed 0.5%,3590,87.5,3.7,0.04,0.5,35,7,0
E10 TP1=1.0(67%)+BE,TP2=2,Fixed 1.0%,125275,249.6,7.3,0.03,1,35,7,0
E10 TP1=1.0(67%)+BE,TP2=2,Fixed 2.0%,140161861,1098.5,14.1,0.01,2,35,7,0
E10 TP1=1.0(67%)+BE,TP2=2,Kelly FULL,3719,88.6,3.7,0.04,0.5,35,7,0
E10 TP1=1.0(67%)+BE,TP2=2,Kelly HALF,612,37.4,1.9,0.05,0.3,35,7,0
E10 TP1=1.0(67%)+BE,TP2=2,Kelly QUARTER,248,17.2,0.9,0.05,0.1,35,7,0
E10 TP1=1.0(67%)+BE,TP2=2,Martingale x2 (base 0.5, cap 8),4592,95.7,32.3,0.34,8,35,7,0
E10 TP1=1.0(67%)+BE,TP2=2,Martingale x2 (base 1.0, cap 16),183880,274,56.2,0.2,16,35,7,0
E10 TP1=1.0(67%)+BE,TP2=2,Anti-mart x2 (base 0.5, cap 8),881438510268831000,62720.2,20.6,0,8,35,7,0
E10 TP1=1.0(67%)+BE,TP2=2,Anti-mart x2 (base 1.0, cap 16),1.5804083657160994e+32,19922689,38.4,0,16,35,7,0
E5 TP1=0.5(50%)+BE,TP2=1.5,Fixed 0.5%,176,10.4,4.6,0.44,0.5,55,4,0
E5 TP1=0.5(50%)+BE,TP2=1.5,Fixed 1.0%,307,21.8,9.1,0.42,1,55,4,0
E5 TP1=0.5(50%)+BE,TP2=1.5,Fixed 2.0%,907,47.2,17.6,0.37,2,55,4,0
E5 TP1=0.5(50%)+BE,TP2=1.5,Kelly FULL,134,5.2,2.4,0.46,0.3,55,4,0
E5 TP1=0.5(50%)+BE,TP2=1.5,Kelly HALF,116,2.6,1.2,0.46,0.1,55,4,0
E5 TP1=0.5(50%)+BE,TP2=1.5,Kelly QUARTER,108,1.3,0.6,0.47,0.1,55,4,0
E5 TP1=0.5(50%)+BE,TP2=1.5,Martingale x2 (base 0.5, cap 8),156,8.1,7.9,0.98,8,55,4,0
E5 TP1=0.5(50%)+BE,TP2=1.5,Martingale x2 (base 1.0, cap 16),237,16.4,15.4,0.94,16,55,4,0
E5 TP1=0.5(50%)+BE,TP2=1.5,Anti-mart x2 (base 0.5, cap 8),209290,282.6,39.7,0.14,8,55,4,0
E5 TP1=0.5(50%)+BE,TP2=1.5,Anti-mart x2 (base 1.0, cap 16),75108388,974.2,66.9,0.07,16,55,4,0
B6 TP1=1.0(50%)+BE,TP2=2,Fixed 0.5%,1057,51.3,3.7,0.07,0.5,35,7,0
B6 TP1=1.0(50%)+BE,TP2=2,Fixed 1.0%,10931,127.9,7.3,0.06,1,35,7,0
B6 TP1=1.0(50%)+BE,TP2=2,Fixed 2.0%,1091254,411.2,14.2,0.03,2,35,7,0
B6 TP1=1.0(50%)+BE,TP2=2,Kelly FULL,728,41.7,3.1,0.07,0.4,35,7,0
B6 TP1=1.0(50%)+BE,TP2=2,Kelly HALF,270,19.1,1.6,0.08,0.2,35,7,0
B6 TP1=1.0(50%)+BE,TP2=2,Kelly QUARTER,164,9.1,0.8,0.09,0.1,35,7,0
B6 TP1=1.0(50%)+BE,TP2=2,Martingale x2 (base 0.5, cap 8),973,49.1,36.9,0.75,8,35,7,0
B6 TP1=1.0(50%)+BE,TP2=2,Martingale x2 (base 1.0, cap 16),8380,117.5,62,0.53,16,35,7,0
B6 TP1=1.0(50%)+BE,TP2=2,Anti-mart x2 (base 0.5, cap 8),6381611057908,7771.8,22.3,0,8,35,7,0
B6 TP1=1.0(50%)+BE,TP2=2,Anti-mart x2 (base 1.0, cap 16),1.7205307587218438e+22,355532.1,41.6,0,16,35,7,0
