tp,mm,eq,cagr,maxDD,ddcagr,skipped,maxOpen,maxRisk,streakL
A0 BASE TP2/SL2,Fixed 0.5%,11895,131.3,7.7,0.06,0,10,5,10
A0 BASE TP2/SL2,Fixed 1.0%,1259229,424,14.9,0.04,0,10,10,10
A0 BASE TP2/SL2,Fixed 2.0%,10061196344,2435.4,27.9,0.01,0,10,20,10
A0 BASE TP2/SL2,Kelly FULL,100,0,0,Infinity,2673,0,0,0
A0 BASE TP2/SL2,Kelly HALF,1.1325451569192454e+30,8356035.4,87.5,0,1189,1,19.5,6
A0 BASE TP2/SL2,Kelly QUARTER,8.225526022557755e+26,2351133.1,73.7,0,548,2,19.5,7
A0 BASE TP2/SL2,Martingale x2 (base 0.5, cap 8),393076,327.2,47.2,0.14,17,10,20,10
A0 BASE TP2/SL2,Martingale x2 (base 1.0, cap 16),201227678,1176.3,58.2,0.05,74,10,20,9
A0 BASE TP2/SL2,Anti-mart x2 (base 0.5, cap 8),145469458880,3951.2,36.2,0.01,153,10,20,10
A0 BASE TP2/SL2,Anti-mart x2 (base 1.0, cap 16),15812946067239660,30886.8,53.8,0,408,10,20,10
E4 TP1=0.75(67%)+BE,TP2=2,Fixed 0.5%,1114,52.6,4,0.08,0,12,6,7
E4 TP1=0.75(67%)+BE,TP2=2,Fixed 1.0%,11977,131.6,8,0.06,0,12,12,7
E4 TP1=0.75(67%)+BE,TP2=2,Fixed 2.0%,1233468,422.2,16.1,0.04,2,10,20,7
E4 TP1=0.75(67%)+BE,TP2=2,Kelly FULL,100,0,0,Infinity,2673,0,0,0
E4 TP1=0.75(67%)+BE,TP2=2,Kelly HALF,100,0,0,Infinity,2673,0,0,0
E4 TP1=0.75(67%)+BE,TP2=2,Kelly QUARTER,372960714758,4681,50,0.01,1397,1,12.1,3
E4 TP1=0.75(67%)+BE,TP2=2,Martingale x2 (base 0.5, cap 8),2112,70.8,5.2,0.07,3,12,20,7
E4 TP1=0.75(67%)+BE,TP2=2,Martingale x2 (base 1.0, cap 16),36409,181.5,10.2,0.06,9,12,20,7
E4 TP1=0.75(67%)+BE,TP2=2,Anti-mart x2 (base 0.5, cap 8),2783094620,1924.3,32.3,0.02,418,10,20,4
E4 TP1=0.75(67%)+BE,TP2=2,Anti-mart x2 (base 1.0, cap 16),261221418721,4391.4,49.8,0.01,971,10,20,4
E10 TP1=1.0(67%)+BE,TP2=2,Fixed 0.5%,3534,86.9,3.7,0.04,0,12,6,7
E10 TP1=1.0(67%)+BE,TP2=2,Fixed 1.0%,117725,245.8,7.5,0.03,0,12,12,7
E10 TP1=1.0(67%)+BE,TP2=2,Fixed 2.0%,108290671,1045.2,15,0.01,2,10,20,7
E10 TP1=1.0(67%)+BE,TP2=2,Kelly FULL,100,0,0,Infinity,2673,0,0,0
E10 TP1=1.0(67%)+BE,TP2=2,Kelly HALF,100,0,0,Infinity,2673,0,0,0
E10 TP1=1.0(67%)+BE,TP2=2,Kelly QUARTER,42577887284886620,36793.1,52.4,0,1463,1,12.6,3
E10 TP1=1.0(67%)+BE,TP2=2,Martingale x2 (base 0.5, cap 8),10169,125,9.9,0.08,2,12,17,7
E10 TP1=1.0(67%)+BE,TP2=2,Martingale x2 (base 1.0, cap 16),935882,397.5,13,0.03,8,12,20,7
E10 TP1=1.0(67%)+BE,TP2=2,Anti-mart x2 (base 0.5, cap 8),688134883031,5223.4,29.5,0.01,400,10,20,4
E10 TP1=1.0(67%)+BE,TP2=2,Anti-mart x2 (base 1.0, cap 16),2530923390507229,22382.2,43.5,0,930,10,20,4
E5 TP1=0.5(50%)+BE,TP2=1.5,Fixed 0.5%,176,10.4,4.6,0.45,0,12,6,4
E5 TP1=0.5(50%)+BE,TP2=1.5,Fixed 1.0%,305,21.6,9.1,0.42,0,12,12,4
E5 TP1=0.5(50%)+BE,TP2=1.5,Fixed 2.0%,875,46.3,17.7,0.38,2,10,20,4
E5 TP1=0.5(50%)+BE,TP2=1.5,Kelly FULL,100,0,0,Infinity,2673,0,0,0
E5 TP1=0.5(50%)+BE,TP2=1.5,Kelly HALF,2371,74.3,65.9,0.89,1278,1,12.7,3
E5 TP1=0.5(50%)+BE,TP2=1.5,Kelly QUARTER,11697,130.6,57.2,0.44,298,3,19.1,4
E5 TP1=0.5(50%)+BE,TP2=1.5,Martingale x2 (base 0.5, cap 8),195,12.4,7.2,0.58,3,12,20,4
E5 TP1=0.5(50%)+BE,TP2=1.5,Martingale x2 (base 1.0, cap 16),345,24.3,14.1,0.58,8,12,18,4
E5 TP1=0.5(50%)+BE,TP2=1.5,Anti-mart x2 (base 0.5, cap 8),6302,106.9,47.7,0.45,406,10,20,4
