risk,maxDDmed,maxDDp95,maxDDp99,streakP95,ruinPct,mMed,mP05,mNeg,mP95
0.25,1.7,2.6,3.1,9,0,0.7,-0.6,18.2,1.9
0.5,3.4,5.2,6.2,9,0,1.5,-1.2,18,3.8
1,6.7,10,11.9,9,0,2.9,-2.4,18,7.7
1.5,9.9,14.6,17.5,9,0,4.5,-3.6,17.8,11.8
2,13,19.2,22.7,9,0,6.2,-4.8,17.7,15.8
2.5,16.1,23.5,27.8,9,0,7.5,-6,18.4,20
3,19.1,28.1,33.2,9,0,8.7,-7.2,17.9,24.1
4,24.8,35.4,41.7,9,0,11.9,-9.6,18,33.6
5,30.2,42.3,49,9,0,15,-12.1,18.4,42.5
7.5,42.6,57.1,64.6,9,0,23.5,-18.2,17.9,68.5
10,53.3,68.8,76.1,10,0,28.3,-24.3,18.8,95.8
