zoneId,startTime,endTime,startIndex,endIndex,duration,upper,lower,widthPct,merges,triggerChange,triggerSignal,outcome,insideRuns,insideBars,firstEntryIdx,firstEntryTime,entryLag,decisionIdx,decisionTime,decisionClose,pos,age,trendAt,volRatio,wickPoked,exitIdx,exitTime,exitClose,extShort,extLong,revertedShort,revertedLong,nextZoneSide,truncated
0,2021-03-16 15:30,2021-03-19 17:45,10824,11121,298,1.05491,1.04836,0.606,0,7.403,27.1,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
1,2021-03-19 18:00,2021-04-25 20:30,11122,14684,3563,1.27229,1.2642,0.618,0,12.74,29.63,DOWN,1,2,11162,2021-03-20 04:00,40,11163,2021-03-20 04:15,1.26456,0.044,41,1,1.15,true,11164,2021-03-20 04:30,1.26156,0.48,1.02,true,true,BELOW,false
2,2021-04-25 20:45,2021-05-06 18:15,14685,15731,1047,1.11209,1.10417,0.743,0,12.028,27.23,UP,1,1,14698,2021-04-26 00:00,13,14698,2021-04-26 00:00,1.10922,0.638,13,-1,1.68,true,14699,2021-04-26 00:15,1.11311,0,0,true,true,ABOVE,false
3,2021-05-06 18:30,2021-08-11 20:45,15732,25053,9322,1.63668,1.61291,1.564,0,8.062,22.38,UP,1,1,15742,2021-05-06 21:00,10,15742,2021-05-06 21:00,1.63364,0.872,10,1,0.8,true,15743,2021-05-06 21:15,1.64766,0,3.5,true,true,ABOVE,false
4,2021-08-11 21:00,2021-09-07 06:30,25054,27588,2535,1.869,1.85,1.049,0,5.887,20.97,DOWN,1,6,25075,2021-08-12 02:15,21,25080,2021-08-12 03:30,1.8569,0.363,26,1,0.39,true,25081,2021-08-12 03:45,1.836,6.81,6.81,false,false,ABOVE,false
5,2021-09-07 06:45,2021-09-13 13:15,27589,28191,603,2.8192,2.808,0.416,0,27.04,35.11,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
6,2021-09-13 13:30,2021-09-15 09:00,28192,28366,175,2.42,2.4063,0.55,0,9.975,24.57,DOWN,1,1,28200,2021-09-13 15:30,8,28200,2021-09-13 15:30,2.4142,0.577,8,-1,0.96,true,28201,2021-09-13 15:45,2.4053,0.96,0.96,true,true,BELOW,false
7,2021-09-15 09:15,2021-10-08 20:30,28367,30620,2254,2.3885,2.3798,0.365,0,8.063,20.97,UP,1,1,28367,2021-09-15 09:15,0,28367,2021-09-15 09:15,2.3827,0.333,0,-1,7.49,true,28368,2021-09-15 09:30,2.3915,0,0,true,true,BELOW,false
8,2021-10-08 20:45,2021-11-15 23:45,30621,34281,3661,2.2699,2.2598,0.452,0,7.474,21.84,DOWN,1,1,30659,2021-10-09 06:15,38,30659,2021-10-09 06:15,2.2641,0.426,38,-1,1.66,true,30660,2021-10-09 06:30,2.2596,0.38,0.38,true,true,BELOW,false
9,2021-11-16 00:00,2021-11-16 09:45,34282,34321,40,2.025,2.0166,0.423,0,20.794,28.88,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
10,2021-11-16 10:00,2022-01-07 13:15,34322,39327,5006,1.9406,1.916,1.389,0,11.169,23.9,UP,1,1,34339,2021-11-16 14:15,17,34339,2021-11-16 14:15,1.9256,0.39,17,-1,0.55,true,34340,2021-11-16 14:30,1.9485,0.47,3.61,true,true,BELOW,false
11,2022-01-07 13:30,2022-03-10 13:15,39328,45279,5952,1.2354,1.2292,0.513,0,10.848,37.52,UP,1,1,39340,2022-01-07 16:30,12,39340,2022-01-07 16:30,1.2301,0.145,12,-1,1.06,true,39341,2022-01-07 16:45,1.2357,1.46,1.94,true,true,BELOW,false
12,2022-03-10 13:30,2022-04-30 21:45,45280,50209,4930,0.809,0.8066,0.305,0,13.958,48.75,DOWN,1,1,45305,2022-03-10 19:45,25,45305,2022-03-10 19:45,0.8072,0.25,25,-1,0.79,true,45306,2022-03-10 20:00,0.8061,0.64,2.62,true,true,BELOW,false
13,2022-04-30 22:00,2022-05-08 16:45,50210,50957,748,0.7806,0.7789,0.22,0,14.115,30.74,UP,1,1,50280,2022-05-01 15:30,70,50280,2022-05-01 15:30,0.7806,1,70,-1,2.64,true,50281,2022-05-01 15:45,0.7904,0,1.44,true,true,BELOW,false
14,2022-05-08 17:00,2022-06-18 06:30,50958,54852,3895,0.7452,0.741,0.573,0,12.462,29.9,DOWN,1,1,50961,2022-05-08 17:45,3,50961,2022-05-08 17:45,0.7431,0.5,3,-1,1.13,true,50962,2022-05-08 18:00,0.7386,0.55,0.67,true,true,BELOW,false
15,2022-06-18 06:45,2022-07-03 04:30,54853,56284,1432,0.4858,0.484,0.386,0,18.559,54.11,DOWN,1,2,55004,2022-06-19 20:30,151,55005,2022-06-19 20:45,0.4849,0.5,152,1,1.57,true,55006,2022-06-19 21:00,0.4812,1.67,4.59,true,true,BELOW,false
16,2022-07-03 04:45,2022-07-25 18:45,56285,58453,2169,0.4534,0.4524,0.221,0,12.515,23.66,UP,1,4,56365,2022-07-04 00:45,80,56368,2022-07-04 01:30,0.4526,0.2,83,1,0.72,true,56369,2022-07-04 01:45,0.4536,1.86,1.86,true,true,ABOVE,false
17,2022-07-25 19:00,2022-07-26 11:30,58454,58520,67,0.4919,0.4902,0.352,0,6.341,21.65,DOWN,1,1,58466,2022-07-25 22:00,12,58466,2022-07-25 22:00,0.4905,0.176,12,-1,1.37,true,58467,2022-07-25 22:15,0.4863,4.41,5.71,false,false,BELOW,false
18,2022-07-26 11:45,2022-07-27 17:45,58521,58641,121,0.4685,0.4668,0.364,0,5.073,22.07,DOWN,1,1,58522,2022-07-26 12:00,1,58522,2022-07-26 12:00,0.4679,0.647,1,-1,2.15,true,58523,2022-07-26 12:15,0.4652,3.13,3.49,false,false,OVERLAP,false
19,2022-07-27 18:00,2022-08-19 06:15,58642,60803,2162,0.4694,0.4666,0.582,1,14.372,29.73,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
20,2022-08-19 06:30,2022-09-06 16:45,60804,62573,1770,0.4942,0.4913,0.619,0,17.458,44.99,UP,1,3,62329,2022-09-04 03:45,1525,62331,2022-09-04 04:15,0.4939,0.897,1527,1,1.13,true,62332,2022-09-04 04:30,0.4964,0.08,0.47,true,true,ABOVE,false
21,2022-09-06 17:00,2022-09-19 02:00,62574,63762,1189,0.4961,0.4947,0.295,0,20.072,44.43,DOWN,1,1,62822,2022-09-09 07:00,248,62822,2022-09-09 07:00,0.4948,0.071,248,1,0.75,true,62823,2022-09-09 07:15,0.4926,0.87,0.87,true,true,BELOW,false
22,2022-09-19 02:15,2022-10-16 19:15,63763,66423,2661,0.448,0.445,0.685,0,11.136,21.21,UP,1,2,63809,2022-09-19 13:45,46,63810,2022-09-19 14:00,0.4469,0.633,47,-1,1.68,true,63811,2022-09-19 14:15,0.4495,0,0.13,true,true,BELOW,false
23,2022-10-16 19:30,2022-10-22 05:00,66424,66942,519,0.3656,0.3647,0.242,0,12.301,23.08,UP,1,1,66574,2022-10-18 09:00,150,66574,2022-10-18 09:00,0.3654,0.778,150,1,6.09,true,66575,2022-10-18 09:15,0.3661,0.11,0.66,true,true,BELOW,false
24,2022-10-22 05:15,2022-11-01 23:45,66943,67977,1035,0.3465,0.3458,0.204,0,10.103,21.92,UP,1,4,66946,2022-10-22 06:00,3,66949,2022-10-22 06:45,0.3461,0.429,6,1,0.31,true,66950,2022-10-22 07:00,0.3472,0.06,0.06,true,true,ABOVE,false
25,2022-11-02 00:00,2022-11-08 02:30,67978,68564,587,0.401,0.3996,0.352,0,8.008,23.21,DOWN,1,1,67981,2022-11-02 00:45,3,67981,2022-11-02 00:45,0.3997,0.071,3,-1,1.06,true,67982,2022-11-02 01:00,0.3994,1.08,1.08,true,true,ABOVE,false
26,2022-11-08 02:45,2022-11-20 08:15,68565,69739,1175,0.4049,0.4033,0.406,0,9.541,21.98,DOWN,1,2,68621,2022-11-08 16:45,56,68622,2022-11-08 17:00,0.4041,0.5,57,1,1.02,true,68623,2022-11-08 17:15,0.3996,12.94,15.99,false,false,BELOW,false
27,2022-11-20 08:30,2022-11-27 22:45,69740,70469,730,0.3282,0.3273,0.278,0,6.64,20.23,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
28,2022-11-27 23:00,2022-12-15 18:30,70470,72180,1711,0.3192,0.3184,0.253,0,15.879,21.82,UP,1,1,70756,2022-11-30 22:30,286,70756,2022-11-30 22:30,0.3188,0.5,286,1,0.29,true,70757,2022-11-30 22:45,0.3195,0.6,0.97,true,true,BELOW,false
29,2022-12-15 18:45,2022-12-16 22:15,72181,72291,111,0.301,0.3,0.334,0,9.544,20.32,UP,1,1,72183,2022-12-15 19:15,2,72183,2022-12-15 19:15,0.301,1,2,-1,2.46,true,72184,2022-12-15 19:30,0.3016,0.43,0.73,true,true,BELOW,false
30,2022-12-16 22:30,2023-01-16 07:45,72292,75209,2918,0.2824,0.2817,0.265,0,75.368,126.6,UP,1,3,74449,2023-01-08 09:45,2157,74451,2023-01-08 10:15,0.2821,0.571,2159,1,0.68,true,74452,2023-01-08 10:30,0.2832,0,0,true,true,ABOVE,false
31,2023-01-16 08:00,2023-01-17 22:15,75210,75363,154,0.3579,0.357,0.258,0,18.714,40.85,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
32,2023-01-17 22:30,2023-01-19 08:15,75364,75499,136,0.3509,0.3502,0.2,0,6.663,20.27,UP,1,2,75380,2023-01-18 02:30,16,75381,2023-01-18 02:45,0.3509,1,17,-1,0.94,true,75382,2023-01-18 03:00,0.3521,0.4,2,true,true,BELOW,false
33,2023-01-19 08:30,2023-02-20 21:45,75500,78625,3126,0.3323,0.3309,0.418,0,8.397,24.21,UP,1,1,75503,2023-01-19 09:15,3,75503,2023-01-19 09:15,0.3321,0.857,3,-1,0.63,true,75504,2023-01-19 09:30,0.3334,0.42,1.12,true,true,ABOVE,false
34,2023-02-20 22:00,2023-03-03 01:00,78626,79598,973,0.4052,0.4035,0.419,0,8.326,25.99,DOWN,1,4,78630,2023-02-20 23:00,4,78633,2023-02-20 23:45,0.404,0.294,7,1,0.64,true,78634,2023-02-21 00:00,0.4033,0.74,0.82,true,true,BELOW,false
35,2023-03-03 01:15,2023-03-14 04:45,79599,80669,1071,0.3485,0.3472,0.389,0,24.761,34.28,DOWN,1,1,80618,2023-03-13 16:00,1019,80618,2023-03-13 16:00,0.3474,0.154,1019,1,0.84,true,80619,2023-03-13 16:15,0.3449,1.67,2.04,false,false,BELOW,false
36,2023-03-14 05:00,2023-04-10 21:45,80670,83329,2660,0.3443,0.3427,0.461,0,7.147,21.21,DOWN,1,3,80671,2023-03-14 05:15,1,80673,2023-03-14 05:45,0.3438,0.687,3,1,0.87,true,80674,2023-03-14 06:00,0.3424,1.6,1.6,true,true,ABOVE,false
37,2023-04-10 22:00,2023-04-13 07:15,83330,83559,230,0.3916,0.3906,0.253,0,11.322,26.51,UP,1,1,83443,2023-04-12 02:15,113,83443,2023-04-12 02:15,0.3912,0.6,113,-1,4.34,true,83444,2023-04-12 02:30,0.3922,0.59,0.59,true,true,ABOVE,false
38,2023-04-13 07:30,2023-04-19 07:45,83560,84137,578,0.4056,0.4045,0.274,0,14.371,27.9,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
39,2023-04-19 08:00,2023-05-20 07:15,84138,87111,2974,0.4345,0.4332,0.308,0,13.6,23.31,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
40,2023-05-20 07:30,2023-05-25 18:45,87112,87637,526,0.3645,0.3638,0.192,0,16.558,41.55,UP,1,4,87112,2023-05-20 07:30,0,87115,2023-05-20 08:15,0.3643,0.714,3,-1,0.56,true,87116,2023-05-20 08:30,0.3646,0,0,true,true,BELOW,false
41,2023-05-25 19:00,2023-06-06 11:45,87638,88761,1124,0.3568,0.3562,0.166,0,15.52,47.99,UP,1,1,87660,2023-05-26 00:30,22,87660,2023-05-26 00:30,0.3568,1,22,-1,0.99,true,87661,2023-05-26 00:45,0.357,0.81,0.81,true,true,BELOW,false
42,2023-06-06 12:00,2023-06-16 14:30,88762,89732,971,0.353,0.3519,0.317,0,8.005,22.23,UP,1,2,88781,2023-06-06 16:45,19,88782,2023-06-06 17:00,0.3526,0.636,20,-1,0.6,true,88783,2023-06-06 17:15,0.3543,0,0.2,true,true,BELOW,false
43,2023-06-16 14:45,2023-06-17 05:15,89733,89791,59,0.2578,0.2563,0.58,0,9.363,22.88,UP,1,1,89736,2023-06-16 15:30,3,89736,2023-06-16 15:30,0.2576,0.867,3,-1,0.71,true,89737,2023-06-16 15:45,0.2597,0,0,true,true,ABOVE,false
44,2023-06-17 05:30,2023-07-19 23:45,89792,92937,3146,0.2643,0.2634,0.332,0,13.952,27.02,UP,1,1,89868,2023-06-18 00:30,76,89868,2023-06-18 00:30,0.264,0.667,76,1,1.71,true,89869,2023-06-18 00:45,0.2648,0,0,true,true,ABOVE,false
45,2023-07-20 00:00,2023-07-24 09:30,92938,93360,423,0.3245,0.3221,0.728,0,8.131,20.56,UP,1,2,92939,2023-07-20 00:15,1,92940,2023-07-20 00:30,0.324,0.792,2,1,1.68,true,92941,2023-07-20 00:45,0.3252,0,0,true,true,BELOW,false
46,2023-07-24 09:45,2023-07-29 04:15,93361,93819,459,0.3142,0.3137,0.164,0,20.377,38.21,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
47,2023-07-29 04:30,2023-07-30 19:30,93820,93976,157,0.312,0.3114,0.193,0,12.282,24.81,DOWN,1,4,93821,2023-07-29 04:45,1,93824,2023-07-29 05:30,0.3114,0,4,1,0.44,true,93825,2023-07-29 05:45,0.3113,0.39,0.9,false,false,ABOVE,false
48,2023-07-30 19:45,2023-08-04 20:15,93977,94459,483,0.3134,0.3126,0.259,0,31.728,37.95,UP,1,1,93991,2023-07-30 23:15,14,93991,2023-07-30 23:15,0.3131,0.625,14,-1,0.65,true,93992,2023-07-30 23:30,0.3143,0,0,true,true,BELOW,false
49,2023-08-04 20:30,2023-08-15 18:45,94460,95509,1050,0.2944,0.2937,0.24,0,12.783,24.87,DOWN,1,2,94467,2023-08-04 22:15,7,94468,2023-08-04 22:30,0.2938,0.143,8,1,0.38,true,94469,2023-08-04 22:45,0.2934,0.31,1.16,true,true,BELOW,false
50,2023-08-15 19:00,2023-08-21 15:00,95510,96070,561,0.2877,0.2868,0.325,0,41.34,20.43,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
51,2023-08-21 15:15,2023-08-26 13:45,96071,96545,475,0.2668,0.2652,0.614,0,11.399,25.68,UP,1,2,96268,2023-08-23 16:30,197,96269,2023-08-23 16:45,0.2662,0.625,198,1,1.35,true,96270,2023-08-23 17:00,0.2671,0,0.19,true,true,BELOW,false
52,2023-08-26 14:00,2023-09-07 01:30,96546,97648,1103,0.2595,0.259,0.193,0,4.482,21.19,UP,1,1,96547,2023-08-26 14:15,1,96547,2023-08-26 14:15,0.2594,0.8,1,-1,1.02,true,96548,2023-08-26 14:30,0.2601,0,0,true,true,BELOW,false
53,2023-09-07 01:45,2023-09-08 02:45,97649,97749,101,0.2579,0.2574,0.194,0,20.619,53.81,DOWN,1,2,97649,2023-09-07 01:45,0,97650,2023-09-07 02:00,0.2575,0.2,1,1,2.01,true,97651,2023-09-07 02:15,0.2573,0.51,0.74,false,false,BELOW,false
54,2023-09-08 03:00,2023-09-13 07:15,97750,98247,498,0.257,0.2565,0.195,0,15.685,25.1,UP,1,1,97750,2023-09-08 03:00,0,97750,2023-09-08 03:00,0.2569,0.8,0,1,10.89,true,97751,2023-09-08 03:15,0.2571,0,0,true,true,BELOW,false
55,2023-09-13 07:30,2023-09-24 23:00,98248,99366,1119,0.2459,0.2454,0.203,0,19.626,25.25,DOWN,1,1,98248,2023-09-13 07:30,0,98248,2023-09-13 07:30,0.2458,0.8,0,-1,14.29,true,98249,2023-09-13 07:45,0.2452,0.24,0.24,true,true,BELOW,false
56,2023-09-24 23:15,2023-10-10 10:00,99367,100850,1484,0.2446,0.2439,0.288,0,18.69,21.57,UP,1,1,99373,2023-09-25 00:45,6,99373,2023-09-25 00:45,0.244,0.143,6,-1,0.9,true,99374,2023-09-25 01:00,0.2451,0.12,0.33,true,true,ABOVE,false
57,2023-10-10 10:15,2023-10-11 02:15,100851,100915,65,0.2521,0.2518,0.119,0,13.181,20.14,DOWN,1,1,100851,2023-10-10 10:15,0,100851,2023-10-10 10:15,0.2519,0.333,0,-1,12.06,true,100852,2023-10-10 10:30,0.2513,1.07,1.91,false,false,BELOW,false
58,2023-10-11 02:30,2023-10-13 20:30,100916,101180,265,0.2488,0.2482,0.243,0,14.193,20.53,DOWN,1,1,100948,2023-10-11 10:30,32,100948,2023-10-11 10:30,0.2482,0,32,-1,0.73,true,100949,2023-10-11 10:45,0.2479,0.56,1.33,true,true,BELOW,false
59,2023-10-13 20:45,2023-10-16 05:00,101181,101406,226,0.2462,0.2458,0.161,0,13.998,29.6,DOWN,1,1,101189,2023-10-13 22:45,8,101189,2023-10-13 22:45,0.2458,0,8,1,1.16,true,101190,2023-10-13 23:00,0.2455,0.16,0.16,true,true,ABOVE,false
60,2023-10-16 05:15,2023-11-06 05:00,101407,103422,2016,0.2491,0.2486,0.198,0,21.527,31.32,DOWN,1,1,101534,2023-10-17 13:00,127,101534,2023-10-17 13:00,0.2488,0.4,127,-1,2.89,true,101535,2023-10-17 13:15,0.2481,1.81,1.81,false,false,ABOVE,false
61,2023-11-06 05:15,2023-11-13 20:30,103423,104156,734,0.3434,0.3421,0.383,0,8.583,22.41,UP,1,4,103428,2023-11-06 06:30,5,103431,2023-11-06 07:15,0.3426,0.385,8,1,0.76,true,103432,2023-11-06 07:30,0.3437,0.18,0.18,true,true,ABOVE,false
62,2023-11-13 20:45,2023-11-23 23:30,104157,105128,972,0.367,0.3651,0.517,0,9.89,30.38,UP,1,1,104200,2023-11-14 07:30,43,104200,2023-11-14 07:30,0.3662,0.579,43,-1,0.8,true,104201,2023-11-14 07:45,0.3677,0.52,2.85,true,true,ABOVE,false
