zoneId,startTime,endTime,startIndex,endIndex,duration,upper,lower,widthPct,merges,triggerChange,triggerSignal,outcome,insideRuns,insideBars,firstEntryIdx,firstEntryTime,entryLag,decisionIdx,decisionTime,decisionClose,pos,age,trendAt,volRatio,wickPoked,exitIdx,exitTime,exitClose,extShort,extLong,revertedShort,revertedLong,nextZoneSide,truncated
0,2021-04-25 20:45,2021-05-12 21:45,14685,16321,1637,49591.1,49333.1,0.536,0,10.594,27,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
1,2021-05-12 22:00,2021-07-06 03:45,16322,21529,5208,54650,54356,0.559,0,12.148,34.68,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
2,2021-07-06 04:00,2021-07-09 21:15,21530,21887,358,33906.92,33830,0.223,0,11.322,28.78,DOWN,1,5,21554,2021-07-06 10:00,24,21558,2021-07-06 11:00,33876.65,0.606,28,1,0.66,true,21559,2021-07-06 11:15,33799.62,0.38,0.98,true,true,BELOW,false
3,2021-07-09 21:30,2021-07-18 14:15,21888,22723,836,33509.79,33433,0.226,0,9.858,23.21,DOWN,1,1,21967,2021-07-10 17:15,79,21967,2021-07-10 17:15,33435.93,0.038,79,1,4.16,true,21968,2021-07-10 17:30,33400,0.37,1.27,true,true,BELOW,false
4,2021-07-18 14:30,2021-08-13 19:45,22724,25241,2518,31730,31651.09,0.252,0,10.852,30.41,DOWN,1,1,22743,2021-07-18 19:15,19,22743,2021-07-18 19:15,31672.73,0.274,19,-1,0.42,true,22744,2021-07-18 19:30,31629.99,0.41,0.79,true,true,ABOVE,false
5,2021-08-13 20:00,2021-09-09 20:00,25242,27834,2593,46472.58,46295.05,0.373,0,14.159,35.14,UP,1,4,25301,2021-08-14 10:45,59,25304,2021-08-14 11:30,46325.66,0.172,62,-1,0.51,true,25305,2021-08-14 11:45,46580,0.38,0.38,true,true,ABOVE,false
6,2021-09-09 20:15,2021-09-13 13:15,27835,28191,357,46659.17,46560.07,0.214,0,9.157,24.4,DOWN,1,2,27846,2021-09-09 23:00,11,27847,2021-09-09 23:15,46569.4,0.094,12,1,0.53,true,27848,2021-09-09 23:30,46494.11,0.62,0.62,true,true,BELOW,false
7,2021-09-13 13:30,2021-10-02 13:30,28192,30016,1825,44790,44651.69,0.299,0,23.936,40.87,UP,1,6,28212,2021-09-13 18:30,20,28217,2021-09-13 19:45,44763.15,0.806,25,-1,0.53,true,28218,2021-09-13 20:00,44892.05,0,0,true,true,ABOVE,false
8,2021-10-02 13:45,2021-10-03 17:30,30017,30128,112,47760.58,47637.74,0.257,0,11.425,30.25,UP,1,2,30026,2021-10-02 16:00,9,30027,2021-10-02 16:15,47748.99,0.906,10,1,0.72,true,30028,2021-10-02 16:30,47939.46,0,0,true,true,ABOVE,false
9,2021-10-03 17:45,2021-10-15 20:00,30129,31290,1162,48042,47922.33,0.245,0,16.329,24.28,DOWN,1,2,30142,2021-10-03 21:00,13,30143,2021-10-03 21:15,47953.99,0.265,14,1,1.13,true,30144,2021-10-03 21:30,47722.46,0.65,1.33,true,true,ABOVE,false
10,2021-10-15 20:15,2021-10-25 07:00,31291,32198,908,61542.22,61343.1,0.318,0,21.68,48.5,DOWN,1,4,31298,2021-10-15 22:00,7,31301,2021-10-15 22:45,61351.17,0.041,10,1,0.35,true,31302,2021-10-15 23:00,61046.68,0.56,0.56,true,true,ABOVE,false
11,2021-10-25 07:15,2021-10-28 18:15,32199,32531,333,62161.96,61985.21,0.281,0,7.908,21.89,UP,1,6,32322,2021-10-26 14:00,123,32327,2021-10-26 15:15,62141.96,0.887,128,-1,1.75,true,32328,2021-10-26 15:30,62571.34,0.06,1.45,true,true,BELOW,false
12,2021-10-28 18:30,2021-11-10 13:15,32532,33759,1228,61197.59,61008.14,0.32,0,26.574,51.88,UP,1,1,32577,2021-10-29 05:45,45,32577,2021-10-29 05:45,61032.54,0.129,45,1,0.99,true,32578,2021-10-29 06:00,61273.98,0.97,0.97,true,true,ABOVE,false
13,2021-11-10 13:30,2021-12-08 10:15,33760,36435,2676,66600,66421,0.265,0,15.065,20.26,UP,1,1,33786,2021-11-10 20:00,26,33786,2021-11-10 20:00,66571.89,0.843,26,1,4.43,true,33787,2021-11-10 20:15,66884.96,6.05,6.05,true,true,BELOW,false
14,2021-12-08 10:30,2021-12-29 23:00,36436,38502,2067,50328,50181.95,0.295,0,10.122,23.15,DOWN,1,1,36451,2021-12-08 14:15,15,36451,2021-12-08 14:15,50296.25,0.783,15,-1,3.61,true,36452,2021-12-08 14:30,50103.55,0.22,0.27,true,true,BELOW,false
15,2021-12-29 23:15,2022-01-07 13:15,38503,39327,825,47377.24,47125,0.544,0,9.771,21.57,UP,1,5,38561,2021-12-30 13:45,58,38565,2021-12-30 14:45,47334.97,0.832,62,1,0.57,true,38566,2021-12-30 15:00,47392.3,0.14,0.57,true,true,BELOW,false
16,2022-01-07 13:30,2022-03-10 13:15,39328,45279,5952,42334.37,42170.04,0.397,0,7.695,20.92,DOWN,1,1,39374,2022-01-08 01:00,46,39374,2022-01-08 01:00,42174.84,0.029,46,-1,1.66,true,39375,2022-01-08 01:15,41994.54,1.28,1.28,false,false,BELOW,false
17,2022-03-10 13:30,2022-03-22 01:45,45280,46385,1106,39331.5,39200,0.341,0,18.486,33.6,DOWN,1,2,45285,2022-03-10 14:45,5,45286,2022-03-10 15:00,39281.9,0.623,6,-1,0.65,true,45287,2022-03-10 15:15,39168.2,0.84,0.84,true,true,ABOVE,false
18,2022-03-22 02:00,2022-03-25 01:15,46386,46671,286,41150,41042.5,0.258,0,17.369,27.46,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
19,2022-03-25 01:30,2022-03-27 20:15,46672,46939,268,44078,43977.9,0.227,0,7.118,21.99,DOWN,1,1,46675,2022-03-25 02:15,3,46675,2022-03-25 02:15,44004.9,0.27,3,1,1.44,true,46676,2022-03-25 02:30,43898.8,0.31,0.92,true,true,ABOVE,false
20,2022-03-27 20:30,2022-04-07 10:45,46940,47957,1018,44791,44700,0.197,0,19.172,26.7,DOWN,1,1,47348,2022-04-01 02:30,408,47348,2022-04-01 02:30,44710.1,0.111,408,-1,1.7,true,47349,2022-04-01 02:45,44394.4,1,1,true,true,BELOW,false
21,2022-04-07 11:00,2022-04-23 23:15,47958,49543,1586,43435.3,43339.9,0.219,0,9.691,21.34,UP,1,2,47966,2022-04-07 13:00,8,47967,2022-04-07 13:15,43379.7,0.417,9,-1,1.16,true,47968,2022-04-07 13:30,43476.7,0.79,0.79,true,true,BELOW,false
22,2022-04-23 23:30,2022-05-06 07:15,49544,50727,1184,39793,39754.8,0.097,0,15.402,29.57,DOWN,1,2,49559,2022-04-24 03:15,15,49560,2022-04-24 03:30,39757.9,0.081,16,1,0.76,true,49561,2022-04-24 03:45,39750.1,0.38,0.38,true,true,BELOW,false
23,2022-05-06 07:30,2022-05-08 16:45,50728,50957,230,36437,36339.9,0.27,0,11.292,26.78,DOWN,1,1,50729,2022-05-06 07:45,1,50729,2022-05-06 07:45,36359.3,0.2,1,-1,7.3,true,50730,2022-05-06 08:00,36243.5,0.52,3.14,true,true,BELOW,false
24,2022-05-08 17:00,2022-06-18 06:30,50958,54852,3895,34545.3,34353.8,0.563,0,12.043,23.19,UP,1,1,50965,2022-05-08 18:45,7,50965,2022-05-08 18:45,34511.9,0.826,7,-1,0.6,true,50966,2022-05-08 19:00,34596.1,0.44,1.41,true,true,BELOW,false
25,2022-06-18 06:45,2022-07-03 04:30,54853,56284,1432,20420,20380,0.206,0,38.754,97.35,DOWN,1,1,55006,2022-06-19 21:00,153,55006,2022-06-19 21:00,20403.1,0.577,153,1,0.87,true,55007,2022-06-19 21:15,20286.7,0.51,3.68,true,true,BELOW,false
26,2022-07-03 04:45,2022-07-08 01:00,56285,56750,466,19276,19245.4,0.159,0,21.809,44.62,UP,1,1,56343,2022-07-03 19:15,58,56343,2022-07-03 19:15,19246.9,0.049,58,-1,0.59,true,56344,2022-07-03 19:30,19356.4,0,0.63,true,true,ABOVE,false
27,2022-07-08 01:15,2022-07-28 20:15,56751,58747,1997,21729.4,21658.5,0.316,0,8.532,22.52,DOWN,1,1,56787,2022-07-08 10:15,36,56787,2022-07-08 10:15,21686.8,0.399,36,1,1.65,true,56788,2022-07-08 10:30,21637.5,2.04,2.23,false,true,ABOVE,false
