zoneId,startTime,endTime,startIndex,endIndex,duration,upper,lower,widthPct,merges,triggerChange,triggerSignal,outcome,insideRuns,insideBars,firstEntryIdx,firstEntryTime,entryLag,decisionIdx,decisionTime,decisionClose,pos,age,trendAt,volRatio,wickPoked,exitIdx,exitTime,exitClose,extShort,extLong,revertedShort,revertedLong,nextZoneSide,truncated
0,2020-11-24 23:00,2020-12-08 14:45,102,1413,1312,0.003953,0.003928,0.615,0,19.371,32.5,UP,1,1,115,2020-11-25 02:15,13,115,2020-11-25 02:15,0.003944,0.64,13,1,1.58,true,116,2020-11-25 02:30,0.00398,2.27,2.27,true,true,BELOW,false
1,2020-12-08 15:00,2020-12-10 07:45,1414,1577,164,0.00328,0.003275,0.153,0,34.854,28.21,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
2,2020-12-10 08:00,2020-12-15 18:15,1578,2099,522,0.003131,0.003123,0.255,0,23.141,27.3,DOWN,1,1,1587,2020-12-10 10:15,9,1587,2020-12-10 10:15,0.003127,0.5,9,1,1.98,true,1588,2020-12-10 10:30,0.003117,0.86,2.11,true,true,ABOVE,false
3,2020-12-15 18:30,2020-12-19 03:30,2100,2424,325,0.003222,0.003218,0.124,0,15.926,21.97,DOWN,1,1,2101,2020-12-15 18:45,1,2101,2020-12-15 18:45,0.003219,0.25,1,-1,0.29,true,2102,2020-12-15 19:00,0.003216,0.06,1.18,true,true,ABOVE,false
4,2020-12-19 03:45,2020-12-20 09:15,2425,2543,119,0.003884,0.003863,0.528,0,44.432,51.93,UP,1,3,2430,2020-12-19 05:00,5,2432,2020-12-19 05:30,0.003882,0.905,7,1,0.2,true,2433,2020-12-19 05:45,0.003923,0,0,true,true,ABOVE,false
5,2020-12-20 09:30,2021-01-14 19:00,2544,4982,2439,0.003972,0.003954,0.403,0,338.707,242.59,DOWN,1,1,2922,2020-12-24 08:00,378,2922,2020-12-24 08:00,0.003959,0.278,378,-1,2.33,true,2923,2020-12-24 08:15,0.003935,1.16,1.59,true,true,ABOVE,false
6,2021-01-14 19:15,2021-02-04 07:15,4983,6951,1969,0.009381,0.0093,0.84,0,8.269,21.25,DOWN,1,1,4989,2021-01-14 20:45,6,4989,2021-01-14 20:45,0.009337,0.457,6,1,0.82,true,4990,2021-01-14 21:00,0.009244,3.69,3.69,true,true,ABOVE,false
7,2021-02-04 07:30,2021-02-06 03:45,6952,7129,178,0.041258,0.040518,1.564,0,8.067,21.08,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
8,2021-02-06 04:00,2021-02-19 20:15,7130,8443,1314,0.046291,0.046027,0.542,0,24.639,34.86,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
9,2021-02-19 20:30,2021-02-21 21:00,8444,8638,195,0.054854,0.05453,0.581,0,15.688,39.08,UP,1,1,8454,2021-02-19 23:00,10,8454,2021-02-19 23:00,0.054838,0.951,10,-1,0.38,true,8455,2021-02-19 23:15,0.055122,2.78,2.78,true,true,OVERLAP,false
10,2021-02-21 21:15,2021-02-24 05:45,8639,8865,227,0.054854,0.054355,0.835,1,23.834,33.2,UP,1,3,8699,2021-02-22 12:15,60,8701,2021-02-22 12:45,0.054722,0.735,62,1,0.51,true,8702,2021-02-22 13:00,0.054903,17.21,17.21,true,true,BELOW,false
11,2021-02-24 06:00,2021-02-24 12:45,8866,8893,28,0.050507,0.049828,1.242,0,44.45,107.91,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
12,2021-02-24 13:00,2021-03-04 09:00,8894,9646,753,0.053453,0.052211,2.2,0,15.05,37.64,UP,1,1,8927,2021-02-24 21:15,33,8927,2021-02-24 21:15,0.053442,0.991,33,1,1.54,true,8928,2021-02-24 21:30,0.053943,0,0,true,true,BELOW,false
13,2021-03-04 09:15,2021-03-06 04:15,9647,9819,173,0.050416,0.050183,0.466,0,10.315,20.57,DOWN,1,1,9658,2021-03-04 12:00,11,9658,2021-03-04 12:00,0.050221,0.163,11,-1,0.86,true,9659,2021-03-04 12:15,0.049995,0.76,3.25,true,true,BELOW,false
14,2021-03-06 04:30,2021-04-01 10:00,9820,12338,2519,0.04989,0.049567,0.626,0,29.521,37.34,DOWN,1,1,9854,2021-03-06 13:00,34,9854,2021-03-06 13:00,0.049734,0.517,34,1,0.79,true,9855,2021-03-06 13:15,0.04944,1.07,1.07,true,true,ABOVE,false
15,2021-04-01 10:15,2021-04-09 07:15,12339,13095,757,0.054288,0.054098,0.324,0,78.741,53.73,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
16,2021-04-09 07:30,2021-04-10 07:00,13096,13190,95,0.060865,0.060633,0.371,0,93.176,121.11,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
17,2021-04-10 07:15,2021-04-12 23:45,13191,13449,259,0.06236,0.062048,0.486,0,59.681,114.05,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
18,2021-04-13 00:00,2021-04-29 14:45,13450,15045,1596,0.071165,0.070759,0.555,0,6.739,20.11,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
19,2021-04-29 15:00,2021-05-08 15:15,15046,15911,866,0.307811,0.306217,0.504,0,9.675,23.7,DOWN,1,1,15052,2021-04-29 16:30,6,15052,2021-04-29 16:30,0.307711,0.937,6,1,0.57,true,15053,2021-04-29 16:45,0.302148,3.54,3.54,false,true,ABOVE,false
20,2021-05-08 15:30,2021-05-13 22:30,15912,16420,509,0.717688,0.709,1.298,0,10.605,20.47,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
21,2021-05-13 22:45,2021-05-20 10:15,16421,17043,623,0.43486,0.42582,1.87,0,14.766,24.61,UP,1,2,16917,2021-05-19 02:45,496,16918,2021-05-19 03:00,0.43124,0.6,497,-1,2.61,true,16919,2021-05-19 03:15,0.43958,10.48,10.48,true,true,BELOW,false
22,2021-05-20 10:30,2021-06-20 09:30,17044,20016,2973,0.37188,0.3617,2.505,0,7.279,21.95,DOWN,1,1,17155,2021-05-21 14:15,111,17155,2021-05-21 14:15,0.36752,0.572,111,1,9.88,true,17156,2021-05-21 14:30,0.36162,8.28,8.63,false,false,BELOW,false
23,2021-06-20 09:45,2021-07-06 03:45,20017,21529,1513,0.282,0.28105,0.342,0,6.223,27.61,UP,1,1,20058,2021-06-20 20:00,41,20058,2021-06-20 20:00,0.2815,0.474,41,-1,1.5,true,20059,2021-06-20 20:15,0.28775,0.87,4.25,true,true,BELOW,false
24,2021-07-06 04:00,2021-07-09 07:00,21530,21830,301,0.235,0.23435,0.271,0,11.118,30,UP,1,2,21561,2021-07-06 11:45,31,21562,2021-07-06 12:00,0.23483,0.738,32,1,1.21,true,21563,2021-07-06 12:15,0.23521,0.66,2.23,true,true,BELOW,false
