zoneId,startTime,endTime,startIndex,endIndex,duration,upper,lower,widthPct,merges,triggerChange,triggerSignal,outcome,insideRuns,insideBars,firstEntryIdx,firstEntryTime,entryLag,decisionIdx,decisionTime,decisionClose,pos,age,trendAt,volRatio,wickPoked,exitIdx,exitTime,exitClose,extShort,extLong,revertedShort,revertedLong,nextZoneSide,truncated
0,2020-11-24 06:00,2020-11-24 19:45,34,89,56,616.89,614.2,0.442,0,13.398,49.13,UP,1,1,43,2020-11-24 08:15,9,43,2020-11-24 08:15,614.76,0.208,9,1,0.7,true,44,2020-11-24 08:30,619.37,3.62,3.62,true,true,BELOW,false
1,2020-11-24 20:00,2020-11-27 19:45,90,377,288,611.09,607.09,0.653,0,2.215,11.26,DOWN,1,1,91,2020-11-24 20:15,1,91,2020-11-24 20:15,607.69,0.15,1,1,1.69,true,92,2020-11-24 20:30,606.65,1.47,2.17,true,true,BELOW,false
2,2020-11-27 20:00,2020-11-30 07:45,378,617,240,507.07,505.35,0.336,0,3.821,18.57,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
3,2020-11-30 08:00,2020-12-04 09:45,618,1009,392,587.06,585.28,0.309,0,11.065,17.55,UP,1,1,630,2020-11-30 11:00,12,630,2020-11-30 11:00,586.42,0.64,12,1,1.78,true,631,2020-11-30 11:15,588.99,0,0,true,true,ABOVE,false
4,2020-12-04 10:00,2020-12-05 05:15,1010,1087,78,609.9,608.33,0.261,0,10.037,18.45,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
5,2020-12-05 05:30,2020-12-06 13:15,1088,1215,128,580.65,578.9,0.299,0,5.263,14.22,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
6,2020-12-06 13:30,2020-12-09 07:30,1216,1480,265,590.39,589.43,0.164,0,5.67,11.36,UP,1,2,1347,2020-12-07 22:15,131,1348,2020-12-07 22:30,590.02,0.615,132,-1,0.24,true,1349,2020-12-07 22:45,591.32,0.11,0.41,true,true,BELOW,false
7,2020-12-09 07:45,2020-12-13 15:45,1481,1897,417,548.26,546.01,0.418,0,5.592,18.42,DOWN,1,1,1487,2020-12-09 09:15,6,1487,2020-12-09 09:15,546.21,0.089,6,-1,0.93,true,1488,2020-12-09 09:30,545.12,0.51,0.51,true,true,ABOVE,false
8,2020-12-13 16:00,2020-12-14 04:00,1898,1946,49,585.71,583.13,0.435,0,5.14,11.82,UP,1,1,1923,2020-12-13 22:15,25,1923,2020-12-13 22:15,584.76,0.632,25,1,3.51,true,1924,2020-12-13 22:30,586.68,0,0.22,true,true,ABOVE,false
9,2020-12-14 04:15,2020-12-14 10:30,1947,1972,26,591.29,589.52,0.302,0,5.621,14.59,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
10,2020-12-14 10:45,2020-12-15 21:00,1973,2110,138,586.89,583.23,0.633,0,4.172,13.05,DOWN,1,3,1991,2020-12-14 15:15,18,1993,2020-12-14 15:45,583.91,0.186,20,-1,0.7,true,1994,2020-12-14 16:00,583.15,0.55,0.55,false,true,ABOVE,false
11,2020-12-15 21:15,2020-12-16 21:30,2111,2208,98,592.11,590.74,0.233,0,7.389,18.48,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
12,2020-12-16 21:45,2020-12-18 13:30,2209,2368,160,628.01,623.04,0.789,0,3.291,11.12,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
13,2020-12-18 13:45,2020-12-21 03:15,2369,2615,247,651.44,648.44,0.47,0,6.351,10.87,UP,1,1,2397,2020-12-18 20:45,28,2397,2020-12-18 20:45,649.19,0.25,28,-1,0.69,true,2398,2020-12-18 21:00,651.69,0.34,0.34,true,true,BELOW,false
14,2020-12-21 03:30,2020-12-31 00:45,2616,3565,950,644.43,642.26,0.335,0,6.176,25.19,DOWN,1,3,2623,2020-12-21 05:15,7,2625,2020-12-21 05:45,642.58,0.147,9,-1,0.57,true,2626,2020-12-21 06:00,639.83,0.82,7.27,true,true,ABOVE,false
