zoneId,startTime,endTime,startIndex,endIndex,duration,upper,lower,widthPct,merges,triggerChange,triggerSignal,outcome,insideRuns,insideBars,firstEntryIdx,firstEntryTime,entryLag,decisionIdx,decisionTime,decisionClose,pos,age,trendAt,volRatio,wickPoked,exitIdx,exitTime,exitClose,extShort,extLong,revertedShort,revertedLong,nextZoneSide,truncated
0,2026-01-11 23:00,2026-01-12 12:15,7,60,54,0.2669,0.2648,0.787,0,6.624,10.49,UP,1,1,7,2026-01-11 23:00,0,7,2026-01-11 23:00,0.2669,1,0,1,3.13,true,8,2026-01-11 23:15,0.267,0.57,0.57,true,true,BELOW,false
1,2026-01-12 12:30,2026-01-12 23:45,61,106,46,0.2647,0.2639,0.304,0,6.105,16.73,UP,1,1,82,2026-01-12 17:45,21,82,2026-01-12 17:45,0.2643,0.5,21,-1,0.46,true,83,2026-01-12 18:00,0.2655,0.3,1.89,true,true,BELOW,false
2,2026-01-13 00:00,2026-01-13 13:15,107,160,54,0.2623,0.2618,0.191,0,23.441,18.5,DOWN,1,2,107,2026-01-13 00:00,0,108,2026-01-13 00:15,0.2622,0.8,1,-1,0.57,true,109,2026-01-13 00:30,0.2616,0.65,0.65,true,true,ABOVE,false
3,2026-01-13 13:30,2026-01-13 21:45,161,194,34,0.274,0.2717,0.832,0,6.852,10.26,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
4,2026-01-13 22:00,2026-01-17 23:45,195,586,392,0.2826,0.2815,0.381,0,22.408,26.22,UP,1,1,307,2026-01-15 02:00,112,307,2026-01-15 02:00,0.2823,0.727,112,-1,1.28,true,308,2026-01-15 02:15,0.2828,3.02,3.02,true,true,ABOVE,false
5,2026-01-18 00:00,2026-01-18 06:45,587,614,28,0.2964,0.2948,0.534,0,15.273,23.12,DOWN,1,1,589,2026-01-18 00:30,2,589,2026-01-18 00:30,0.2961,0.812,2,1,1.68,true,590,2026-01-18 00:45,0.2931,2.65,2.71,false,false,BELOW,false
6,2026-01-18 07:00,2026-01-18 22:45,615,678,64,0.2891,0.2875,0.562,0,3.794,16.36,DOWN,1,6,618,2026-01-18 07:45,3,623,2026-01-18 09:00,0.2877,0.125,8,-1,0.61,true,624,2026-01-18 09:15,0.2871,0.17,1.22,true,true,ABOVE,false
7,2026-01-18 23:00,2026-01-20 22:15,679,868,190,0.2898,0.2893,0.175,0,21.729,43.27,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
8,2026-01-20 22:30,2026-01-23 14:15,869,1124,256,0.2464,0.2448,0.653,0,4.203,14.08,DOWN,1,1,869,2026-01-20 22:30,0,869,2026-01-20 22:30,0.2451,0.188,0,-1,3.95,true,870,2026-01-20 22:45,0.2447,2.12,2.12,false,true,ABOVE,false
9,2026-01-23 14:30,2026-01-23 20:15,1125,1148,24,0.2546,0.2535,0.44,0,4.733,10.83,UP,1,1,1132,2026-01-23 16:15,7,1132,2026-01-23 16:15,0.2535,0,7,1,0.43,true,1133,2026-01-23 16:30,0.2563,0.36,3.04,true,true,BELOW,false
10,2026-01-23 20:30,2026-01-25 15:45,1149,1322,174,0.2508,0.249,0.729,0,9.999,17.65,DOWN,1,9,1155,2026-01-23 22:00,6,1163,2026-01-24 00:00,0.2492,0.111,14,1,0.83,true,1164,2026-01-24 00:15,0.2488,0.44,0.44,true,true,BELOW,false
11,2026-01-25 16:00,2026-01-26 20:45,1323,1438,116,0.243,0.2416,0.59,0,5.033,10,DOWN,1,1,1416,2026-01-26 15:15,93,1416,2026-01-26 15:15,0.2417,0.071,93,1,2.01,true,1417,2026-01-26 15:30,0.2389,2.15,2.32,false,true,BELOW,false
12,2026-01-26 21:00,2026-01-29 22:45,1439,1734,296,0.2368,0.236,0.337,0,4.773,10.32,UP,1,4,1463,2026-01-27 03:00,24,1466,2026-01-27 03:45,0.2363,0.375,27,1,0.4,true,1467,2026-01-27 04:00,0.237,1.27,2.03,true,true,BELOW,false
13,2026-01-29 23:00,2026-02-01 22:45,1735,2022,288,0.2118,0.2114,0.19,0,8.556,14.85,DOWN,1,1,1744,2026-01-30 01:15,9,1744,2026-01-30 01:15,0.2114,0,9,-1,1.13,true,1745,2026-01-30 01:30,0.2048,5.01,5.82,false,false,BELOW,false
