zoneId,startTime,endTime,startIndex,endIndex,duration,upper,lower,widthPct,merges,triggerChange,triggerSignal,outcome,insideRuns,insideBars,firstEntryIdx,firstEntryTime,entryLag,decisionIdx,decisionTime,decisionClose,pos,age,trendAt,volRatio,wickPoked,exitIdx,exitTime,exitClose,extShort,extLong,revertedShort,revertedLong,nextZoneSide,truncated
0,2020-11-25 01:30,2020-11-26 07:15,112,231,120,15.705,15.554,0.963,0,4.68,10.12,UP,1,1,112,2020-11-25 01:30,0,112,2020-11-25 01:30,15.688,0.887,0,1,4.09,true,113,2020-11-25 01:45,15.755,2.9,3.48,true,true,BELOW,false
1,2020-11-26 07:30,2020-11-27 07:45,232,329,98,12.939,12.764,1.404,0,1.733,11.45,DOWN,1,1,251,2020-11-26 12:15,19,251,2020-11-26 12:15,12.775,0.063,19,-1,0.6,true,252,2020-11-26 12:30,12.728,6.49,11.63,true,true,BELOW,false
2,2020-11-27 08:00,2020-11-30 07:45,330,617,288,12.588,12.431,1.297,0,3.216,11.81,DOWN,1,1,349,2020-11-27 12:45,19,349,2020-11-27 12:45,12.436,0.032,19,1,0.88,true,350,2020-11-27 13:00,12.374,3.44,3.85,false,false,ABOVE,false
3,2020-11-30 08:00,2020-11-30 13:30,618,640,23,14.039,13.976,0.458,0,4.372,10.07,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
4,2020-11-30 13:45,2020-12-04 09:45,641,1009,369,13.922,13.775,1.037,0,3.657,11.91,DOWN,1,1,746,2020-12-01 16:00,105,746,2020-12-01 16:00,13.835,0.408,105,-1,0.57,true,747,2020-12-01 16:15,13.729,1.95,2.32,true,true,BELOW,false
5,2020-12-04 10:00,2020-12-04 15:45,1010,1033,24,13.764,13.723,0.302,0,6.946,12.01,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
6,2020-12-04 16:00,2020-12-08 05:30,1034,1376,343,13.376,13.288,0.674,0,5.567,22.79,DOWN,1,1,1046,2020-12-04 19:00,12,1046,2020-12-04 19:00,13.289,0.011,12,-1,0.45,true,1047,2020-12-04 19:15,13.275,1.91,5.93,true,true,BELOW,false
7,2020-12-08 05:45,2020-12-08 09:15,1377,1391,15,13.149,13.113,0.273,0,2.458,10.27,DOWN,1,2,1380,2020-12-08 06:30,3,1381,2020-12-08 06:45,13.14,0.75,4,-1,0.56,true,1382,2020-12-08 07:00,13.09,1.58,5.57,true,true,BELOW,false
8,2020-12-08 09:30,2020-12-08 15:45,1392,1417,26,12.989,12.922,0.528,0,8.111,12.88,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
9,2020-12-08 16:00,2020-12-13 15:45,1418,1897,480,12.623,12.565,0.468,0,2.745,10.73,DOWN,1,1,1420,2020-12-08 16:30,2,1420,2020-12-08 16:30,12.566,0.017,2,-1,0.77,true,1421,2020-12-08 16:45,12.524,0.45,4.42,true,true,OVERLAP,false
10,2020-12-13 16:00,2020-12-15 01:30,1898,2032,135,12.623,12.55,0.564,1,6.041,10.85,DOWN,1,1,1973,2020-12-14 10:45,75,1973,2020-12-14 10:45,12.553,0.041,75,1,3.84,true,1974,2020-12-14 11:00,12.45,1.12,1.82,false,true,ABOVE,false
11,2020-12-15 01:45,2020-12-15 04:30,2033,2044,12,12.84,12.817,0.179,0,3.077,14.15,UP,1,1,2033,2020-12-15 01:45,0,2033,2020-12-15 01:45,12.818,0.043,0,1,1.22,true,2034,2020-12-15 02:00,12.965,0,2.26,true,true,OVERLAP,false
12,2020-12-15 04:45,2020-12-15 21:00,2045,2110,66,12.859,12.801,0.459,1,4.932,11.14,DOWN,1,1,2108,2020-12-15 20:30,63,2108,2020-12-15 20:30,12.847,0.793,63,-1,1.4,true,2109,2020-12-15 20:45,12.782,1.17,3.81,false,false,OVERLAP,false
13,2020-12-15 21:15,2020-12-21 15:45,2111,2665,555,12.859,12.782,0.606,2,3.71,10.64,DOWN,1,1,2639,2020-12-21 09:15,528,2639,2020-12-21 09:15,12.807,0.325,528,-1,1.21,true,2640,2020-12-21 09:30,12.757,5.16,5.16,false,false,BELOW,false
14,2020-12-21 16:00,2020-12-29 15:45,2666,3433,768,12.463,12.37,0.763,0,6.342,14.53,DOWN,1,2,2669,2020-12-21 16:45,3,2670,2020-12-21 17:00,12.389,0.204,4,-1,0.29,true,2671,2020-12-21 17:15,12.237,1.59,1.59,true,true,BELOW,false
15,2020-12-29 16:00,2020-12-31 06:45,3434,3589,156,11.541,11.306,2.145,0,7.506,11.44,UP,1,6,3440,2020-12-29 17:30,6,3445,2020-12-29 18:45,11.454,0.63,11,-1,0.37,true,3446,2020-12-29 19:00,11.578,0,0,true,true,BELOW,false
16,2020-12-31 07:00,2020-12-31 22:45,3590,3653,64,11.229,11.207,0.19,0,11.891,17.88,DOWN,1,2,3623,2020-12-31 15:15,33,3624,2020-12-31 15:30,11.214,0.318,34,1,0.54,true,3625,2020-12-31 15:45,11.199,0.79,0.79,true,true,BELOW,false
17,2020-12-31 23:00,2021-01-12 21:15,3654,4799,1146,11.183,11.15,0.293,0,12.042,12.35,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
18,2021-01-12 21:30,2021-01-15 12:30,4800,5052,253,14.4,14.183,1.536,0,1.753,12.1,DOWN,1,2,4801,2021-01-12 21:45,1,4802,2021-01-12 22:00,14.371,0.866,2,-1,0.55,true,4803,2021-01-12 22:15,14.181,4.7,5.69,false,false,ABOVE,false
