zoneId,startTime,endTime,startIndex,endIndex,duration,upper,lower,widthPct,merges,triggerChange,triggerSignal,outcome,insideRuns,insideBars,firstEntryIdx,firstEntryTime,entryLag,decisionIdx,decisionTime,decisionClose,pos,age,trendAt,volRatio,wickPoked,exitIdx,exitTime,exitClose,extShort,extLong,revertedShort,revertedLong,nextZoneSide,truncated
0,2021-01-12 16:00,2021-02-28 19:30,4778,9304,4527,3.3332,3.2989,0.987,0,7.162,22.82,UP,1,2,4832,2021-01-13 05:30,54,4833,2021-01-13 05:45,3.3292,0.883,55,1,0.9,true,4834,2021-01-13 06:00,3.346,0,1.57,true,true,ABOVE,false
1,2021-02-28 19:45,2021-03-06 03:15,9305,9815,511,12.3927,12.2145,1.342,0,7.616,23.91,UP,1,6,9727,2021-03-05 05:15,422,9732,2021-03-05 06:30,12.3612,0.823,427,-1,0.86,true,9733,2021-03-05 06:45,12.4276,0.59,0.59,true,true,ABOVE,false
2,2021-03-06 03:30,2021-03-17 16:00,9816,10922,1107,12.503,12.4474,0.45,0,13.361,30.59,UP,1,1,9826,2021-03-06 06:00,10,9826,2021-03-06 06:00,12.4937,0.833,10,-1,1.8,true,9827,2021-03-06 06:15,12.5082,1.26,3.54,false,false,ABOVE,false
3,2021-03-17 16:15,2021-05-07 15:30,10923,15816,4894,13.5595,13.4647,0.68,0,3.723,21.8,DOWN,1,4,11628,2021-03-25 00:30,705,11631,2021-03-25 01:15,13.5181,0.563,708,-1,0.52,true,11632,2021-03-25 01:30,13.3002,4.15,4.15,true,true,ABOVE,false
4,2021-05-07 15:45,2021-10-15 03:45,15817,31225,15409,42.9599,42.4679,1.093,0,6.065,30.3,UP,1,4,15842,2021-05-07 22:00,25,15845,2021-05-07 22:45,42.6153,0.3,28,1,0.93,true,15846,2021-05-07 23:00,43.0015,0.23,0.23,true,true,ABOVE,false
5,2021-10-15 04:00,2021-10-26 13:45,31226,32321,1096,151.232,150.703,0.343,0,11.438,24.72,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
6,2021-10-26 14:00,2022-02-10 02:30,32322,42548,10227,208.125,206.813,0.642,0,9.246,24.03,UP,1,1,32336,2021-10-26 17:30,14,32336,2021-10-26 17:30,207.806,0.757,14,-1,0.92,true,32337,2021-10-26 17:45,208.63,0.15,5.37,true,true,BELOW,false
7,2022-02-10 02:45,2022-02-10 13:15,42549,42591,43,113.48,113.03,0.405,0,9.827,23.56,UP,1,1,42577,2022-02-10 09:45,28,42577,2022-02-10 09:45,113.21,0.4,28,-1,0.81,true,42578,2022-02-10 10:00,113.85,0.38,6.59,true,true,OVERLAP,false
8,2022-02-10 13:30,2022-03-10 13:15,42592,45279,2688,113.97,113.03,0.868,1,12.633,22.16,DOWN,1,1,42600,2022-02-10 15:30,8,42600,2022-02-10 15:30,113.08,0.053,8,-1,1.87,true,42601,2022-02-10 15:45,111.83,2.12,4.94,false,false,BELOW,false
9,2022-03-10 13:30,2022-04-16 10:00,45280,48818,3539,82.61,82.07,0.669,0,7.768,25.23,DOWN,1,3,45285,2022-03-10 14:45,5,45287,2022-03-10 15:15,82.25,0.333,7,-1,1.74,true,45288,2022-03-10 15:30,82.04,0.57,0.57,true,true,ABOVE,false
10,2022-04-16 10:15,2022-05-08 16:45,48819,50957,2139,101.54,101.4,0.137,0,12.288,30.37,DOWN,1,1,48847,2022-04-16 17:15,28,48847,2022-04-16 17:15,101.45,0.357,28,1,0.42,true,48848,2022-04-16 17:30,101.37,0.15,0.15,true,true,BELOW,false
11,2022-05-08 17:00,2022-06-18 06:30,50958,54852,3895,77.96,77.37,0.782,0,13.918,24.36,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
12,2022-06-18 06:45,2022-08-02 23:30,54853,59240,4388,30.09,29.93,0.554,0,15.461,35.12,UP,1,1,54870,2022-06-18 11:00,17,54870,2022-06-18 11:00,29.94,0.063,17,-1,1.19,true,54871,2022-06-18 11:15,30.44,0.47,1.44,true,true,ABOVE,false
13,2022-08-02 23:45,2022-08-19 06:15,59241,60803,1563,41.14,40.9,0.604,0,11.544,23.63,DOWN,1,3,59481,2022-08-05 11:45,240,59483,2022-08-05 12:15,41.05,0.625,242,1,1.46,true,59484,2022-08-05 12:30,40.31,3.2,3.69,false,false,BELOW,false
14,2022-08-19 06:30,2022-10-10 21:45,60804,65857,5054,38.17,37.86,0.854,0,11.316,22.67,DOWN,1,1,63123,2022-09-12 10:15,2319,63123,2022-09-12 10:15,37.89,0.097,2319,1,5.53,true,63124,2022-09-12 10:30,37.85,1.4,2.85,true,true,BELOW,false
15,2022-10-10 22:00,2022-11-05 15:00,65858,68326,2469,32.42,32.36,0.187,0,15.933,20.01,DOWN,1,1,67580,2022-10-28 20:30,1722,67580,2022-10-28 20:30,32.4,0.667,1722,1,1.09,true,67581,2022-10-28 20:45,32.32,1.11,1.61,false,true,ABOVE,false
16,2022-11-05 15:15,2022-11-17 11:45,68327,69465,1139,34.62,34.41,0.569,0,27.101,38.05,DOWN,1,4,68434,2022-11-06 18:00,107,68437,2022-11-06 18:45,34.5,0.429,110,-1,0.34,true,68438,2022-11-06 19:00,34.33,2.09,6.71,false,false,BELOW,false
17,2022-11-17 12:00,2022-12-04 14:30,69466,71108,1643,14.215,14.161,0.387,0,13.403,37.25,DOWN,1,2,70076,2022-11-23 20:30,610,70077,2022-11-23 20:45,14.169,0.148,611,1,0.73,true,70078,2022-11-23 21:00,14.066,1.04,1.4,true,true,BELOW,false
18,2022-12-04 14:45,2022-12-09 08:45,71109,71565,457,13.405,13.359,0.341,0,8.995,26.4,UP,1,1,71437,2022-12-08 00:45,328,71437,2022-12-08 00:45,13.363,0.087,328,-1,3.14,true,71438,2022-12-08 01:00,13.433,0.25,0.76,true,true,ABOVE,false
19,2022-12-09 09:00,2022-12-11 12:30,71566,71772,207,13.669,13.65,0.138,0,19.427,54.68,DOWN,1,1,71600,2022-12-09 17:30,34,71600,2022-12-09 17:30,13.662,0.632,34,1,2.44,true,71601,2022-12-09 17:45,13.641,0.78,1.1,false,false,BELOW,false
20,2022-12-11 12:45,2022-12-16 22:15,71773,72291,519,13.62,13.611,0.066,0,40.316,56.27,UP,1,1,71780,2022-12-11 14:30,7,71780,2022-12-11 14:30,13.618,0.778,7,-1,0.48,true,71781,2022-12-11 14:45,13.624,0,0.02,true,true,BELOW,false
21,2022-12-16 22:30,2022-12-24 05:00,72292,72990,699,12.913,12.878,0.284,0,33.664,76.65,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
22,2022-12-24 05:15,2022-12-30 12:15,72991,73595,605,11.744,11.727,0.15,0,62.077,70.95,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
23,2022-12-30 12:30,2023-01-01 10:45,73596,73781,186,9.145,9.097,0.508,0,13.461,38.87,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
24,2023-01-01 11:00,2023-01-02 06:45,73782,73861,80,9.799,9.764,0.352,0,10.277,22.77,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
25,2023-01-02 07:00,2023-01-02 19:30,73862,73912,51,9.975,9.95,0.207,0,49.342,68.18,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
26,2023-01-02 19:45,2023-01-08 08:30,73913,74444,532,11.15,11.113,0.329,0,16.965,42.16,DOWN,1,1,73936,2023-01-03 01:30,23,73936,2023-01-03 01:30,11.146,0.892,23,1,1.23,true,73937,2023-01-03 01:45,11.064,0.61,0.61,true,true,ABOVE,false
27,2023-01-08 08:45,2023-03-03 01:00,74445,79598,5154,13.32,13.265,0.405,0,10.205,22.73,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
28,2023-03-03 01:15,2023-03-28 18:30,79599,82068,2470,21.851,21.784,0.319,0,16.586,29.95,UP,1,1,80712,2023-03-14 15:30,1113,80712,2023-03-14 15:30,21.851,1,1113,1,0.38,true,80713,2023-03-14 15:45,21.924,2.22,7.06,true,true,BELOW,false
29,2023-03-28 18:45,2023-04-08 13:15,82069,83103,1035,20.24,20.081,0.77,0,5.626,21.66,UP,1,3,82310,2023-03-31 07:00,241,82312,2023-03-31 07:30,20.18,0.623,243,-1,2.6,true,82313,2023-03-31 07:45,20.288,0,0,true,true,ABOVE,false
30,2023-04-08 13:30,2023-05-20 05:15,83104,87103,4000,20.534,20.506,0.137,0,14.336,38.36,UP,1,1,83313,2023-04-10 17:45,209,83313,2023-04-10 17:45,20.526,0.714,209,1,0.75,true,83314,2023-04-10 18:00,20.553,0,0,true,true,BELOW,false
31,2023-05-20 05:30,2023-06-04 06:30,87104,88548,1445,20.223,20.206,0.084,0,13.725,39.8,DOWN,1,2,87117,2023-05-20 08:45,13,87118,2023-05-20 09:00,20.212,0.353,14,-1,0.77,true,87119,2023-05-20 09:15,20.193,0.22,0.22,true,true,ABOVE,false
32,2023-06-04 06:45,2023-07-22 23:00,88549,93222,4674,21.347,21.28,0.309,0,20.79,28.75,DOWN,1,1,91750,2023-07-07 15:00,3201,91750,2023-07-07 15:00,21.32,0.597,3201,1,2.54,true,91751,2023-07-07 15:15,20.974,1.64,1.64,true,true,ABOVE,false
33,2023-07-22 23:15,2023-07-24 09:30,93223,93360,138,25.189,25.068,0.498,0,17.63,24.19,DOWN,1,1,93297,2023-07-23 17:45,74,93297,2023-07-23 17:45,25.075,0.058,74,-1,3.1,true,93298,2023-07-23 18:00,25.025,1.26,2.22,true,true,BELOW,false
