zoneId,startTime,endTime,startIndex,endIndex,duration,upper,lower,widthPct,merges,triggerChange,triggerSignal,outcome,insideRuns,insideBars,firstEntryIdx,firstEntryTime,entryLag,decisionIdx,decisionTime,decisionClose,pos,age,trendAt,volRatio,wickPoked,exitIdx,exitTime,exitClose,extShort,extLong,revertedShort,revertedLong,nextZoneSide,truncated
0,2023-05-07 23:45,2023-05-17 15:30,415,1342,928,1.2867,1.281,0.459,0,19.109,33.27,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
1,2023-05-17 15:45,2023-05-21 15:15,1343,1725,383,1.1384,1.131,0.632,0,19.574,25.13,UP,1,7,1447,2023-05-18 17:45,104,1453,2023-05-18 19:15,1.135,0.541,110,-1,0.57,true,1454,2023-05-18 19:30,1.1447,0.06,0.06,true,true,BELOW,false
2,2023-05-21 15:30,2023-06-01 13:15,1726,2773,1048,1.1218,1.1186,0.301,0,21.278,25.28,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
3,2023-06-01 13:30,2023-06-05 12:45,2774,3155,382,0.9661,0.9621,0.412,0,6.717,21.02,DOWN,1,1,2785,2023-06-01 16:15,11,2785,2023-06-01 16:15,0.9635,0.35,11,-1,0.48,true,2786,2023-06-01 16:30,0.9588,0.38,1.26,true,true,BELOW,false
4,2023-06-05 13:00,2023-06-06 11:45,3156,3247,92,0.9119,0.9058,0.694,0,14.391,21.59,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
5,2023-06-06 12:00,2023-06-18 19:45,3248,4431,1184,0.8007,0.7965,0.543,0,8.541,28.85,DOWN,1,1,3303,2023-06-07 01:45,55,3303,2023-06-07 01:45,0.7984,0.452,55,1,1.21,true,3304,2023-06-07 02:00,0.7936,1.92,2,false,false,BELOW,false
6,2023-06-18 20:00,2023-07-24 09:30,4432,7846,3415,0.7452,0.7409,0.592,0,11.757,28.57,UP,1,1,4470,2023-06-19 05:30,38,4470,2023-06-19 05:30,0.7449,0.93,38,-1,1.12,true,4471,2023-06-19 05:45,0.7532,0,0,true,true,BELOW,false
7,2023-07-24 09:45,2023-07-30 19:30,7847,8462,616,0.6608,0.657,0.607,0,13.903,28.92,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
8,2023-07-30 19:45,2023-08-09 12:15,8463,9393,931,0.6283,0.6277,0.097,0,54.263,59.33,UP,1,2,8567,2023-07-31 21:45,104,8568,2023-07-31 22:00,0.6283,1,105,1,0.7,true,8569,2023-07-31 22:15,0.6291,0.14,3.46,true,true,BELOW,false
9,2023-08-09 12:30,2023-08-15 18:45,9394,9995,602,0.6012,0.5995,0.275,0,30.883,26.91,UP,1,2,9404,2023-08-09 15:00,10,9405,2023-08-09 15:15,0.6002,0.412,11,1,0.44,true,9406,2023-08-09 15:30,0.6018,0.73,2.02,true,true,BELOW,false
10,2023-08-15 19:00,2023-08-16 20:00,9996,10096,101,0.5866,0.5841,0.453,0,63.641,38.72,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
11,2023-08-16 20:15,2023-08-29 02:45,10097,11275,1179,0.5402,0.5383,0.363,0,17.102,24.8,DOWN,1,1,10371,2023-08-19 16:45,274,10371,2023-08-19 16:45,0.5384,0.053,274,1,5.91,true,10372,2023-08-19 17:00,0.537,2.66,2.66,true,true,OVERLAP,false
12,2023-08-29 03:00,2023-09-13 07:15,11276,12733,1458,0.5418,0.5383,0.665,1,19.208,29.94,DOWN,1,1,11322,2023-08-29 14:30,46,11322,2023-08-29 14:30,0.5413,0.857,46,-1,7.14,true,11323,2023-08-29 14:45,0.533,2.47,2.47,false,false,BELOW,false
13,2023-09-13 07:30,2023-09-19 13:30,12734,13334,601,0.4265,0.4247,0.418,0,22.876,52.18,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
14,2023-09-19 13:45,2023-09-20 19:00,13335,13452,118,0.4533,0.4517,0.357,0,13.672,31.12,DOWN,1,1,13344,2023-09-19 16:00,9,13344,2023-09-19 16:00,0.4524,0.438,9,1,1.45,true,13345,2023-09-19 16:15,0.45,0.89,1,false,true,BELOW,false
15,2023-09-20 19:15,2023-10-05 12:45,13453,14867,1415,0.4462,0.4442,0.455,0,19.761,20.66,UP,1,1,13460,2023-09-20 21:00,7,13460,2023-09-20 21:00,0.4447,0.25,7,-1,1.07,true,13461,2023-09-20 21:15,0.4463,0.14,0.14,true,true,BELOW,false
16,2023-10-05 13:00,2023-10-15 20:15,14868,15857,990,0.4396,0.4385,0.247,0,22.68,29.25,DOWN,1,1,14942,2023-10-06 07:30,74,14942,2023-10-06 07:30,0.4387,0.182,74,-1,1.72,true,14943,2023-10-06 07:45,0.4381,0.25,1.28,true,true,BELOW,false
17,2023-10-15 20:30,2023-10-19 01:15,15858,16165,308,0.4097,0.4093,0.097,0,17.623,23.32,UP,1,2,15869,2023-10-15 23:15,11,15870,2023-10-15 23:30,0.4095,0.5,12,-1,0.36,true,15871,2023-10-15 23:45,0.4104,0,0,true,true,BELOW,false
18,2023-10-19 01:30,2023-10-24 08:45,16166,16675,510,0.3812,0.3796,0.431,0,12.556,28.94,DOWN,1,2,16300,2023-10-20 11:00,134,16301,2023-10-20 11:15,0.3799,0.188,135,1,0.64,true,16302,2023-10-20 11:30,0.378,1.55,1.55,false,true,ABOVE,false
19,2023-10-24 09:00,2023-11-10 20:00,16676,18352,1677,0.4331,0.431,0.471,0,39.348,48.19,DOWN,1,1,16706,2023-10-24 16:30,30,16706,2023-10-24 16:30,0.4316,0.286,30,1,0.71,true,16707,2023-10-24 16:45,0.4308,1.69,1.69,true,true,ABOVE,false
20,2023-11-10 20:15,2023-12-04 10:45,18353,20619,2267,0.5616,0.5574,0.7,0,15.426,42.38,UP,1,1,18759,2023-11-15 01:45,406,18759,2023-11-15 01:45,0.5615,0.976,406,-1,0.97,true,18760,2023-11-15 02:00,0.563,0,0,true,true,ABOVE,false
