zoneId,startTime,endTime,startIndex,endIndex,duration,upper,lower,widthPct,merges,triggerChange,triggerSignal,outcome,insideRuns,insideBars,firstEntryIdx,firstEntryTime,entryLag,decisionIdx,decisionTime,decisionClose,pos,age,trendAt,volRatio,wickPoked,exitIdx,exitTime,exitClose,extShort,extLong,revertedShort,revertedLong,nextZoneSide,truncated
0,2020-11-23 22:30,2020-11-24 13:15,4,63,60,0.5805,0.5663,2.371,0,2.057,12.97,BYPASS,0,0,,,,,,,,,,,,,,,,,,,ABOVE,false
1,2020-11-24 13:30,2020-11-26 07:15,64,231,168,0.6222,0.6099,1.822,0,2.457,12.42,UP,1,1,196,2020-11-25 22:30,132,196,2020-11-25 22:30,0.6171,0.585,132,1,0.96,true,197,2020-11-25 22:45,0.6338,1.62,15.3,true,true,BELOW,false
2,2020-11-26 07:30,2020-11-27 19:45,232,377,146,0.5555,0.5371,3.564,0,3.137,16.92,DOWN,1,2,246,2020-11-26 11:00,14,247,2020-11-26 11:15,0.541,0.212,15,-1,0.95,true,248,2020-11-26 11:30,0.5298,3.72,15.19,true,true,OVERLAP,false
3,2020-11-27 20:00,2020-11-29 15:45,378,553,176,0.5555,0.5363,3.501,1,3.176,13.12,UP,1,3,378,2020-11-27 20:00,0,380,2020-11-27 20:30,0.5548,0.964,2,1,1.27,true,381,2020-11-27 20:45,0.5599,0,0,true,true,ABOVE,false
4,2020-11-29 16:00,2020-11-29 23:45,554,585,32,0.6193,0.6141,0.876,0,8.599,17.45,DOWN,1,1,574,2020-11-29 21:00,20,574,2020-11-29 21:00,0.6161,0.385,20,1,1.38,true,575,2020-11-29 21:15,0.6134,2.51,2.51,false,true,BELOW,false
5,2020-11-30 00:00,2020-12-04 02:15,586,979,394,0.6074,0.6021,0.855,0,3.429,10.13,UP,1,1,624,2020-11-30 09:30,38,624,2020-11-30 09:30,0.6054,0.623,38,1,2.29,true,625,2020-11-30 09:45,0.6125,0,0,true,true,ABOVE,false
6,2020-12-04 02:30,2020-12-04 15:45,980,1033,54,0.6284,0.6257,0.436,0,15.272,12.34,DOWN,1,1,1004,2020-12-04 08:30,24,1004,2020-12-04 08:30,0.6267,0.37,24,-1,1.85,true,1005,2020-12-04 08:45,0.6241,3.88,6.81,false,false,BELOW,false
7,2020-12-04 16:00,2020-12-08 22:30,1034,1444,411,0.5959,0.5918,0.716,0,14.677,21.93,DOWN,1,3,1099,2020-12-05 08:15,65,1101,2020-12-05 08:45,0.5949,0.756,67,-1,0.97,true,1102,2020-12-05 09:00,0.589,0.69,3.01,true,true,BELOW,false
8,2020-12-08 22:45,2020-12-09 04:30,1445,1468,24,0.5732,0.5699,0.589,0,3.633,10.15,BYPASS,0,0,,,,,,,,,,,,,,,,,,,BELOW,false
9,2020-12-09 04:45,2020-12-09 19:45,1469,1529,61,0.5574,0.5545,0.529,0,3.313,11.12,DOWN,1,1,1498,2020-12-09 12:00,29,1498,2020-12-09 12:00,0.5565,0.69,29,-1,1.36,true,1499,2020-12-09 12:15,0.5531,2.36,2.87,true,true,BELOW,false
