symbol,S,tEntry,tExit,entry,exitPx,exitType,hold,pnlPct,pnlR,mfeR,maeR,mfeMaxPct,maeMaxPct,cycleAge,slowAge,slowLeft,cfLag,pullLag,entryVsZone,pullDepth,volConfirm,volEntry,atrPct,zoneAge,emaSlope,hour
NEARUSDT,1,2020-11-24 21:15,2020-11-25 01:00,1.2426,1.267452,TP,16,1.86,0.93,1.78,0.65,3.57,1.3,2,92,91,0,1,2.11,0.06,0.18,0.85,1.3,10,1,21
DOGEUSDT,-1,2020-11-27 18:15,2020-11-27 20:00,0.003138,0.003201,SL,8,-2.14,-1.07,0.05,1.4,0.1,2.8,4,148,80,0,3,26.96,-0.34,1.39,0.43,1.04,232,-1,18
NEARUSDT,1,2020-11-30 01:00,2020-11-30 04:15,1.0892,1.067416,SL,14,-2.14,-1.07,0.04,1.09,0.07,2.18,1,83,473,0,0,7.43,-6.09,4.53,4.53,0.91,4,1,1
NEARUSDT,1,2020-12-02 06:15,2020-12-02 09:15,1.1487,1.171674,TP,13,1.86,0.93,1.4,0.23,2.79,0.45,1,296,261,0,0,6.14,-2.42,1.25,1.25,1.14,25,1,6
SOLUSDT,1,2020-12-02 15:00,2020-12-02 17:45,2.1219,2.164338,TP,12,1.86,0.93,1.31,0.93,2.61,1.87,3,237,169,0,2,7.47,-1.62,0.69,3.16,1.1,223,1,15
AVAXUSDT,1,2020-12-02 16:45,2020-12-02 17:45,3.7075,3.78165,TP,5,1.86,0.93,1.32,0.11,2.63,0.22,3,296,210,0,2,2.03,0.43,0.88,0.85,0.85,352,1,16
SOLUSDT,-1,2020-12-06 07:15,2020-12-06 09:15,1.9261,1.887578,TP,9,1.86,0.93,1.41,0.31,2.82,0.62,3,172,681,0,2,17.63,0.33,0.68,0.71,0.44,209,-1,7
LINKUSDT,-1,2020-12-06 11:45,2020-12-06 13:45,13.066,12.80468,TP,9,1.86,0.93,1.13,0,2.26,0,3,170,652,0,2,3.15,0,1.36,1.01,0.54,173,-1,11
LINKUSDT,-1,2020-12-07 12:30,2020-12-07 18:45,13.188,12.92424,TP,26,1.86,0.93,1.17,0.47,2.34,0.93,3,269,536,0,2,1.63,0.45,1.69,2.17,0.46,272,-1,12
NEARUSDT,-1,2020-12-10 16:30,2020-12-10 19:00,0.984,0.96432,TP,11,1.86,0.93,1.33,0.05,2.65,0.09,2,535,225,0,1,1.29,-0.01,0.25,1.21,0.79,70,-1,16
TRXUSDT,-1,2020-12-10 18:45,2020-12-11 03:00,0.02811,0.027548,TP,34,1.86,0.93,1.07,0.3,2.13,0.6,3,825,208,1,1,12.49,-0.32,0.27,0.57,0.47,228,-1,18
DOTUSDT,-1,2020-12-11 00:45,2020-12-11 07:00,4.728,4.63344,TP,26,1.86,0.93,1.04,0.08,2.07,0.17,3,585,200,2,0,0.08,-2.77,3.19,3.19,0.56,164,-1,0
NEARUSDT,1,2020-12-14 06:15,2020-12-14 15:00,0.9746,0.994092,TP,36,1.86,0.93,1.17,0.81,2.35,1.62,1,107,345,0,0,2.36,-1.53,0.63,0.63,0.61,32,1,6
BNBUSDT,1,2020-12-14 15:15,2020-12-14 20:15,29.527,30.11754,TP,21,1.86,0.93,1.02,0.08,2.05,0.15,1,159,658,0,0,3.88,-2.58,0.67,0.67,0.5,21,1,15
FILUSDT,-1,2020-12-14 15:15,2020-12-14 20:00,29.856,29.25888,TP,20,1.86,0.93,1.03,0.04,2.06,0.09,1,167,1060,0,0,1.45,-1.88,0.75,0.75,0.16,3,-1,15
DOTUSDT,1,2020-12-15 09:00,2020-12-15 09:45,5.035,5.1357,TP,4,1.86,0.93,1.01,0.48,2.03,0.95,1,191,519,0,0,2.2,-3.08,7.56,7.56,0.68,139,1,9
FILUSDT,-1,2020-12-15 20:00,2020-12-16 21:30,29.124,28.54152,TP,103,1.86,0.93,2.35,0.66,4.69,1.33,1,282,862,0,0,3.35,-3.12,1.38,1.38,0.22,79,-1,20
LTCUSDT,1,2020-12-16 12:45,2020-12-16 13:30,82.25,83.895,TP,4,1.86,0.93,1.13,0.07,2.26,0.15,4,353,485,0,3,0.95,-0.39,0.8,3.39,0.89,48,1,12
ADAUSDT,1,2020-12-16 14:00,2020-12-16 14:15,0.16509,0.161788,SL,2,-2.14,-1.07,0.01,1.49,0.02,2.99,1,319,464,0,0,4.83,-6.2,6.62,6.62,1.02,67,1,14
LINKUSDT,1,2020-12-16 14:00,2020-12-16 14:15,13.312,13.04576,SL,2,-2.14,-1.07,0,1.32,0,2.64,1,308,422,0,0,3.67,-5.1,4.96,4.96,0.93,67,1,14
TRXUSDT,1,2020-12-16 14:00,2020-12-16 23:15,0.03043,0.031039,TP,38,1.86,0.93,1.18,0.61,2.37,1.22,1,315,435,0,0,6.52,-5.76,6.03,6.03,0.58,2,1,14
BNBUSDT,1,2020-12-16 14:45,2020-12-17 00:00,30.179,30.78258,TP,38,1.86,0.93,1.45,0.27,2.9,0.53,1,349,451,0,0,6.77,-3.1,1.35,1.35,0.6,211,1,14
AVAXUSDT,1,2020-12-16 15:45,2020-12-16 18:15,3.3021,3.368142,TP,11,1.86,0.93,1.02,0.6,2.04,1.21,1,67,387,0,0,2.87,-3.19,0.74,0.74,0.7,74,1,15
AVAXUSDT,1,2020-12-18 05:30,2020-12-18 07:45,3.3484,3.415368,TP,10,1.86,0.93,1.03,0.08,2.06,0.16,1,218,237,0,0,2.41,-2.07,0.83,0.83,0.77,81,1,5
DOTUSDT,1,2020-12-19 06:15,2020-12-19 12:00,5.42,5.5284,TP,24,1.86,0.93,1.21,0.24,2.42,0.48,4,564,126,0,3,5.91,0.28,0.87,1.2,0.64,321,1,6
FILUSDT,-1,2020-12-19 18:00,2020-12-21 10:00,28.285,27.7193,TP,161,1.86,0.93,1.39,0.38,2.78,0.75,1,658,428,0,0,2.82,-1.84,0.23,0.23,0.3,35,-1,18
DOTUSDT,-1,2020-12-23 12:15,2020-12-23 15:45,4.966,4.86668,TP,15,1.86,0.93,1.26,0.46,2.52,0.93,4,258,147,0,3,1.01,0.12,1.08,0.95,1,68,-1,12
NEARUSDT,1,2020-12-27 02:00,2020-12-27 02:45,1.0625,1.08375,TP,4,1.86,0.93,1.17,0.12,2.34,0.24,1,210,818,0,0,5.67,-2.68,2.47,2.47,0.94,62,1,2
TRXUSDT,1,2020-12-27 16:00,2020-12-27 16:15,0.02902,0.0296,TP,2,1.86,0.93,2.58,0.6,5.17,1.21,1,221,157,0,0,3.38,-2.87,1.63,1.63,1.04,178,1,16
ADAUSDT,1,2020-12-27 16:45,2020-12-27 17:30,0.16218,0.158936,SL,4,-2.14,-1.07,0.06,1.9,0.11,3.8,3,214,548,0,2,4.12,-0.65,1.87,0.61,1.81,289,1,16
DOTUSDT,1,2020-12-28 06:15,2020-12-28 06:30,5.388,5.49576,TP,2,1.86,0.93,1.03,0.06,2.06,0.11,1,294,1109,0,0,3.01,-2.66,5.52,5.52,0.76,115,1,6
LTCUSDT,1,2020-12-28 15:00,2020-12-28 15:30,133.57,130.8986,SL,3,-2.14,-1.07,0.03,1.3,0.05,2.6,2,301,1300,0,1,0.98,0.35,0.63,1.16,1.28,169,1,15
XRPUSDT,-1,2020-12-28 22:30,2020-12-28 22:45,0.2488,0.253776,SL,2,-2.14,-1.07,2.81,1.25,5.63,2.49,1,151,360,0,0,4.75,-4.95,19.55,19.55,2.52,0,-1,22
BTCUSDT,1,2020-12-30 00:30,2020-12-30 03:00,27691.97,28245.8094,TP,11,1.86,0.93,1.21,0.29,2.41,0.58,1,435,524,0,0,3.87,-2.66,1.46,1.46,0.68,266,1,0
NEARUSDT,1,2020-12-30 01:00,2020-12-30 03:15,1.2122,1.236444,TP,10,1.86,0.93,1.55,0.61,3.09,1.22,1,494,528,0,0,4.22,-3.79,2.16,2.16,1.13,71,1,1
LINKUSDT,-1,2021-01-01 00:30,2021-01-01 01:00,11.206,11.43012,SL,3,-2.14,-1.07,0.04,1.57,0.07,3.13,3,129,55,0,2,-0.64,-0.05,4.66,0.93,0.79,4,-1,0
SOLUSDT,1,2021-01-01 01:30,2021-01-01 07:15,1.5921,1.623942,TP,24,1.86,0.93,1.03,0.93,2.07,1.86,1,309,526,0,0,4.98,-3.4,1.6,1.6,1.19,51,1,1
ETHUSDT,1,2021-01-02 13:15,2021-01-02 16:30,765.22,780.5244,TP,14,1.86,0.93,1.05,0.67,2.11,1.34,1,774,819,0,0,5.22,-3.79,3.48,3.48,0.84,4,1,13
LTCUSDT,1,2021-01-02 13:45,2021-01-02 14:15,131.09,128.4682,SL,3,-2.14,-1.07,0.03,1.06,0.05,2.13,1,776,825,0,0,3.23,-2.17,1.23,1.23,1.09,196,1,13
DOTUSDT,1,2021-01-02 14:15,2021-01-02 14:30,8.929,9.10758,TP,2,1.86,0.93,1.03,0.21,2.06,0.41,3,806,597,0,2,3.52,-0.99,1.34,1.58,2.01,54,1,14
