symbol,S,pnl,win,exitType,hold,fastCycleLen,slowAge,confLag,pullLag,pullDepth,entryVsZone,volConfirm,volEntry,atrPct,zoneWidth,zoneAge,zoneMerged,slowStrength,moveFromFlip,emaSlope,hour,rangePct
IMXUSDT,-1,1.9,1,TP,2,1,905,0,0,-3.57,1.44,1.63,1.63,0.99,1.91,120,1,0.59,0,-1,0,0.85
IMXUSDT,1,1.9,1,TP,5,2,346,0,1,-0.56,12.51,1.55,1.2,2.22,0.48,349,0,3.66,1.32,1,4,1.95
IMXUSDT,1,1.9,1,TP,3,4,849,0,3,0,2.88,1.22,1.28,1.03,0.55,122,0,2.81,-2.1,1,1,1.12
IMXUSDT,1,1.9,1,TP,4,3,97,0,2,-0.3,6.81,0.69,0.93,1.27,0.94,171,0,2.44,-0.87,1,8,0.97
IMXUSDT,1,-2.1,0,SL,13,4,270,0,3,-0.3,7.99,0.74,0.83,0.91,0.96,343,0,1.14,-0.62,1,3,1.09
IMXUSDT,-1,1.9,1,TP,15,1,861,0,0,-1.21,0.89,2.25,2.25,1.21,0.59,141,0,1.4,0,-1,16,1.81
IMXUSDT,-1,1.9,1,TP,2,1,1176,0,0,-2.65,2.95,2.19,2.19,0.76,0.44,1,0,0.78,0,-1,22,1.14
IMXUSDT,-1,1.9,1,TP,8,1,387,0,0,-3.72,4.47,2.8,2.8,1.02,0.53,12,0,0.64,0,-1,13,1.7
IMXUSDT,-1,1.9,1,TP,15,4,641,0,3,0.26,4.6,0.33,1.09,0.97,0.53,263,0,2.84,-0.82,-1,5,1.28
IMXUSDT,-1,1.9,1,TP,7,3,812,0,2,-0.14,11.12,0.58,1.19,2.11,4.17,262,0,6.44,-1.13,-1,6,2.42
IMXUSDT,-1,-2.1,0,SL,2,1,203,0,0,-2.43,4.19,2.2,2.2,1.87,1.12,105,0,3,0,-1,13,3.8
IMXUSDT,1,-2.1,0,SL,5,3,338,0,2,-0.01,1.44,1.07,1.02,1.22,2.03,231,0,3.62,-0.87,1,12,1.8
IMXUSDT,-1,1.9,1,TP,5,1,259,0,0,-1.72,1.08,1.72,1.72,0.67,0.35,67,0,1.91,0,-1,10,0.7
IMXUSDT,-1,-2.1,0,SL,42,4,174,0,3,-0.23,0.34,0.51,1.02,0.57,0.8,6,1,0.44,-0.24,-1,12,0.73
IMXUSDT,-1,1.9,1,TP,2,1,498,0,0,-3.04,3.11,0.85,0.85,1.32,1.04,18,1,0.66,0,-1,21,1.22
IMXUSDT,-1,1.9,1,TP,2,1,322,0,0,-2.55,5.36,1.15,1.15,0.32,0.15,57,0,0.68,0,-1,7,0.39
IMXUSDT,-1,1.9,1,TP,32,1,540,0,0,-2.01,2.76,1.46,1.46,0.61,0.47,9,0,0.29,0,-1,15,0.53
IMXUSDT,1,-2.1,0,SL,1,1,273,0,0,-5.35,5.36,7.97,7.97,1.4,0.57,2,0,2.8,0,1,16,5.92
IMXUSDT,-1,-1.059,0,TIMEOUT,194,2,289,0,1,-1.31,1.81,0.24,1.25,0.4,0.25,183,0,1.2,0.52,-1,18,0.69
IMXUSDT,-1,1.9,1,TP,16,1,500,0,0,-3.06,3.53,0.7,0.7,0.55,0.28,52,1,0.78,0,-1,22,0.39
IMXUSDT,-1,1.9,1,TP,128,2,115,0,1,-0.32,2.22,1.15,1.05,0.37,1.43,72,1,1.17,0.12,-1,21,0.39
IMXUSDT,-1,1.9,1,TP,42,1,430,0,0,-1.71,4.09,0.32,0.32,0.27,0.24,232,0,0.79,0,-1,4,0.14
IMXUSDT,1,1.9,1,TP,8,1,166,0,0,-3.34,6.75,2.23,2.23,0.5,0.2,311,0,0.82,0,1,1,0.52
IMXUSDT,1,1.9,1,TP,31,1,420,0,0,-2.43,5.67,0.38,0.38,0.59,0.29,41,0,0.65,0,1,17,0.34
IMXUSDT,1,-2.1,0,SL,31,1,930,0,0,-4.22,19.82,2.56,2.56,0.82,0.24,439,0,2.11,0,1,0,1.74
IMXUSDT,1,1.9,1,TP,4,1,161,0,0,-2.45,16.52,1.1,1.1,0.72,0.58,571,0,2.11,0,1,13,0.76
IMXUSDT,1,1.9,1,TP,1,1,144,0,0,-4.27,5.92,2.29,2.29,1.75,0.27,620,0,2.88,0,1,20,2.15
IMXUSDT,1,-2.1,0,SL,1,1,149,0,0,-2.72,0.21,0.97,0.97,1.21,1,137,1,1.27,0,1,2,0.98
IMXUSDT,1,1.9,1,TP,6,1,400,0,0,-2.17,3.84,1.57,1.57,1.74,1.12,118,0,4.39,0,1,2,2.06
IMXUSDT,-1,1.9,1,TP,28,2,605,0,1,-0.5,10.38,1.84,2.38,0.8,0.6,264,0,1.82,-0.8,-1,6,1.47
IMXUSDT,1,1.9,1,TP,3,1,159,0,0,-2.06,2.27,2.08,2.08,0.87,0.69,1,0,1.07,0,1,12,1.03
IMXUSDT,-1,1.9,1,TP,1,1,162,0,0,-4.14,4.04,18.39,18.39,1.31,0.39,0,0,1.89,0,-1,8,11.3
IMXUSDT,-1,1.9,1,TP,5,3,580,0,2,0.12,0.35,1.46,1.45,0.77,0.3,34,0,0.99,-2.44,-1,16,1.09
IMXUSDT,1,1.9,1,TP,1,4,103,0,3,-0.65,1.91,1.28,2.44,1.13,0.8,7,1,1.02,-0.96,1,12,1.93
IMXUSDT,-1,1.9,1,TP,18,1,1017,0,0,-2.34,3.48,1.11,1.11,0.79,0.53,212,0,1.8,0,-1,3,0.72
IMXUSDT,-1,-2.1,0,SL,30,2,152,0,1,0.39,-0.78,0.52,0.87,0.53,0.26,322,0,1.19,-0.62,-1,6,0.7
IMXUSDT,1,1.9,1,TP,22,1,192,0,0,-4.27,8.55,2.19,2.19,0.56,0.55,150,0,1.62,0,1,9,0.89
