symbol,S,tEntry,tExit,entry,exitPx,exitType,hold,pnlPct,pnlR,mfeR,maeR,mfeMaxPct,maeMaxPct,cycleAge,slowAge,slowLeft,cfLag,pullLag,entryVsZone,pullDepth,volConfirm,volEntry,atrPct,zoneAge,emaSlope,hour
DOGEUSDT,-1,2020-11-27 18:15,2020-11-27 20:00,0.003138,0.003201,SL,8,-2.14,-1.07,0.05,1.4,0.1,2.8,4,148,80,0,3,26.96,-0.34,1.39,0.43,1.04,232,-1,18
NEARUSDT,1,2020-11-30 01:00,2020-11-30 04:15,1.0892,1.067416,SL,14,-2.14,-1.07,0.04,1.09,0.07,2.18,1,83,473,0,0,7.43,-6.09,4.53,4.53,0.91,4,1,1
ADAUSDT,1,2020-12-16 14:00,2020-12-16 14:15,0.16509,0.161788,SL,2,-2.14,-1.07,0.01,1.49,0.02,2.99,1,319,464,0,0,4.83,-6.2,6.62,6.62,1.02,67,1,14
LINKUSDT,1,2020-12-16 14:00,2020-12-16 14:15,13.312,13.04576,SL,2,-2.14,-1.07,0,1.32,0,2.64,1,308,422,0,0,3.67,-5.1,4.96,4.96,0.93,67,1,14
ADAUSDT,1,2020-12-27 16:45,2020-12-27 17:30,0.16218,0.158936,SL,4,-2.14,-1.07,0.06,1.9,0.11,3.8,3,214,548,0,2,4.12,-0.65,1.87,0.61,1.81,289,1,16
LTCUSDT,1,2020-12-28 15:00,2020-12-28 15:30,133.57,130.8986,SL,3,-2.14,-1.07,0.03,1.3,0.05,2.6,2,301,1300,0,1,0.98,0.35,0.63,1.16,1.28,169,1,15
XRPUSDT,-1,2020-12-28 22:30,2020-12-28 22:45,0.2488,0.253776,SL,2,-2.14,-1.07,2.81,1.25,5.63,2.49,1,151,360,0,0,4.75,-4.95,19.55,19.55,2.52,0,-1,22
LINKUSDT,-1,2021-01-01 00:30,2021-01-01 01:00,11.206,11.43012,SL,3,-2.14,-1.07,0.04,1.57,0.07,3.13,3,129,55,0,2,-0.64,-0.05,4.66,0.93,0.79,4,-1,0
LTCUSDT,1,2021-01-02 13:45,2021-01-02 14:15,131.09,128.4682,SL,3,-2.14,-1.07,0.03,1.06,0.05,2.13,1,776,825,0,0,3.23,-2.17,1.23,1.23,1.09,196,1,13
LTCUSDT,1,2021-01-08 12:45,2021-01-08 13:00,172.48,169.0304,SL,2,-2.14,-1.07,0.03,1.48,0.05,2.97,2,1348,254,0,1,1.85,-0.78,1.02,2.09,1.86,41,1,12
ADAUSDT,1,2021-01-16 10:00,2021-01-16 10:30,0.3392,0.332416,SL,3,-2.14,-1.07,0.26,1.5,0.52,3,1,214,480,0,0,3.85,-3.86,5.01,5.01,1.51,113,1,10
BNBUSDT,1,2021-01-17 16:30,2021-01-17 17:30,44.958,44.05884,SL,5,-2.14,-1.07,0.38,1.07,0.76,2.13,1,353,203,0,0,6.49,-4.47,1.72,1.72,1.03,6,1,16
ADAUSDT,1,2021-01-21 01:15,2021-01-21 04:45,0.36831,0.360944,SL,15,-2.14,-1.07,0.72,1.32,1.43,2.65,4,659,23,0,3,10.9,0.05,0.85,1.73,1.22,555,1,1
BNBUSDT,1,2021-01-25 00:30,2021-01-25 09:45,42.716,41.86168,SL,38,-2.14,-1.07,0.22,1.21,0.43,2.43,1,60,210,0,0,3.59,-4.12,2.44,2.44,0.56,368,1,0
ADAUSDT,1,2021-01-25 04:00,2021-01-25 07:15,0.36183,0.354593,SL,14,-2.14,-1.07,0,1.3,0,2.61,3,74,155,0,2,11.05,-1.01,0.48,1.21,0.83,258,1,4
BNBUSDT,1,2021-02-14 13:30,2021-02-14 14:45,135.653,132.93994,SL,6,-2.14,-1.07,0.42,2.6,0.85,5.2,3,1556,823,0,2,34.45,-0.09,0.81,2.27,1.34,748,1,13
TRXUSDT,-1,2021-02-16 22:00,2021-02-16 23:00,0.05062,0.051632,SL,5,-2.14,-1.07,0.25,1.15,0.49,2.29,3,172,183,0,2,11.2,-0.12,0.88,0.37,1.25,263,-1,22
SOLUSDT,1,2021-02-22 17:45,2021-02-22 18:00,11.7115,11.47727,SL,2,-2.14,-1.07,0.48,1.47,0.96,2.93,1,395,310,0,0,9.09,-2.94,2.08,2.08,2.82,334,1,17
AVAXUSDT,-1,2021-02-25 23:00,2021-02-25 23:15,27.3963,27.944226,SL,2,-2.14,-1.07,0.15,1.03,0.3,2.06,1,451,390,0,0,15.68,-1.76,0.86,0.86,2.08,394,-1,23
SOLUSDT,1,2021-03-08 19:00,2021-03-09 00:30,13.7314,13.456772,SL,23,-2.14,-1.07,0.16,1.13,0.31,2.27,4,167,227,0,3,12.34,-0.8,0.89,1.19,0.73,251,1,19
ADAUSDT,-1,2021-03-08 19:15,2021-03-09 02:45,1.11765,1.140003,SL,31,-2.14,-1.07,0.58,1.22,1.16,2.44,3,423,41,0,2,13.28,-0.47,0.59,0.57,0.47,416,-1,19
