symbol,S,time,pnl,exitType,fastCycleLen,entryVsZone,pullDepth
IMXUSDT,-1,1645921800,1.9,TP,1,1.44,-3.57
IMXUSDT,1,1646973000,1.9,TP,2,12.51,-0.56
IMXUSDT,1,1648429200,1.9,TP,4,2.88,0
IMXUSDT,1,1648973700,1.9,TP,3,6.81,-0.3
IMXUSDT,1,1649129400,-2.1,SL,4,7.99,-0.3
IMXUSDT,-1,1649952000,1.9,TP,1,0.89,-1.21
IMXUSDT,-1,1650235500,1.9,TP,1,2.95,-2.65
IMXUSDT,-1,1650980700,1.9,TP,1,4.47,-3.72
IMXUSDT,-1,1651209300,1.9,TP,4,4.6,0.26
IMXUSDT,-1,1652509800,1.9,TP,3,11.12,-0.14
IMXUSDT,-1,1654868700,-2.1,SL,1,4.19,-2.43
IMXUSDT,1,1655987400,-2.1,SL,3,1.44,-0.01
IMXUSDT,-1,1660733100,1.9,TP,1,1.08,-1.72
IMXUSDT,-1,1662380100,-2.1,SL,4,0.34,-0.23
IMXUSDT,-1,1663537500,1.9,TP,1,3.11,-3.04
IMXUSDT,-1,1665387900,1.9,TP,1,5.36,-2.55
IMXUSDT,-1,1666626300,1.9,TP,1,2.76,-2.01
IMXUSDT,1,1666972800,-2.1,SL,1,5.36,-5.35
IMXUSDT,-1,1670608800,-1.059,TIMEOUT,2,1.81,-1.31
IMXUSDT,-1,1670798700,1.9,TP,1,3.53,-3.06
IMXUSDT,-1,1671830100,1.9,TP,2,2.22,-0.32
IMXUSDT,-1,1672113600,1.9,TP,1,4.09,-1.71
IMXUSDT,1,1672796700,1.9,TP,1,6.75,-3.34
IMXUSDT,1,1673025300,1.9,TP,1,5.67,-2.43
IMXUSDT,1,1673484300,-2.1,SL,1,19.82,-4.22
IMXUSDT,1,1674395100,1.9,TP,1,16.52,-2.45
IMXUSDT,1,1675282500,1.9,TP,1,5.92,-4.27
IMXUSDT,1,1677982500,-2.1,SL,1,0.21,-2.72
IMXUSDT,1,1679020200,1.9,TP,1,3.84,-2.17
IMXUSDT,-1,1679896800,1.9,TP,2,10.38,-0.5
IMXUSDT,1,1681303500,1.9,TP,1,2.27,-2.06
IMXUSDT,-1,1681891200,1.9,TP,1,4.04,-4.14
IMXUSDT,-1,1682267400,1.9,TP,3,0.35,0.12
IMXUSDT,1,1682598600,1.9,TP,4,1.91,-0.65
IMXUSDT,-1,1683775800,1.9,TP,1,3.48,-2.34
IMXUSDT,-1,1685083500,-2.1,SL,2,-0.78,0.39
IMXUSDT,1,1685869200,1.9,TP,1,8.55,-4.27
IMXUSDT,-1,1686366000,1.9,TP,1,2.54,-1.22
IMXUSDT,1,1687115700,-2.1,SL,2,0.04,0.07
IMXUSDT,-1,1689107400,1.9,TP,2,0.32,-0.22
IMXUSDT,1,1689579900,-2.1,SL,3,1.48,-0.27
IMXUSDT,1,1690677900,-2.1,SL,1,4.25,-3.37
IMXUSDT,1,1690848000,-2.1,SL,2,1.21,-0.67
IMXUSDT,-1,1692123300,1.9,TP,1,3.43,-2.86
IMXUSDT,-1,1693292400,-2.1,SL,1,5.4,-2.03
IMXUSDT,-1,1695717000,1.9,TP,1,4.9,-2.64
IMXUSDT,-1,1696746600,1.9,TP,4,1.96,-1.21
IMXUSDT,1,1699029900,1.9,TP,2,2.29,-0.78
IMXUSDT,1,1702659600,1.9,TP,1,7.51,-1.34
IMXUSDT,1,1703061900,1.9,TP,1,0.75,-1.45
IMXUSDT,-1,1704666600,1.9,TP,1,1.65,-2.2
IMXUSDT,-1,1704804300,1.9,TP,1,2.03,-2.86
IMXUSDT,1,1706526000,-2.1,SL,3,11.49,-0.31
IMXUSDT,1,1707129900,1.9,TP,1,7.6,-2.31
