symbol,S,pnl,win,exitType,hold,fastCycleLen,slowAge,confLag,pullLag,pullDepth,entryVsZone,volConfirm,volEntry,atrPct,zoneWidth,zoneAge,zoneMerged,slowStrength,moveFromFlip,emaSlope,hour,rangePct
IMXUSDT,1,1.9,1,TP,1,7,6,4,2,-0.06,-0.11,2.7,0.76,6.48,1.92,0,0,21.34,0.76,1,5,1.76
IMXUSDT,-1,1.9,1,TP,9,10,216,0,9,-0.15,1.4,0.7,0.78,1.02,0.57,205,0,2.98,0.06,-1,3,0.81
IMXUSDT,-1,-2.1,0,SL,3,7,384,0,6,0.19,5.29,0.81,2.04,1.75,0.23,147,0,3.92,-2.85,-1,14,3.4
IMXUSDT,-1,1.9,1,TP,2,1,905,0,0,-3.57,1.44,1.63,1.63,0.99,1.91,120,1,0.59,0,-1,0,0.85
IMXUSDT,-1,-2.1,0,SL,6,16,999,0,15,-0.09,3.44,0.58,1.89,1.26,1.97,199,1,3.79,-1.12,-1,0,1.58
IMXUSDT,1,-2.1,0,SL,2,6,189,0,5,-0.2,11.54,3.04,1.57,2.58,0.47,188,0,6.58,-6.27,1,13,3.36
IMXUSDT,1,1.9,1,TP,5,2,346,0,1,-0.56,12.51,1.55,1.2,2.22,0.48,349,0,3.66,1.32,1,4,1.95
IMXUSDT,-1,1.9,1,TP,19,13,391,0,12,-0.22,3.4,1.33,1.52,0.92,0.79,110,0,2.85,0.14,-1,5,0.93
IMXUSDT,1,-2.1,0,SL,2,5,199,0,4,-0.5,11.87,2.67,0.9,2.26,0.56,412,0,6.51,-0.81,1,6,1.94
IMXUSDT,1,1.9,1,TP,3,4,849,0,3,0,2.88,1.22,1.28,1.03,0.55,122,0,2.81,-2.1,1,1,1.12
IMXUSDT,1,1.9,1,TP,4,3,97,0,2,-0.3,6.81,0.69,0.93,1.27,0.94,171,0,2.44,-0.87,1,8,0.97
IMXUSDT,1,-2.1,0,SL,13,4,270,0,3,-0.3,7.99,0.74,0.83,0.91,0.96,343,0,1.14,-0.62,1,3,1.09
IMXUSDT,-1,-2.1,0,SL,2,7,277,0,6,0.07,0.84,0.93,2.16,1.2,1.27,102,0,3.22,-0.89,-1,14,2.48
IMXUSDT,-1,1.9,1,TP,2,9,514,0,8,-0.31,3.68,2.01,0.65,1.1,0.52,7,0,2.18,-0.85,-1,1,1.01
IMXUSDT,-1,-2.1,0,SL,2,5,755,0,4,0.76,1.37,1.19,1.8,1.04,0.59,31,0,2.93,-2.41,-1,13,1.81
IMXUSDT,-1,1.9,1,TP,15,1,861,0,0,-1.21,0.89,2.25,2.25,1.21,0.59,141,0,1.4,0,-1,16,1.81
IMXUSDT,-1,1.9,1,TP,2,1,1176,0,0,-2.65,2.95,2.19,2.19,0.76,0.44,1,0,0.78,0,-1,22,1.14
IMXUSDT,1,1.9,1,TP,3,10,185,0,9,-0.49,6.46,2.42,0.94,1.29,0.91,122,0,3.71,-0.13,1,2,1.23
IMXUSDT,-1,1.9,1,TP,8,16,199,0,15,-0.31,5.48,0.39,1.66,0.91,1.05,453,0,2.49,1.12,-1,14,1.17
IMXUSDT,-1,1.9,1,TP,8,1,387,0,0,-3.72,4.47,2.8,2.8,1.02,0.53,12,0,0.64,0,-1,13,1.7
IMXUSDT,-1,1.9,1,TP,15,4,641,0,3,0.26,4.6,0.33,1.09,0.97,0.53,263,0,2.84,-0.82,-1,5,1.28
IMXUSDT,1,1.9,1,TP,3,14,40,0,13,0.49,6.81,2.07,0.96,1.57,0.6,206,0,4.5,0.43,1,14,1.56
IMXUSDT,-1,1.9,1,TP,7,3,812,0,2,-0.14,11.12,0.58,1.19,2.11,4.17,262,0,6.44,-1.13,-1,6,2.42
IMXUSDT,-1,-2.1,0,SL,13,12,153,0,11,0,1.18,1.71,0.57,1.66,2.04,207,0,4.1,-2.45,-1,19,1.12
IMXUSDT,-1,-2.1,0,SL,2,1,203,0,0,-2.43,4.19,2.2,2.2,1.87,1.12,105,0,3,0,-1,13,3.8
IMXUSDT,-1,-2.1,0,SL,1,7,772,0,6,-0.16,-0.09,1.18,1.33,1.74,2.25,246,0,1.19,-3.57,-1,12,1.78
IMXUSDT,1,-2.1,0,SL,5,3,338,0,2,-0.01,1.44,1.07,1.02,1.22,2.03,231,0,3.62,-0.87,1,12,1.8
IMXUSDT,1,1.9,1,TP,17,5,606,0,4,0,5.35,1.66,1.38,0.94,1.14,176,0,2.75,-0.85,1,7,1.01
IMXUSDT,1,1.9,1,TP,45,11,171,0,10,-0.37,1.39,2.17,1.47,0.91,0.64,2,0,2.64,-1.81,1,19,1.07
IMXUSDT,-1,-2.1,0,SL,37,15,158,0,14,-2.8,2.65,1.5,2.15,0.94,0.22,208,0,2.64,1.38,-1,19,2.91
IMXUSDT,1,1.9,1,TP,22,9,180,0,8,0.32,0.54,1.45,1.44,0.95,0.45,60,0,2.86,-0.63,1,0,1.17
IMXUSDT,1,-2.1,0,SL,57,12,171,0,11,0.27,2.44,1.51,1.43,0.62,0.77,199,0,1.81,-0.49,1,4,0.75
IMXUSDT,-1,1.9,1,TP,5,1,259,0,0,-1.72,1.08,1.72,1.72,0.67,0.35,67,0,1.91,0,-1,10,0.7
IMXUSDT,-1,-2.1,0,SL,56,13,737,0,12,0.18,4.3,1.21,0.66,0.92,1.17,291,0,2.71,-0.15,-1,10,0.92
IMXUSDT,-1,1.9,1,TP,9,15,1115,0,14,0.23,4.26,6.54,0.96,0.73,1.16,667,0,1.15,-1.53,-1,8,0.66
IMXUSDT,-1,-2.1,0,SL,15,9,1377,0,8,0.63,1.54,1.2,0.67,0.86,0.38,199,0,2.46,-1.9,-1,2,0.96
IMXUSDT,1,-2.1,0,SL,13,9,168,0,8,-0.53,11.42,0.62,0.96,0.71,0.84,190,0,2.12,0.12,1,5,0.57
IMXUSDT,1,-2.1,0,SL,11,7,406,0,6,0.21,6.12,0.53,0.8,0.81,0.86,430,0,0.34,-0.73,1,16,1.05
IMXUSDT,-1,-2.1,0,SL,42,4,174,0,3,-0.23,0.34,0.51,1.02,0.57,0.8,6,1,0.44,-0.24,-1,12,0.73
IMXUSDT,1,1.9,1,TP,42,6,3,0,5,0.29,1.77,1.63,0.72,0.84,0.78,58,1,2.19,-1.26,1,1,0.98
IMXUSDT,-1,1.9,1,TP,2,1,498,0,0,-3.04,3.11,0.85,0.85,1.32,1.04,18,1,0.66,0,-1,21,1.22
IMXUSDT,-1,1.9,1,TP,34,9,737,0,8,-0.03,0.9,0.55,0.91,0.62,0.44,51,0,1.93,-0.59,-1,9,0.64
IMXUSDT,1,-2.1,0,SL,8,4,122,0,3,0.55,1.21,0.58,1.11,0.54,0.14,43,0,1.12,-0.6,1,21,0.71
IMXUSDT,1,1.9,1,TP,87,7,196,0,6,-0.05,1.91,2.23,0.52,0.63,0.14,114,0,1.32,-0.44,1,15,0.47
IMXUSDT,-1,1.9,1,TP,2,1,322,0,0,-2.55,5.36,1.15,1.15,0.32,0.15,57,0,0.68,0,-1,7,0.39
IMXUSDT,-1,1.9,1,TP,5,6,726,0,5,1.77,1.71,2.44,2.76,0.45,0.3,136,0,1.13,-1.67,-1,12,1.46
IMXUSDT,-1,1.9,1,TP,32,1,540,0,0,-2.01,2.76,1.46,1.46,0.61,0.47,9,0,0.29,0,-1,15,0.53
