symbol,t,sig10,vsr10Active,vsr10Age,pos10,last10,trend,closeVsEma,emaSlope,closeVsVwap,volRatio,zone20
BNBUSDT,200,1.39,1,39,0,NONE,-1,BELOW,FALLING,BELOW,0.92,0
BNBUSDT,204,0.5,1,43,0,NONE,-1,BELOW,FALLING,ABOVE,0.63,0
BNBUSDT,208,0.16,1,47,0,NONE,-1,BELOW,FALLING,ABOVE,0.6,0
BNBUSDT,212,0.15,1,51,0,NONE,-1,BELOW,FALLING,BELOW,1.07,0
BNBUSDT,216,2.19,1,55,0,NONE,-1,BELOW,FALLING,BELOW,3.36,0
BNBUSDT,220,0.01,1,59,0,NONE,-1,BELOW,FALLING,BELOW,0.93,0
BNBUSDT,224,0.31,1,63,0,NONE,-1,BELOW,FALLING,BELOW,0.65,0
BNBUSDT,228,0.87,1,67,0,NONE,-1,BELOW,FALLING,BELOW,0.4,0
BNBUSDT,232,3.5,1,71,0,NONE,-1,BELOW,FALLING,BELOW,0.81,0
BNBUSDT,236,2.47,1,75,0,NONE,-1,BELOW,FALLING,BELOW,2.88,0
BNBUSDT,240,0.26,1,79,0,NONE,-1,BELOW,FALLING,BELOW,1.09,0
BNBUSDT,244,1.23,1,83,0,NONE,-1,BELOW,FALLING,BELOW,0.42,0
BNBUSDT,248,0.12,1,87,0,NONE,-1,BELOW,FALLING,BELOW,0.62,0
BNBUSDT,252,0.36,1,91,0,NONE,-1,BELOW,FALLING,BELOW,0.64,0
BNBUSDT,256,1.7,1,95,0,NONE,-1,BELOW,FALLING,BELOW,0.45,0
BNBUSDT,260,0.05,1,99,0,NONE,-1,BELOW,FALLING,BELOW,1.09,0
BNBUSDT,264,1.03,1,103,0,NONE,-1,ABOVE,RISING,BELOW,0.5,0
BNBUSDT,268,0.12,1,107,0,NONE,-1,BELOW,FALLING,BELOW,0.91,0
BNBUSDT,272,1.17,1,111,0,NONE,-1,BELOW,FALLING,BELOW,0.91,0
BNBUSDT,276,0.33,1,115,0,NONE,-1,BELOW,FALLING,BELOW,0.47,0
BNBUSDT,280,0.24,1,119,0,NONE,-1,BELOW,FALLING,BELOW,0.83,0
BNBUSDT,284,0.44,1,123,0,NONE,-1,ABOVE,RISING,BELOW,0.76,0
BNBUSDT,288,0.26,1,127,0,NONE,-1,ABOVE,RISING,BELOW,0.58,0
BNBUSDT,292,0.32,1,131,0,NONE,-1,ABOVE,RISING,BELOW,0.3,0
BNBUSDT,296,0.24,1,135,0,NONE,-1,ABOVE,RISING,BELOW,0.68,0
BNBUSDT,300,2.3,1,139,0,NONE,-1,ABOVE,RISING,ABOVE,1.44,0
BNBUSDT,304,0.03,1,143,0,NONE,-1,ABOVE,RISING,ABOVE,0.84,0
BNBUSDT,308,2.39,1,147,0,NONE,-1,ABOVE,RISING,BELOW,1.68,0
BNBUSDT,312,0.16,1,151,0,NONE,-1,ABOVE,RISING,ABOVE,0.77,0
BNBUSDT,316,1.2,1,155,0,NONE,-1,ABOVE,RISING,ABOVE,0.73,0
BNBUSDT,320,1.18,1,159,0,NONE,-1,ABOVE,RISING,ABOVE,0.46,0
BNBUSDT,324,1.12,1,163,0,NONE,-1,ABOVE,RISING,ABOVE,0.56,0
BNBUSDT,328,0.71,1,167,0,NONE,-1,BELOW,FALLING,BELOW,0.7,0
BNBUSDT,332,0.05,1,171,0,NONE,-1,BELOW,FALLING,BELOW,1.84,0
BNBUSDT,336,0.68,1,175,0,NONE,-1,BELOW,FALLING,BELOW,1.07,0
BNBUSDT,340,0.03,1,179,0,NONE,-1,BELOW,FALLING,BELOW,0.8,0
BNBUSDT,344,0.64,1,183,0,NONE,-1,BELOW,FALLING,BELOW,0.78,0
BNBUSDT,348,3.75,1,187,0,NONE,-1,ABOVE,RISING,BELOW,0.93,0
BNBUSDT,352,0.22,1,191,0,NONE,-1,ABOVE,RISING,BELOW,0.55,0
BNBUSDT,356,1.15,1,195,0,NONE,-1,ABOVE,FALLING,BELOW,1.29,0
BNBUSDT,360,1.89,1,199,0,NONE,-1,BELOW,FALLING,BELOW,1.57,0
BNBUSDT,364,1.01,1,203,0,NONE,-1,BELOW,FALLING,BELOW,0.53,0
BNBUSDT,368,0.73,1,207,0,NONE,-1,BELOW,RISING,BELOW,0.37,0
BNBUSDT,372,0.19,1,211,0,NONE,-1,ABOVE,RISING,ABOVE,0.59,0
BNBUSDT,376,0.21,1,215,0,NONE,-1,ABOVE,RISING,ABOVE,0.7,0
BNBUSDT,380,0.33,1,219,0,NONE,-1,ABOVE,RISING,ABOVE,0.56,0
BNBUSDT,384,1.46,1,223,0,NONE,-1,ABOVE,RISING,ABOVE,1.53,0
BNBUSDT,388,0.46,1,227,0,NONE,-1,ABOVE,RISING,ABOVE,1.16,0
BNBUSDT,392,0.14,1,231,0,NONE,-1,ABOVE,RISING,ABOVE,1.11,0
BNBUSDT,396,0.12,1,235,0,NONE,-1,ABOVE,RISING,ABOVE,0.82,0
BNBUSDT,400,0.58,1,239,0,NONE,1,ABOVE,RISING,BELOW,0.85,0
BNBUSDT,404,0.57,1,243,0,NONE,1,ABOVE,RISING,BELOW,0.54,0
BNBUSDT,408,0.11,1,247,0,NONE,1,BELOW,FALLING,BELOW,0.47,0
BNBUSDT,412,0.05,1,251,0,NONE,1,BELOW,FALLING,BELOW,1.11,0
BNBUSDT,416,0.57,1,255,0,NONE,1,BELOW,FALLING,BELOW,0.69,0
BNBUSDT,420,0.53,1,259,0,NONE,1,BELOW,FALLING,BELOW,0.52,0
BNBUSDT,424,0.55,1,263,0,NONE,1,ABOVE,RISING,BELOW,1,0
BNBUSDT,428,0.66,1,267,0,NONE,1,BELOW,FALLING,BELOW,0.86,0
BNBUSDT,432,0.6,1,271,0,NONE,1,BELOW,FALLING,BELOW,0.72,0
BNBUSDT,436,0.38,1,275,0,NONE,1,ABOVE,RISING,ABOVE,2.55,0
BNBUSDT,440,3.12,1,279,0,NONE,1,ABOVE,RISING,ABOVE,2.11,0
BNBUSDT,444,0.12,1,283,0,NONE,1,ABOVE,RISING,ABOVE,1.34,0
BNBUSDT,448,0.59,1,287,0,NONE,1,ABOVE,RISING,ABOVE,1.73,0
BNBUSDT,452,0.2,1,291,0,NONE,1,ABOVE,RISING,ABOVE,2.93,0
BNBUSDT,456,0.02,1,295,0,NONE,1,ABOVE,RISING,ABOVE,1.13,0
BNBUSDT,460,0.95,1,299,0,NONE,1,ABOVE,RISING,ABOVE,0.78,0
BNBUSDT,464,0.85,1,303,0,NONE,1,ABOVE,RISING,ABOVE,0.41,0
BNBUSDT,468,0.08,1,307,0,NONE,1,ABOVE,RISING,ABOVE,0.41,0
BNBUSDT,472,0.23,1,311,0,NONE,1,ABOVE,RISING,ABOVE,0.53,0
BNBUSDT,476,0.63,1,315,0,NONE,1,BELOW,RISING,ABOVE,0.49,0
BNBUSDT,480,0.51,1,319,0,NONE,1,BELOW,FALLING,ABOVE,0.91,0
BNBUSDT,484,0.7,1,323,0,NONE,1,ABOVE,FALLING,ABOVE,1.06,0
BNBUSDT,488,0.17,1,327,0,NONE,1,BELOW,FALLING,ABOVE,0.87,0
BNBUSDT,492,0.16,1,331,0,NONE,1,ABOVE,RISING,ABOVE,2.63,0
BNBUSDT,496,0.5,1,335,0,NONE,1,BELOW,FALLING,BELOW,1.11,0
BNBUSDT,500,0.53,1,339,0,NONE,1,ABOVE,FALLING,BELOW,0.35,0
BNBUSDT,504,1.37,1,343,0,NONE,1,ABOVE,RISING,ABOVE,0.86,0
BNBUSDT,508,1.05,1,347,0,NONE,1,BELOW,RISING,BELOW,0.46,0
