symbol,t,sig10,vsr10Active,vsr10Age,pos10,last10,trend,closeVsEma,emaSlope,closeVsVwap,volRatio,zone20
ETHUSDT,200,1.56,1,110,0,NONE,-1,BELOW,FALLING,BELOW,0.83,0
ETHUSDT,204,0.07,1,114,0,NONE,-1,BELOW,FALLING,ABOVE,0.62,0
ETHUSDT,208,0.32,1,118,0,NONE,-1,BELOW,FALLING,ABOVE,0.5,0
ETHUSDT,212,0.38,1,122,0,NONE,-1,BELOW,FALLING,BELOW,1.04,0
ETHUSDT,216,4.46,1,126,0,NONE,-1,BELOW,FALLING,BELOW,7.46,0
ETHUSDT,220,0.14,1,130,0,NONE,-1,BELOW,FALLING,BELOW,1,0
ETHUSDT,224,0.21,1,134,0,NONE,-1,BELOW,FALLING,BELOW,0.46,0
ETHUSDT,228,0.87,1,138,0,NONE,-1,BELOW,FALLING,BELOW,0.28,0
ETHUSDT,232,8.11,1,142,0,NONE,-1,BELOW,FALLING,BELOW,1.29,0
ETHUSDT,236,1.3,1,146,0,NONE,-1,BELOW,FALLING,BELOW,3.64,0
ETHUSDT,240,0.02,1,150,0,NONE,-1,BELOW,FALLING,BELOW,0.9,0
ETHUSDT,244,0.78,1,154,0,NONE,-1,BELOW,FALLING,BELOW,0.37,0
ETHUSDT,248,1.32,1,158,0,NONE,-1,BELOW,RISING,BELOW,0.39,0
ETHUSDT,252,0.55,1,162,0,NONE,-1,ABOVE,RISING,ABOVE,0.57,0
ETHUSDT,256,0.05,1,166,0,NONE,-1,ABOVE,RISING,BELOW,0.39,0
ETHUSDT,260,1.03,1,170,0,NONE,-1,BELOW,FALLING,BELOW,0.75,0
ETHUSDT,264,0.96,1,174,0,NONE,-1,BELOW,RISING,BELOW,0.56,0
ETHUSDT,268,0.17,1,178,0,NONE,-1,BELOW,FALLING,BELOW,0.76,0
ETHUSDT,272,0.54,1,182,0,NONE,-1,BELOW,FALLING,BELOW,1.08,0
ETHUSDT,276,0.17,1,186,0,NONE,-1,BELOW,FALLING,BELOW,0.53,0
ETHUSDT,280,0.4,1,190,0,NONE,-1,BELOW,FALLING,BELOW,0.7,0
ETHUSDT,284,0.7,1,194,0,NONE,-1,ABOVE,RISING,ABOVE,1.18,0
ETHUSDT,288,1.08,1,198,0,NONE,-1,ABOVE,RISING,ABOVE,0.41,0
ETHUSDT,292,1.05,1,202,0,NONE,-1,ABOVE,RISING,ABOVE,0.39,0
ETHUSDT,296,0.86,1,206,0,NONE,-1,ABOVE,RISING,ABOVE,0.41,0
ETHUSDT,300,5.2,1,210,0,NONE,-1,ABOVE,RISING,ABOVE,1.32,0
ETHUSDT,304,0.14,1,214,0,NONE,-1,ABOVE,RISING,ABOVE,0.87,0
ETHUSDT,308,0.73,1,218,0,NONE,-1,BELOW,RISING,BELOW,1.36,0
ETHUSDT,312,0.27,1,222,0,NONE,-1,ABOVE,RISING,BELOW,0.76,0
ETHUSDT,316,0.45,1,226,0,NONE,-1,ABOVE,RISING,BELOW,0.57,0
ETHUSDT,320,1.31,1,230,0,NONE,1,ABOVE,RISING,ABOVE,0.48,0
ETHUSDT,324,0.11,1,234,0,NONE,1,ABOVE,RISING,ABOVE,0.48,0
ETHUSDT,328,0.12,1,238,0,NONE,1,BELOW,FALLING,BELOW,0.89,0
ETHUSDT,332,0.17,1,242,0,NONE,1,BELOW,FALLING,BELOW,2.05,0
ETHUSDT,336,0.94,1,246,0,NONE,1,BELOW,FALLING,BELOW,1.15,0
ETHUSDT,340,0.46,1,250,0,NONE,1,BELOW,FALLING,BELOW,0.57,0
ETHUSDT,344,0.37,1,254,0,NONE,-1,BELOW,FALLING,BELOW,0.67,0
ETHUSDT,348,0.7,1,258,0,NONE,-1,ABOVE,FALLING,BELOW,0.74,0
ETHUSDT,352,0.87,1,262,0,NONE,-1,ABOVE,RISING,BELOW,0.51,0
ETHUSDT,356,1.13,1,266,0,NONE,-1,ABOVE,FALLING,BELOW,1.59,0
ETHUSDT,360,3.08,1,270,0,NONE,-1,BELOW,FALLING,BELOW,2.38,0
ETHUSDT,364,0.07,1,274,0,NONE,-1,BELOW,FALLING,BELOW,1.03,0
ETHUSDT,368,0.34,1,278,0,NONE,-1,BELOW,FALLING,BELOW,0.33,0
ETHUSDT,372,0.87,1,282,0,NONE,-1,ABOVE,RISING,BELOW,0.4,0
ETHUSDT,376,0.46,1,286,0,NONE,-1,BELOW,FALLING,BELOW,0.39,0
ETHUSDT,380,0.43,1,2,1,NONE,-1,ABOVE,RISING,ABOVE,0.76,0
ETHUSDT,384,1.25,1,6,1,NONE,-1,ABOVE,RISING,BELOW,1.78,0
ETHUSDT,388,0.21,1,10,1,NONE,-1,ABOVE,RISING,ABOVE,0.87,0
ETHUSDT,392,0.05,1,14,1,NONE,-1,ABOVE,RISING,ABOVE,0.84,0
ETHUSDT,396,0.67,1,18,1,NONE,-1,ABOVE,RISING,ABOVE,0.34,0
ETHUSDT,400,0.35,1,22,1,NONE,-1,ABOVE,RISING,ABOVE,0.82,0
ETHUSDT,404,0.77,1,26,1,NONE,1,BELOW,RISING,BELOW,0.79,0
ETHUSDT,408,0.64,1,30,1,NONE,1,BELOW,FALLING,BELOW,0.51,0
ETHUSDT,412,0.71,1,34,1,NONE,1,BELOW,FALLING,BELOW,0.93,0
ETHUSDT,416,0.53,1,38,1,NONE,1,BELOW,FALLING,BELOW,0.74,0
ETHUSDT,420,0.03,1,42,1,NONE,1,BELOW,FALLING,BELOW,0.73,0
ETHUSDT,424,3.05,1,46,1,NONE,1,ABOVE,RISING,ABOVE,0.86,0
ETHUSDT,428,1.09,1,50,1,NONE,1,BELOW,FALLING,BELOW,1.28,0
ETHUSDT,432,0.82,1,54,1,BOUNCE,1,BELOW,FALLING,BELOW,0.69,0
ETHUSDT,436,0.15,1,58,1,BOUNCE,1,ABOVE,RISING,ABOVE,2.22,0
ETHUSDT,440,1.92,1,62,1,BOUNCE,1,ABOVE,RISING,ABOVE,1.26,0
ETHUSDT,444,0.34,1,66,1,BOUNCE,1,ABOVE,RISING,ABOVE,0.85,0
ETHUSDT,448,2.44,1,70,1,BOUNCE,1,ABOVE,RISING,ABOVE,2.55,0
ETHUSDT,452,0.2,1,74,1,BOUNCE,1,ABOVE,RISING,ABOVE,0.94,0
ETHUSDT,456,0.87,1,78,1,NONE,1,ABOVE,RISING,ABOVE,0.66,0
ETHUSDT,460,0.52,1,82,1,NONE,1,ABOVE,RISING,ABOVE,0.91,0
ETHUSDT,464,0.01,1,86,1,NONE,1,ABOVE,RISING,ABOVE,0.73,0
ETHUSDT,468,0.35,1,90,1,NONE,1,ABOVE,RISING,ABOVE,0.74,0
ETHUSDT,472,0.26,1,94,1,NONE,1,ABOVE,RISING,ABOVE,0.66,0
ETHUSDT,476,2.41,1,98,1,NONE,1,ABOVE,RISING,ABOVE,0.43,0
ETHUSDT,480,0.38,1,102,1,NONE,1,ABOVE,RISING,ABOVE,0.45,0
ETHUSDT,484,1.93,1,106,1,NONE,1,ABOVE,RISING,ABOVE,1.02,0
ETHUSDT,488,0.32,1,110,1,NONE,1,BELOW,RISING,ABOVE,0.83,0
ETHUSDT,492,0.65,1,114,1,NONE,1,BELOW,FALLING,ABOVE,0.85,0
ETHUSDT,496,0.19,1,118,1,NONE,1,BELOW,FALLING,BELOW,1.02,0
ETHUSDT,500,0.58,1,122,1,NONE,1,BELOW,FALLING,ABOVE,0.47,0
ETHUSDT,504,0.38,1,126,1,NONE,1,ABOVE,RISING,ABOVE,0.9,0
