symbol,t,sig10,vsr10Active,vsr10Age,pos10,last10,trend,closeVsEma,emaSlope,closeVsVwap,volRatio,zone20
LINKUSDT,200,1.22,1,88,0,NONE,-1,BELOW,FALLING,BELOW,0.85,0
LINKUSDT,204,0.97,1,92,0,NONE,-1,BELOW,FALLING,ABOVE,0.82,0
LINKUSDT,208,0.14,1,96,0,NONE,-1,BELOW,FALLING,ABOVE,0.47,0
LINKUSDT,212,0.62,1,100,0,NONE,-1,BELOW,FALLING,BELOW,1.41,0
LINKUSDT,216,2.02,1,104,0,NONE,-1,BELOW,FALLING,BELOW,7.01,0
LINKUSDT,220,0.28,1,108,0,NONE,-1,BELOW,FALLING,BELOW,1.06,0
LINKUSDT,224,0.12,1,112,0,NONE,-1,BELOW,FALLING,BELOW,0.48,0
LINKUSDT,228,0.52,1,116,0,NONE,-1,BELOW,FALLING,BELOW,0.43,0
LINKUSDT,232,11.45,1,0,0,NONE,-1,BELOW,FALLING,BELOW,0.91,0
LINKUSDT,236,2.39,1,4,0,NONE,-1,BELOW,FALLING,BELOW,2.52,0
LINKUSDT,240,0.23,1,8,0,NONE,-1,BELOW,FALLING,BELOW,0.78,0
LINKUSDT,244,0.14,1,12,0,NONE,-1,BELOW,FALLING,BELOW,0.5,0
LINKUSDT,248,0.56,1,16,0,BOUNCE,-1,ABOVE,RISING,BELOW,0.71,0
LINKUSDT,252,0.9,1,20,0,BOUNCE,-1,ABOVE,RISING,ABOVE,0.48,0
LINKUSDT,256,0.48,1,24,0,BOUNCE,-1,BELOW,FALLING,BELOW,0.32,0
LINKUSDT,260,0.81,1,28,0,BOUNCE,-1,BELOW,FALLING,BELOW,0.89,0
LINKUSDT,264,0.84,1,32,0,BOUNCE,-1,BELOW,FALLING,BELOW,0.5,0
LINKUSDT,268,0.33,1,36,0,BOUNCE,-1,BELOW,FALLING,BELOW,1.09,0
LINKUSDT,272,0.36,1,40,0,NONE,-1,BELOW,FALLING,BELOW,1.19,0
LINKUSDT,276,1.11,1,44,0,NONE,-1,ABOVE,FALLING,BELOW,0.69,0
LINKUSDT,280,0.5,1,48,0,NONE,-1,BELOW,FALLING,BELOW,0.53,0
LINKUSDT,284,2.34,1,52,0,NONE,-1,ABOVE,RISING,ABOVE,1.64,0
LINKUSDT,288,0.28,1,56,0,NONE,-1,ABOVE,RISING,ABOVE,0.5,0
LINKUSDT,292,1.63,1,60,0.246,NONE,-1,ABOVE,RISING,ABOVE,1.31,0
LINKUSDT,296,1.04,1,64,0,NONE,-1,ABOVE,RISING,ABOVE,0.3,0
LINKUSDT,300,4.42,1,68,0,NONE,-1,ABOVE,RISING,ABOVE,1.4,0
LINKUSDT,304,0.32,1,72,0.994,NONE,-1,ABOVE,RISING,ABOVE,0.58,0
LINKUSDT,308,0.42,1,76,0,NONE,1,BELOW,RISING,BELOW,0.87,0
LINKUSDT,312,0.92,1,80,0,NONE,1,BELOW,RISING,BELOW,0.54,0
LINKUSDT,316,2.9,1,84,0,NONE,1,BELOW,RISING,BELOW,0.92,0
