symbol,t,sig10,vsr10Active,vsr10Age,pos10,last10,trend,closeVsEma,emaSlope,closeVsVwap,volRatio,zone20
XRPUSDT,200,0.94,1,136,1,NONE,-1,BELOW,FALLING,BELOW,0.94,0
XRPUSDT,204,0,1,140,1,NONE,-1,ABOVE,RISING,ABOVE,0.59,0
XRPUSDT,208,0.11,1,144,1,NONE,-1,ABOVE,FALLING,ABOVE,0.44,0
XRPUSDT,212,0.56,1,148,1,NONE,-1,BELOW,FALLING,BELOW,1.01,0
XRPUSDT,216,2.39,1,152,0,NONE,-1,BELOW,FALLING,BELOW,4.39,0
XRPUSDT,220,0.34,1,156,0,NONE,-1,BELOW,FALLING,BELOW,1.15,0
XRPUSDT,224,0.15,1,160,0,NONE,-1,BELOW,FALLING,BELOW,0.55,0
XRPUSDT,228,1.68,1,164,0,NONE,-1,BELOW,FALLING,BELOW,0.38,0
XRPUSDT,232,16.92,1,0,0,NONE,-1,BELOW,FALLING,BELOW,2.72,0
XRPUSDT,236,0.47,1,4,0,NONE,-1,BELOW,FALLING,BELOW,2.36,0
XRPUSDT,240,0.18,1,8,0,NONE,-1,BELOW,FALLING,BELOW,0.97,0
XRPUSDT,244,1.2,1,12,0,NONE,-1,BELOW,FALLING,BELOW,0.54,0
XRPUSDT,248,0.36,1,16,0,BOUNCE,-1,BELOW,RISING,BELOW,0.77,0
XRPUSDT,252,0.08,1,20,0.103,BOUNCE,-1,ABOVE,RISING,BELOW,0.43,0
XRPUSDT,256,0.82,1,24,0,BOUNCE,-1,BELOW,RISING,BELOW,0.5,0
XRPUSDT,260,1,1,28,0,BOUNCE,-1,BELOW,FALLING,BELOW,0.69,0
XRPUSDT,264,1.05,1,32,0,BOUNCE,-1,BELOW,RISING,BELOW,0.64,0
XRPUSDT,268,1.36,1,36,0,BOUNCE,-1,BELOW,FALLING,BELOW,1.56,0
XRPUSDT,272,1.01,1,40,0,NONE,-1,BELOW,FALLING,BELOW,0.95,0
XRPUSDT,276,0.76,1,44,0,NONE,-1,BELOW,FALLING,BELOW,0.37,0
XRPUSDT,280,0.27,1,48,0,NONE,-1,BELOW,FALLING,BELOW,0.66,0
XRPUSDT,284,0.2,1,52,0.022,NONE,-1,ABOVE,RISING,ABOVE,1.46,0
XRPUSDT,288,0.75,1,56,0,NONE,-1,ABOVE,RISING,BELOW,0.61,0
XRPUSDT,292,0.19,1,60,0,NONE,-1,ABOVE,RISING,ABOVE,0.57,0
XRPUSDT,296,2.08,1,64,0,NONE,-1,ABOVE,RISING,ABOVE,0.48,0
XRPUSDT,300,4.91,1,68,0.853,NONE,-1,ABOVE,RISING,ABOVE,1.2,0
XRPUSDT,304,0.13,1,72,1,NONE,1,ABOVE,RISING,ABOVE,1.35,0
XRPUSDT,308,0.36,1,76,0,NONE,1,BELOW,RISING,BELOW,1.74,0
XRPUSDT,312,1.54,1,80,0.679,NONE,1,ABOVE,RISING,BELOW,1.19,0
