symbol,zoneId,startTime,endTime,startIndex,upper,lower,widthPct,merges,triggerSignal,firstMove,ctx,truncated,touchIdx,touchTime,approach,ageAtTest,distAwayPct,volRatio,testSpreadPct,trendAt,outcome8,resolvedIdx8,ext8Pct,outcome24,resolvedIdx24,ext24Pct,dist10,last10,closeVsEma,emaSlope,closeVsVwap
BTCUSDT,0,2021-04-25 20:45,2021-05-12 21:45,14685,49591.1,49333.1,0.536,0,27,DOWN,BOTTOM,false,14698,2021-04-26 00:00,BELOW,13,4.47,2.01,2.459,-1,THROUGH,14698,5.896,THROUGH,14698,6.631,OVERLAP,NONE,ABOVE,RISING,ABOVE
BTCUSDT,2,2021-07-06 04:00,2021-07-09 21:15,21530,33906.92,33830,0.223,0,28.78,UP,MIDDLE,false,21554,2021-07-06 10:00,ABOVE,24,3.1,2.28,1.475,1,THROUGH,21559,0.375,THROUGH,21559,0.973,OVERLAP,NONE,BELOW,FALLING,BELOW
BTCUSDT,3,2021-07-09 21:30,2021-07-18 14:15,21888,33509.79,33433,0.226,0,23.21,UP,MIDDLE,false,21918,2021-07-10 05:00,ABOVE,30,2,2.34,0.702,1,BOUNCE,21919,1.024,BOUNCE,21919,1.37,OVERLAP,NONE,BELOW,FALLING,BELOW
BTCUSDT,4,2021-07-18 14:30,2021-08-13 19:45,22724,31730,31651.09,0.252,0,30.41,DOWN,MIDDLE,false,22737,2021-07-18 17:45,BELOW,13,1.13,2.22,0.776,-1,BOUNCE,22738,0.351,BOUNCE,22738,0.79,OVERLAP,NONE,ABOVE,RISING,BELOW
BTCUSDT,5,2021-08-13 20:00,2021-09-09 20:00,25242,46472.58,46295.05,0.373,0,35.14,UP,MIDDLE,false,25301,2021-08-14 10:45,ABOVE,59,3.4,2.96,1.32,1,BOUNCE,25305,0.241,BOUNCE,25305,1.12,OVERLAP,NONE,BELOW,FALLING,BELOW
BTCUSDT,6,2021-09-09 20:15,2021-09-13 13:15,27835,46659.17,46560.07,0.214,0,24.4,DOWN,BOTTOM,false,27842,2021-09-09 22:00,BELOW,7,0.68,0.7,0.464,1,BOUNCE,27843,0.623,BOUNCE,27843,0.623,OVERLAP,NONE,BELOW,FALLING,ABOVE
BTCUSDT,7,2021-09-13 13:30,2021-10-02 13:30,28192,44790,44651.69,0.299,0,40.87,UP,MIDDLE,false,28194,2021-09-13 14:00,ABOVE,2,3.41,7.99,5.144,-1,THROUGH,28194,2.964,THROUGH,28194,2.964,OVERLAP,NONE,BELOW,RISING,BELOW
BTCUSDT,8,2021-10-02 13:45,2021-10-03 17:30,30017,47760.58,47637.74,0.257,0,30.25,UP,MIDDLE,false,30026,2021-10-02 16:00,ABOVE,9,0.49,1.08,0.519,1,BOUNCE,30028,0.592,BOUNCE,30028,1.067,OVERLAP,NONE,BELOW,FALLING,BELOW
BTCUSDT,9,2021-10-03 17:45,2021-10-15 20:00,30129,48042,47922.33,0.245,0,24.28,UP,MIDDLE,false,30142,2021-10-03 21:00,ABOVE,13,1.94,3.14,1.461,1,THROUGH,30144,0.653,THROUGH,30144,1.327,OVERLAP,NONE,BELOW,FALLING,BELOW
BTCUSDT,10,2021-10-15 20:15,2021-10-25 07:00,31291,61542.22,61343.1,0.318,0,48.5,UP,TOP,false,31295,2021-10-15 21:15,ABOVE,4,1.75,1.11,1.247,1,BOUNCE,31296,0.743,BOUNCE,31296,0.743,OVERLAP,NONE,BELOW,RISING,ABOVE
