symbol,config,zones,noTestPct,supN,supThrPct,supBncPct,resN,resThrPct,resBncPct,extBnc,extThr
BTCUSDT,20,20,175,17.7,70,38.6,61.4,74,29.7,70.3,0.7470697674418605,1.0000370370370373
BTCUSDT,10,10,1508,22.7,582,36.4,63.2,583,33.4,66.2,0.7951847826086956,0.922693396226415
ETHUSDT,20,20,167,19.8,58,22.4,75.9,76,36.8,61.8,0.9293181818181822,1.1875384615384617
ETHUSDT,10,10,1496,23,519,34.9,64.9,633,34.3,64.9,1.0749376854599406,1.2587292817679558
SOLUSDT,20,20,96,20.8,37,18.9,81.1,39,33.3,66.7,1.34,2.190857142857143
SOLUSDT,10,10,981,20.2,346,30.1,69.4,437,35,64.3,1.7631625000000009,1.8577500000000005
XRPUSDT,20,20,167,15.6,69,20.3,78.3,72,26.4,73.6,1.6189629629629623,1.6565714285714286
XRPUSDT,10,10,1274,21.3,470,25.7,73.2,533,28,70.7,1.4361540697674413,1.8553471074380166
BNBUSDT,20,20,158,15.8,67,37.3,62.7,66,31.8,66.7,1.313357142857143,1.1418399999999997
BNBUSDT,10,10,1201,21.8,427,31.1,68.1,512,33.8,64.8,0.8886357388316154,1.1972330827067665
DOGEUSDT,20,20,213,17.4,105,22.9,77.1,71,45.1,54.9,2.0836296296296295,2.0034583333333336
DOGEUSDT,10,10,1315,22.2,489,28.4,71.4,534,34.1,64.6,1.5567507163323784,1.5291654676258997
ADAUSDT,20,20,123,17.9,41,26.8,73.2,60,36.7,63.3,1.6693333333333336,1.7838181818181817
ADAUSDT,10,10,1107,18.2,390,28.5,71,516,28.5,70,1.4010541516245483,1.2973243243243242
LINKUSDT,20,20,106,8.5,39,30.8,69.2,58,31,69,1.8377037037037038,1.8601666666666663
LINKUSDT,10,10,982,18.5,342,30.4,68.7,458,33,64.8,1.5603446808510624,1.5200769230769227
SUIUSDT,20,20,65,20,24,33.3,62.5,28,39.3,60.7,1.5158,2.0391250000000003
SUIUSDT,10,10,649,19,242,28.5,70.7,284,38.7,61.3,1.629964912280701,1.6918260869565216
1000PEPEUSDT,20,20,62,19.4,19,31.6,68.4,31,41.9,58.1,1.9763846153846152,1.3496666666666668
1000PEPEUSDT,10,10,652,19.5,225,31.1,68.4,300,31.3,67,1.9686493506493505,2.1894714285714283
