lag,pos,trend,wickPoked,outcome,time
4,0.3658536585365999,-1,true,UP,2025-03-12 06:45
1,0.1846153846153967,-1,true,UP,2025-03-26 19:15
4,0.8846153846153567,-1,true,UP,2025-04-29 19:30
12,0.8846153846153567,-1,true,DOWN,2025-04-29 21:30
4,0.02857142857144126,1,true,DOWN,2025-06-30 01:00
1,0.4857142857142712,-1,true,DOWN,2025-07-24 19:15
4,0.5428571428571546,-1,true,UP,2025-07-24 20:00
12,0.6363636363636456,-1,true,UP,2025-10-18 10:00
1,0.8000000000000222,-1,true,DOWN,2026-01-13 00:15
12,0.40000000000006664,-1,true,UP,2026-01-13 03:00
4,1,-1,true,UP,2026-02-07 17:00
1,0.6666666666666975,-1,true,UP,2026-03-22 00:00
1,0.8749999999999784,1,true,UP,2026-03-25 21:30
4,0.8749999999999784,1,true,UP,2026-03-25 22:15
4,0.4000000000000111,-1,true,UP,2026-03-26 21:00
1,0.5000000000000694,-1,true,DOWN,2026-04-05 04:15
1,0,1,true,DOWN,2026-04-08 09:45
4,0.24999999999999423,-1,true,DOWN,2026-05-28 12:30
1,0,1,true,UP,2026-07-26 19:45
4,1,1,true,UP,2026-07-26 20:30
12,0.7499999999999913,1,true,DOWN,2026-07-30 21:30
12,0.3333333333333333,1,true,UP,2026-08-05 13:45
1,0,-1,true,DOWN,2026-08-08 00:15
4,1,-1,true,UP,2026-08-08 01:00
12,1,-1,true,UP,2026-08-08 03:00
