id,n,win,avg,total,pf
EXIT_FAST,7068,40.29,1.187,8392.3,1.79
EXIT_SLOW,7068,40.22,1.179,8335.6,1.79
TP2_SL2,7068,57.1,0.275,1941.7,1.34
A3ATR_SL1.5ATR,7068,44.6,0.258,1826.9,1.39
TP2_SL1.5,7068,51.95,0.257,1813.5,1.35
TP2_SL1,7068,43.17,0.203,1436.9,1.33
A3ATR_SL1ATR,7068,34.76,0.172,1213,1.32
TP3_SL0.5,7068,22.31,0.163,1149.8,1.35
TP2_SL0.5,7068,28.06,0.099,698.6,1.23
A2ATR_SL1ATR,7068,41.95,0.085,601.6,1.18
TP1.5_SL0.5,7068,32.84,0.057,400.6,1.14
A1.5ATR_SL1ATR,7068,47.37,0.035,249,1.08
TP1_SL0.5,7068,40.59,0.009,66.8,1.03
A1.5ATR_SL0.5ATR,7068,29.51,-0.041,-291.5,0.87
TP0.5_SL0.5,7068,53.45,-0.065,-459.5,0.77
A1ATR_SL0.5ATR,7068,36.3,-0.073,-512.5,0.75
