config,n,win,expR,pf,totR,mddR,hold,trainWin,trainExp,oosWin,oosExp
E1 TP1=0.75+BE, TP2=1.5,2673,85.82,0.116,1.82,310,4.7,56,86.15,0.119,85.13,0.111
E2 TP1=0.75+BE, TP2=1.0,2673,85.82,0.126,1.89,336,4.5,36,86.15,0.128,85.13,0.12
E3 TP1=1.0+BE, TP2=1.5,2673,82.6,0.187,2.09,500,3.6,57,83.28,0.195,81.18,0.17
E4 TP1=0.75+BE, TP2=2 (frac 2/3),2673,85.82,0.182,2.28,486,3.9,63,86.15,0.181,85.13,0.184
E5 TP1=0.5+BE, TP2=1.5,2673,89.26,0.043,1.4,114,4.5,48,89.02,0.039,89.78,0.051
E6 TP1=0.5+BE, TP2=1.0,2673,89.26,0.053,1.49,141,3.9,39,89.02,0.049,89.78,0.06
E7 TP1=1.25+BE, TP2=2,2673,78.94,0.233,2.14,623,4.3,73,79.75,0.245,77.24,0.208
E8 TP1=0.75 (frac .33)+BE, TP2=2,2673,85.82,0.157,2.11,420,3.7,47,86.15,0.159,85.13,0.153
E9 TP1=1.0 (frac .33)+BE, TP2=2,2673,82.6,0.236,2.38,631,3.6,50,83.28,0.242,81.18,0.223
E10 TP1=1.0+BE, TP2=2 (frac .66),2673,82.6,0.269,2.57,719,3.6,69,83.28,0.273,81.18,0.26
E11 TP1=1.5+BE, TP2=2 (frac .33),2673,75.98,0.335,2.44,894,6.6,44,76.6,0.338,74.68,0.328
E12 TP1=0.75, frac .5, BE->0.5R, TP2=2,2673,81,0.121,1.82,323,4.9,106,80.79,0.126,81.42,0.111
E13 TP1=0.5, frac .5, BE->1.0, TP2=2,2673,83.24,0.049,1.41,131,5,106,83.11,0.049,83.51,0.049
