t,S,pnl_pct,hold,flips,bias_len,bias_left,atr_pct,win
1644550200000,1,-9.890496675791937,71,1,72,71,8.9518967540086,False
1644797700000,-1,-5.561901414638437,164,1,368,164,1.1468458335408405,False
1645449300000,-1,11.926711223784281,843,7,1219,843,1.8342231990201983,True
1645641900000,-1,5.00279659436953,629,5,1219,629,1.196568263819413,True
1645920900000,-1,-4.835059323777524,319,3,1219,319,1.0399093452314787,False
1646001000000,-1,-8.326837219190697,230,1,1219,230,1.209242173257436,False
1646827200000,1,-9.290404331298241,549,3,732,549,2.2971039857104745,False
1646970300000,1,-1.6854984705662157,390,1,732,390,2.3576936665991837,False
1647568800000,-1,-14.728071901856588,114,1,389,114,1.0832008630837364,False
1648248300000,1,0.5554311310190352,593,1,1234,593,1.1717863168439013,True
1648989000000,1,-9.51128982369317,227,3,340,227,1.5386227512130257,False
1649133900000,1,-7.76748768472908,66,1,340,66,0.7739210589502634,False
1649421000000,-1,9.517741619290332,1061,9,1314,1061,1.0215739960495038,True
1649635200000,-1,9.219648915769286,823,7,1314,823,1.0983709876375587,True
1649854800000,-1,-5.654114684674383,579,5,1314,579,1.0078574738927606,False
1649945700000,-1,-1.6573977203898416,478,3,1314,478,1.1087444613651174,False
1650237300000,-1,-7.36842105263158,154,1,1314,154,1.029349216707118,False
1650502800000,1,-11.80461982675649,188,1,329,188,1.1546779798536468,False
1650980700000,-1,0.47821148903102184,787,1,1130,787,1.0826425540745075,True
1652524200000,-1,-22.1064384071455,729,7,1524,729,1.8454931623650777,False
1652706900000,-1,-15.909090909090917,526,5,1524,526,2.39225350531114,False
1652881500000,-1,-17.332220765287865,332,3,1524,332,1.8259797590884717,False
1653066900000,-1,-21.114802510151343,126,1,1524,126,1.9853420659393755,False
1654631100000,1,-3.199205166418273,247,0,406,247,1.1606348612573596,False
1654867800000,-1,13.090987774532081,969,5,985,969,1.8493385840600638,True
1655375400000,-1,-17.61346998535871,405,3,985,405,1.6803463687567581,False
1655538300000,-1,-19.077972131633558,224,1,985,224,2.060753060182754,False
1655977500000,1,12.934410181106216,1623,9,1887,1623,1.1790309769950709,True
1656244800000,1,1.8091560948703789,1326,7,1887,1326,1.0245131878990636,True
1656403200000,1,4.910765033534159,1150,5,1887,1150,1.1324599105343607,True
1656620100000,1,-7.096839138312849,909,3,1887,909,2.2275537121947946,False
1656895500000,1,1.0400700678782737,603,1,1887,603,1.1225047827431303,True
1657962900000,-1,-2.836240855374217,43,1,626,43,0.5814783843330384,False
1658450700000,1,-6.674026495383378,86,1,585,86,0.828918052223348,False
1659459600000,1,1.976137211036555,681,3,1206,681,1.5669358497802883,True
1659906000000,1,-5.7627702644499905,185,1,1206,185,0.5567968719764999,False
1660263300000,-1,23.14465408805031,1708,9,1920,1708,0.9966589693769843,True
1660487400000,-1,23.38557993730408,1459,7,1920,1459,0.6137035008810915,True
1660737600000,-1,14.125087842586082,1181,5,1920,1181,0.7599315873641938,True
1661152500000,-1,-1.5673236760864517,720,3,1920,720,0.8299505164025839,False
1661492700000,-1,-1.6397338403041806,342,1,1920,342,0.7879186725442103,False
1661917500000,1,-8.987591325524747,643,5,773,643,0.7156921642578851,False
1662314400000,1,-6.28134702651063,202,3,773,202,0.4498792785992213,False
1662424200000,1,-8.317757009345783,80,1,773,80,0.8083389927230308,False
1663539300000,-1,-2.7063058258898876,1407,8,1880,1407,1.635462801456598,False
1663796700000,-1,-4.987735077677846,1121,6,1880,1121,1.474413559567603,False
1663930800000,-1,-1.7701453104359333,972,4,1880,972,0.8138170926767054,False
1664301600000,-1,-4.61705594785442,560,2,1880,560,0.9618957394873239,False
1664712900000,-1,-2.91210259150414,103,0,1880,103,0.5066297633550914,False
1664809200000,1,-3.582514226590783,384,1,388,384,0.6563293047488049,False
1665387000000,-1,20.41265474552957,1550,7,1808,1550,0.31697698126725915,True
1665749700000,-1,10.502706883217316,1147,5,1808,1147,0.32383537423290204,True
1666084500000,-1,7.423999999999998,775,3,1808,775,0.5663732801942015,True
1666629900000,-1,-6.458141674333029,169,1,1808,169,0.5917044967025383,False
1666972800000,1,-8.313908313908314,284,1,496,284,1.6186973624010548,False
1668176100000,-1,1.5459160129210892,1083,9,1522,1083,1.8374855611271241,True
1668591000000,-1,-3.017865765330763,622,7,1522,622,0.7007068294342677,False
1668796200000,-1,-6.223549912870308,394,5,1522,394,0.5401766071279883,False
1668944700000,-1,-4.9692496924969465,229,3,1522,229,0.7336897731443004,False
1669102200000,-1,-9.270166453265038,54,1,1522,54,0.7293497189389037,False
1669561200000,1,-6.622965641952982,99,1,222,99,0.6386367498209422,False
1671428700000,-1,-10.509631797122655,82,1,297,82,0.6279058368007674,False
1671764400000,1,-3.6054421768707545,127,1,418,127,0.5286634354067122,False
1672115400000,-1,4.19847328244275,612,3,875,612,0.2637321792624887,True
1672541100000,-1,-5.13089005235603,139,1,875,139,0.315195234147658,False
1672797600000,1,122.72047832585953,3554,25,3700,3554,0.5904617606458646,True
1673026200000,1,115.05893673322105,3300,23,3700,3300,0.5680782192675276,True
1673191800000,1,108.68347338935575,3116,21,3700,3116,0.5251153277778643,True
1673483400000,1,79.44600562023285,2792,19,3700,2792,0.81081671070217,True
1674180900000,1,51.860030575845094,2017,17,3700,2017,0.7124407722228838,True
1674395100000,1,36.2389515391649,1779,15,3700,1779,0.748515434548205,True
